 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lex | Tag
#id=1
#text=Du er vel ikke en af dem jeg spillede med på Søren Frosts hold?
1-1	Du	du	PP:s-nc:--:-2n-	_	
1-2	er	være	VF:----:sa:----	_	
1-3	vel	vel	D-:----:--:u---	_	
1-4	ikke	ikke	D-:----:--:u---	_	
1-5	en	en	PI:s-uc:--:----	_	
1-6	af	af	T-:----:--:----	_	
1-7	dem	dem	XY:----:--:----	_	
1-8	jeg	jeg	NC:siun:--:----	_	
1-9	spillede	spille	VF:----:ta:----	_	
1-10	med	med	D-:----:--:u---	_	
1-11	på	på	T-:----:--:----	_	
1-12	Søren	Søren	NP:siu#:--:----	_	
1-13	Frosts	Frost	NP:sig#:--:----	_	
1-14	hold	hold|hold-2|hold-1-1a-1b|hold-8|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-7|hold-6a|hold-6|hold-5|hold-4|hold-3	NC:siun:--:----	hold-1	
1-15	?	?	ZQ	_	

#id=2
#text= I dag bliver mit hjerte fyldt med glæde når Barca spiller, og det "varmer" mit hjerte at de er på vej tilbage til toppen af europæiske hold.
2-1	I	i	T-:----:--:----	_	
2-2	dag	dag	NC:siuc:--:----	_	
2-3	bliver	bliver	XY:----:--:----	_	
2-4	mit	mit	XF:----:--:----	_	
2-5	hjerte	hjerte	NC:siun:--:----	_	
2-6	fyldt	fylde	VT:siu#:t-:----	_	
2-7	med	med	T-:----:--:----	_	
2-8	glæde	glæde	NC:siuc:--:----	_	
2-9	når	når	CS:----:--:----	_	
2-10	Barca	Barca	NP:siu#:--:----	_	
2-11	spiller	spille	VF:----:sa:----	_	
2-12	,	,	ZD	_	
2-13	og	og	CC:----:--:----	_	
2-14	det	det	PP:s-un:--:-3n-	_	
2-15	"	"	ZI	_	
2-16	varmer	varme	VF:----:sa:----	_	
2-17	"	"	ZI	_	
2-18	mit	mit	XF:----:--:----	_	
2-19	hjerte	hjerte	NC:siun:--:----	_	
2-20	at	at	CS:----:--:----	_	
2-21	de	de	PP:p-n#:--:-3n-	_	
2-22	er	være	VF:----:sa:----	_	
2-23	på	på	T-:----:--:----	_	
2-24	vej	vej	NC:siuc:--:----	_	
2-25	tilbage	tilbage	D-:----:--:u---	_	
2-26	til	til	T-:----:--:----	_	
2-27	toppen	top	:sduc:--:----	_	
2-28	af	af	T-:----:--:----	_	
2-29	europæiske	europæisk	AC:p#u#:--:p---	_	
2-30	hold	hold|hold-1-1a-1b|hold-4|hold-3|hold-2|hold-6|hold-F-på-hold|hold-F-være/spille-med-på-holdet|hold-8|hold-7|hold-6a|hold-5	NC:piu#:--:----	hold-1	
2-31	.	.	ZP	_	

#id=3
#text= U. (De er stadig bedre end alle de andre hold i har nævnt )
3-1	U	U	XS:----:--:----	_	
3-2	.	.	ZP	_	
3-3	(	(	ZD	_	
3-4	De	De	PP:#-nc:--:-2n-	_	
3-5	er	være	VF:----:sa:----	_	
3-6	stadig	stadig	D-:----:--:u---	_	
3-7	bedre	god	AC:##u#:--:c---	_	
3-8	end	end	CS:----:--:----	_	
3-9	alle	al	PI:p-u#:--:----	_	
3-10	de	den	PM:p-u#:--:----	_	
3-11	andre	anden	PI:p-u#:--:----	_	
3-12	hold	hold|hold-3|hold-6a|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7|hold-6|hold-5|hold-4|hold-2|hold-1-1a-1b	NC:piu#:--:----	hold-1	
3-13	i	i	D-:----:--:u---	_	
3-14	har	have	VF:----:sa:----	_	
3-15	nævnt	nævne	VT:siu#:t-:----	_	
3-16	)	)	ZD	_	

#id=4
#text=Det hold Michael Owen er på... kan ikke helt huske om det er Man.
4-1	Det	den	PM:s-un:--:----	_	
4-2	hold	hold|hold-5|hold-1-1a-1b|hold-4|hold-3|hold-2|hold-6|hold-7|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-6a	NC:siun:--:----	hold-1a	
4-3	Michael	Michael	NP:siu#:--:----	_	
4-4	Owen	Owen	NP:siu#:--:----	_	
4-5	er	være	VF:----:sa:----	_	
4-6	på	på	T-:----:--:----	_	
4-7	.	.	ZP	_	
4-8	.	.	ZP	_	
4-9	.	.	ZP	_	
4-10	kan	kunne	VF:----:sa:----	_	
4-11	ikke	ikke	D-:----:--:u---	_	
4-12	helt	hel	AD:----:--:p---	_	
4-13	huske	huske	VI:----:-a:----	_	
4-14	om	om	T-:----:--:----	_	
4-15	det	det	PP:s-un:--:-3n-	_	
4-16	er	være	VF:----:sa:----	_	
4-17	Man	man	PI:#-uc:--:----	_	
4-18	.	.	ZP	_	

#id=5
#text= Kan desværre ikke nævne nogle europæiske hold, da jeg overhovedet ikke interesserer mig for fodbold, og syntes at det er en lam sport.
5-1	Kan	kunne	VF:----:sa:----	_	
5-2	desværre	desværre	D-:----:--:u---	_	
5-3	ikke	ikke	D-:----:--:u---	_	
5-4	nævne	nævne	VI:----:-a:----	_	
5-5	nogle	nogen	PI:p-u#:--:----	_	
5-6	europæiske	europæisk	AC:p#u#:--:p---	_	
5-7	hold	hold|hold-3|hold-4|hold-2|hold-1-1a-1b|hold-5|hold-6a|hold-8|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-7|hold-6	NC:piu#:--:----	hold-1	
5-8	,	,	ZD	_	
5-9	da	da	CS:----:--:----	_	
5-10	jeg	jeg	PP:s-nc:--:-1n-	_	
5-11	overhovedet	overhovedet	D-:----:--:u---	_	
5-12	ikke	ikke	D-:----:--:u---	_	
5-13	interesserer	interessere	VF:----:sa:----	_	
5-14	mig	jeg	PP:s-uc:--:-1#-	_	
5-15	for	for	T-:----:--:----	_	
5-16	fodbold	fodbold	NC:siuc:--:----	_	
5-17	,	,	ZD	_	
5-18	og	og	CC:----:--:----	_	
5-19	syntes	synes	VT:siu#:t-:----	_	
5-20	at	at	CS:----:--:----	_	
