 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Hun ankom i smart tætsiddende kjole på restaurant Pastis, og det høstede lange blikke fra sultne mænd,  når hun spankulerede fra sit bord til toilettet.
1-1	Hun	hun	PP:s-nc:--:-3n-	
1-2	ankom	ankomme	VF:----:ta:----	
1-3	i	i	T-:----:--:----	
1-4	smart	smart	AD:----:--:p---	
1-5	tætsiddende	tætsiddende	AD:----:--:p---	
1-6	kjole	kjole	NC:siuc:--:----	
1-7	på	på	T-:----:--:----	
1-8	restaurant	restaurant	NC:siuc:--:----	
1-9	Pastis	pastis	NC:siuc:--:----	
1-10	,	,	ZD	
1-11	og	og	CC:----:--:----	
1-12	det	det	PP:s-un:--:-3n-	
1-13	høstede	høste	VF:----:ta:----	
1-14	lange	lang	AC:p#u#:--:p---	
1-15	blikke	blik|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-1-2|blik-1-1	NC:piu#:--:----	
1-16	fra	fra	T-:----:--:----	
1-17	sultne	sulten	AC:p#u#:--:p---	
1-18	mænd	mand	NC:piu#:--:----	
1-19	,	,	ZD	
1-20	når	når	CS:----:--:----	
1-21	hun	hun	PP:s-nc:--:-3n-	
1-22	spankulerede	spankulere	VF:----:ta:----	
1-23	fra	fra	T-:----:--:----	
1-24	sit	sin	PO:s--n:--:-3ys	
1-25	bord	bord	NC:siun:--:----	
1-26	til	til	T-:----:--:----	
1-27	toilettet	toilet	NC:sdun:--:----	
1-28	.	.	ZP	

#id=2
#text= Hansi griner lidt genert og slår blikket ned i bordet: - Det har jeg det helt fint med, for jeg ved jo, hvem der sover med mig i virkeligheden - og dér er altså kun én..
2-1	Hansi	Hansi	NP:siu#:--:----	
2-2	griner	grine	VF:----:sa:----	
2-3	lidt	lidt	AD:----:--:p---	
2-4	genert	genert	AD:----:--:p---	
2-5	og	og	CC:----:--:----	
2-6	slår	slå	VF:----:sa:----	
2-7	blikket	blik|blik-1-1|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-1-2	NC:sdun:--:----	
2-8	ned	ned	D-:----:--:u---	
2-9	i	i	T-:----:--:----	
2-10	bordet	bord	NC:sdun:--:----	
2-11	:	:	ZP	
2-12	-	-	ZH	
2-13	Det	Det	XY:----:--:----	
2-14	har	have	VF:----:sa:----	
2-15	jeg	jeg	PP:s-nc:--:-1n-	
2-16	det	det	PP:s-un:--:-3n-	
2-17	helt	hel	AD:----:--:p---	
2-18	fint	fin	AC:siun:--:p---	
2-19	med	med	T-:----:--:----	
2-20	,	,	ZD	
2-21	for	for	CC:----:--:----	
2-22	jeg	jeg	PP:s-nc:--:-1n-	
2-23	ved	vide	VF:----:sa:----	
2-24	jo	jo	D-:----:--:u---	
2-25	,	,	ZD	
2-26	hvem	hvem	PR:#-uc:--:----	
2-27	der	der	US:----:--:----	
