# newdoc id = politiken_2009-1.tsv
# sent_id = 1
# text =  Begge brødre led martyrdøden ved halshugning.
1	Begge	begge	DET		
2	brødre	bror	NOUN		noun.person
3	led	lide	VERB		verb.phenomenon
4	martyrdøden	martyrdød	NOUN		noun.phenomenon
5	ved	ved	ADP		
6	halshugning	halshugning	NOUN		noun.act
7	.	.	PUNCT		

# newdoc id = politiken_2009-1.tsv
# sent_id = 2
# text =  ( sko).
1	(	(	PUNCT		
2	sko	sko	NOUN		noun.artifact
3	)	)	PUNCT		
4	.	.	PUNCT		

# newdoc id = politiken_2009-1.tsv
# sent_id = 3
# text = 1
1	1	1	PUNCT		

# newdoc id = politiken_2009-1.tsv
# sent_id = 4
# text =  Det er, hvad de er udviklet til at kunne.
1	Det	det	PRON		
2	er	være	VERB		verb.stative
3	,	,	PUNCT		
4	hvad	hvad	PRON		
5	de	den	PRON		
6	er	være	AUX		
7	udviklet	udvikle	VERB		verb.creation
8	til	til	ADP		
9	at	at	PART		
10	kunne	kunne	AUX		verb.stative
11	.	.	PUNCT		

# newdoc id = politiken_2009-1.tsv
# sent_id = 5
# text =  Svar:
1	Svar	svar	NOUN		
2	:	:	PUNCT		

# newdoc id = politiken_2009-1.tsv
# sent_id = 6
# text =  Siden har Depeche Mode med' Sounds Of The Universe', som udkommer mandag, udgivet 12 studiealbum, 4 greatest hitsopsamlinger og et remix- album.
1	Siden	siden	ADV		
2	har	have	AUX		
3	Depeche	depeche	PROPN		noun.person
4	Mode	mode	PROPN		noun.person
5	med	med	ADP		
6	'	'	PUNCT		
7	Sounds	sounds	PROPN		noun.communication
8	Of	of	PROPN		noun.communication
9	The	the	PROPN		noun.communication
10	Universe	universe	PROPN		noun.communication
11	'	'	PUNCT		noun.communication
12	,	,	PUNCT		
13	som	som	PRON		
14	udkommer	udkomme	VERB		verb.change
15	mandag	mandag	NOUN		noun.time
16	,	,	PUNCT		
17	udgivet	udgive	VERB		verb.communication
18	12	12	NUM		
19	studiealbum	studiealbum	NOUN		noun.communication
20	,	,	PUNCT		
21	4	4	CCONJ		
22	greatest	greatest	ADJ		noun.communication
23	hitsopsamlinger	hitsopsamling	NOUN		noun.communication
24	og	og	CCONJ		
25	et	en	DET		
26	remix	remix	NOUN		noun.communication
27	-	-	PUNCT		noun.communication
28	album	album	NOUN		noun.communication
29	.	.	PUNCT		

# newdoc id = politiken_2009-1.tsv
# sent_id = 7
# text =  Der er næsten ingen grænser for, hvad danskerne vil anmelde stjålet på nettet.
1	Der	der	ADV		
2	er	være	VERB		verb.stative
3	næsten	næsten	ADV		
4	ingen	ingen	DET		
5	grænser	grænse	NOUN		noun.abstract
6	for	for	ADP		
7	,	,	PUNCT		
8	hvad	hvad	PRON		
9	danskerne	dansker	NOUN		noun.person
10	vil	ville	AUX		
11	anmelde	anmelde	VERB		verb.communication
12	stjålet	stjæle	VERB		adj.all
13	på	på	ADP		
14	nettet	net	NOUN		noun.communication
15	.	.	PUNCT		

# newdoc id = politiken_2009-1.tsv
# sent_id = 8
# text =  Men den historie giver præsidenten for Det Rumænske Håndboldforbund ikke meget for.
1	Men	men	CCONJ		
2	den	den	DET		
3	historie	historie	NOUN		noun.communication
4	giver	give	VERB		verb.cognition
5	præsidenten	præsident	NOUN		noun.person
6	for	for	ADP		
7	Det	det	DET		noun.institution
8	Rumænske	rumænsk	ADJ		noun.institution
9	Håndboldforbund	håndboldforbund	NOUN		noun.institution
10	ikke	ikke	ADV		verb.COLL
11	meget	megen	ADV		verb.COLL
12	for	for	ADV		verb.COLL
