 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Danskeren indledte også sidstedagen på en sjetteplads og var efter otte huller blot tre slag efter den førende amerikaner Tiger Woods.
1-1	Danskeren	dansker	NC:sduc:--:----	_	
1-2	indledte	indlede	VF:----:ta:----	_	
1-3	også	også	D-:----:--:u---	_	
1-4	sidstedagen	sidstedag	NC:sduc:--:----	_	
1-5	på	på	T-:----:--:----	_	
1-6	en	en	PI:s-uc:--:----	_	
1-7	sjetteplads	sjetteplads	NC:siuc:--:----	_	
1-8	og	og	CC:----:--:----	_	
1-9	var	være	VF:----:ta:----	_	
1-10	efter	efter	T-:----:--:----	_	
1-11	otte	otte	LC:--u-:--:----	_	
1-12	huller	hul	NC:piu#:--:----	hul_1c	
1-13	blot	blot	D-:----:--:u---	_	
1-14	tre	tre	LC:--u-:--:----	_	
1-15	slag	slag	NC:piu#:--:----	_	
1-16	efter	efter	T-:----:--:----	_	
1-17	den	den	PM:s-uc:--:----	_	
1-18	førende	førende	AC:§§u§:--:p---	_	
1-19	amerikaner	amerikaner	NC:siuc:--:----	_	
1-20	Tiger	tiger	NC:siuc:--:----	_	
1-21	Woods	Wood	NP:sig#:--:----	_	
1-22	.	.	ZP	_	

#id=2
#text= Men vi sørgede til gengæld for marginalskattelettelser og afskaffelse af formueskat for at skære ned i privilegier og fradrag og lukke huller og spekulationsmuligheder, så nettoresultatet ikke blev, at de velhavende slap billigere.
2-1	Men	men	CC:----:--:----	_	
2-2	vi	vi	PP:p-nc:--:-1n-	_	
2-3	sørgede	sørge	VF:----:ta:----	_	
2-4	til	til	T-:----:--:----	_	
2-5	gengæld	gengæld	NC:siuc:--:----	_	
2-6	for	for	T-:----:--:----	_	
2-7	marginalskattelettelser	marginalskattelettelse	NC:piu#:--:----	_	
2-8	og	og	CC:----:--:----	_	
2-9	afskaffelse	afskaffelse	NC:siuc:--:----	_	
2-10	af	af	T-:----:--:----	_	
2-11	formueskat	formueskat	NC:siuc:--:----	_	
2-12	for	for	T-:----:--:----	_	
2-13	at	at	UI:----:--:----	_	
2-14	skære	skære	VI:----:-a:----	_	
2-15	ned	ned	D-:----:--:u---	_	
2-16	i	i	T-:----:--:----	_	
2-17	privilegier	privilegium	NC:piu#:--:----	_	
2-18	og	og	CC:----:--:----	_	
2-19	fradrag	fradrag	NC:piu#:--:----	_	
2-20	og	og	CC:----:--:----	_	
2-21	lukke	lukke	NC:siun:--:----	_	
2-22	huller	hul	NC:piu#:--:----	hul_2a	
2-23	og	og	CC:----:--:----	_	
2-24	spekulationsmuligheder	spekulationsmulighed	NC:piu#:--:----	_	
2-25	,	,	ZD	_	
2-26	så	så	CS:----:--:----	_	
2-27	nettoresultatet	nettoresultat	NC:sdun:--:----	_	
2-28	ikke	ikke	D-:----:--:u---	_	
2-29	blev	blive	VF:----:ta:----	_	
2-30	,	,	ZD	_	
2-31	at	at	CS:----:--:----	_	
2-32	de	den	PM:p-u#:--:----	_	
2-33	velhavende	velhavende	AC:§§u§:--:p---	_	
2-34	slap	slippe	VF:----:ta:----	_	
2-35	billigere	billig	AC:##u#:--:c---	_	
2-36	.	.	ZP	_	

#id=3
#text="Jeg kom til at tænde for det der fuldstændigt latterlige show, hvor en væg kommer kørende mod en masse mennesker, der skal rette sig ind efter dens huller for ikke at blive skubbet ned i en swimmingpool.
3-1	"	"	ZI	_	
3-2	Jeg	jeg	PP:s-nc:--:-1n-	_	
3-3	kom	komme	VF:----:ta:----	_	
3-4	til	til	T-:----:--:----	_	
3-5	at	at	UI:----:--:----	_	
3-6	tænde	tænde	VI:----:-a:----	_	
3-7	for	for	T-:----:--:----	_	
3-8	det	det	PP:s-un:--:-3n-	_	
3-9	der	der	US:----:--:----	_	
3-10	fuldstændigt	fuldstændig	AD:----:--:p---	_	
3-11	latterlige	latterlig	AC:p#u#:--:p---	_	
3-12	show	show	NC:piu#:--:----	_	
3-13	,	,	ZD	_	
3-14	hvor	hvor	D-:----:--:u---	_	
3-15	en	en	PI:s-uc:--:----	_	
3-16	væg	væg	NC:siuc:--:----	_	
3-17	kommer	komme	VF:----:sa:----	_	
3-18	kørende	køre	VP:##u#:s-:----	_	
3-19	mod	mod	T-:----:--:----	_	
3-20	en	en	PI:s-uc:--:----	_	
