 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Vi er bedre end ham, men selv den bedste bokser må ind imellem tage et slag til ansigtet.
1-1	Vi	vi	PP:p-nc:--:-1n-	
1-2	er	være	VF:----:sa:----	
1-3	bedre	god	AC:##u#:--:c---	
1-4	end	end	CS:----:--:----	
1-5	ham	han	PP:s-uc:--:-3n-	
1-6	,	,	ZD	
1-7	men	men	CC:----:--:----	
1-8	selv	selv	D-:----:--:u---	
1-9	den	den	PM:s-uc:--:----	
1-10	bedste	god	AC:§du§:--:s---	
1-11	bokser	bokser	NC:siuc:--:----	
1-12	må	måtte	VF:----:sa:----	
1-13	ind	ind	D-:----:--:u---	
1-14	imellem	imellem	D-:----:--:u---	
1-15	tage	tage	VI:----:-a:----	
1-16	et	en	PI:s-un:--:----	
1-17	slag	slag	NC:siun:--:----	
1-18	til	til	T-:----:--:----	
1-19	ansigtet	ansigt	NC:sdun:--:----	
1-20	.	.	ZP	

#id=2
#text= Vi gør alt, hvad vi kan, for at sikre os, at han får færrest mulige slag ind.
2-1	Vi	vi	PP:p-nc:--:-1n-	
2-2	gør	gøre	VF:----:sa:----	
2-3	alt	alt	D-:----:--:u---	
2-4	,	,	ZD	
2-5	hvad	hvad	PR:s-u#:--:----	
2-6	vi	vi	PP:p-nc:--:-1n-	
2-7	kan	kunne	VF:----:sa:----	
2-8	,	,	ZD	
2-9	for	for	T-:----:--:----	
2-10	at	at	UI:----:--:----	
2-11	sikre	sikre	VI:----:-a:----	
2-12	os	vi	PP:p-uc:--:-1#-	
2-13	,	,	ZD	
2-14	at	at	CS:----:--:----	
2-15	han	han	PP:s-nc:--:-3n-	
2-16	får	få	VF:----:sa:----	
2-17	færrest	færrest	XY:----:--:----	
2-18	mulige	mulig	AC:sdu#:--:p---	
2-19	slag	slag	NC:siun:--:----	
2-20	ind	ind	D-:----:--:u---	
