 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=og I 70' - Vi rev væggene ned til de forskellige rum her i stuen, og det til et stort rum, så vi få lys ind fra alle sider, så lavede vi børneværelser på etage.
1-1	og	og	CC:----:--:----	_	
1-2	I	i	T-:----:--:----	_	
1-3	70	70	LC:--u-:--:----	_	
1-4	'	'	ZA	_	
1-5	-	-	NC:piu#:--:----	_	
1-6	Vi	VI	LC:--u-:--:----	_	
1-7	rev	rive	VF:----:ta:----	_	
1-8	væggene	væg	NC:pdu#:--:----	_	
1-9	ned	ned	D-:----:--:u---	_	
1-10	til	til	T-:----:--:----	_	
1-11	de	den	PM:p-u#:--:----	_	
1-12	forskellige	forskellig	AC:p#u#:--:p---	_	
1-13	rum	rum	NC:piu#:--:----	_	
1-14	her	her	D-:----:--:u---	_	
1-15	i	i	T-:----:--:----	_	
1-16	stuen	stue	NC:sduc:--:----	_	
1-17	,	,	ZD	_	
1-18	og	og	CC:----:--:----	_	
1-19	det	det	PP:s-un:--:-3n-	_	
1-20	til	til	T-:----:--:----	_	
1-21	et	en	PI:s-un:--:----	_	
1-22	stort	stor	AC:siun:--:p---	_	
1-23	rum	rum	NC:siun:--:----	_	
1-24	,	,	ZD	_	
1-25	så	så	CS:----:--:----	_	
1-26	vi	vi	PP:p-nc:--:-1n-	_	
1-27	få	få	VI:----:-a:----	_	
1-28	lys	lys|lys-1-1a-1b-1c-1f|lys-1f|lys-1e|lys-1d|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset	NC:siun:--:----	lys_1	
1-29	ind	ind	D-:----:--:u---	_	
1-30	fra	fra	T-:----:--:----	_	
1-31	alle	al	PI:p-u#:--:----	_	
1-32	sider	side	NC:piu#:--:----	_	
1-33	,	,	ZD	_	
1-34	så	så	D-:----:--:u---	_	
1-35	lavede	lave	VF:----:ta:----	_	
1-36	vi	vi	PP:p-nc:--:-1n-	_	
1-37	børneværelser	børneværelse	NC:piu#:--:----	_	
1-38	på	på	T-:----:--:----	_	
1-39	etage	etage	NC:siuc:--:----	_	
1-40	.	.	ZP	_	

#id=2
#text=- Da jeg så ham på sygehuset, var der intet lys i hans øjne.
2-1	-	-	NC:piu#:--:----	_	
2-2	Da	da	CS:----:--:----	_	
2-3	jeg	jeg	PP:s-nc:--:-1n-	_	
2-4	så	se	VF:----:ta:----	_	
2-5	ham	han	PP:s-uc:--:-3n-	_	
2-6	på	på	T-:----:--:----	_	
2-7	sygehuset	sygehus	NC:sdun:--:----	_	
2-8	,	,	ZD	_	
2-9	var	være	VF:----:ta:----	_	
2-10	der	der	US:----:--:----	_	
2-11	intet	ingen	PI:s-un:--:----	_	
2-12	lys	lys|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-sætte-sit-lys-under-en-skæppe	NC:siun:--:----	lys_1g	
2-13	i	i	T-:----:--:----	_	
2-14	hans	hans	PO:#--#:--:-3ns	_	
