 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Så længe, at de kan lide sporten, så laver de idetmindste ikke noget andet, som fx vold...
1-1	Så	så	D-:----:--:u---	_	
1-2	længe	længe	D-:----:--:u---	_	
1-3	,	,	ZD	_	
1-4	at	at	CS:----:--:----	_	
1-5	de	de	PP:p-n#:--:-3n-	_	
1-6	kan	kunne	VF:----:sa:----	_	
1-7	lide	lide	VI:----:-a:----	_	
1-8	sporten	sport	NC:sduc:--:----	_	
1-9	,	,	ZD	_	
1-10	så	så	D-:----:--:u---	_	
1-11	laver	lave	VF:----:sa:----	_	
1-12	de	den	PM:p-u#:--:----	_	
1-13	idetmindste	idetlille	AC:§du§:--:s---	_	
1-14	ikke	ikke	D-:----:--:u---	_	
1-15	noget	nogen	PI:s-un:--:----	_	
1-16	andet	anden	PI:s-un:--:----	_	
1-17	,	,	ZD	_	
1-18	som	som	US:----:--:----	_	
1-19	fx	fx	D-:----:--:u---	_	
1-20	vold	vold	NC:siuc:--:----	vold1_1_1a	
1-21	.	.	ZP	_	
1-22	.	.	ZP	_	
1-23	.	.	ZP	_	

