 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Danskeren indledte også sidstedagen på en sjetteplads og var efter otte huller blot tre slag efter den førende amerikaner Tiger Woods.
1-1	Danskeren	dansker	NC:sduc:--:----	
1-2	indledte	indlede	VF:----:ta:----	
1-3	også	også	D-:----:--:u---	
1-4	sidstedagen	sidstedag	NC:sduc:--:----	
1-5	på	på	T-:----:--:----	
1-6	en	en	PI:s-uc:--:----	
1-7	sjetteplads	sjetteplads	NC:siuc:--:----	
1-8	og	og	CC:----:--:----	
1-9	var	være	VF:----:ta:----	
1-10	efter	efter	T-:----:--:----	
1-11	otte	otte	LC:--u-:--:----	
1-12	huller	hul	NC:piu#:--:----	
1-13	blot	blot	D-:----:--:u---	
1-14	tre	tre	LC:--u-:--:----	
1-15	slag	slag	NC:piu#:--:----	
1-16	efter	efter	T-:----:--:----	
1-17	den	den	PM:s-uc:--:----	
1-18	førende	førende	AC:§§u§:--:p---	
1-19	amerikaner	amerikaner	NC:siuc:--:----	
1-20	Tiger	tiger	NC:siuc:--:----	
1-21	Woods	Wood	NP:sig#:--:----	
1-22	.	.	ZP	

#id=2
#text= Men vi sørgede til gengæld for marginalskattelettelser og afskaffelse af formueskat for at skære ned i privilegier og fradrag og lukke huller og spekulationsmuligheder, så nettoresultatet ikke blev, at de velhavende slap billigere.
2-1	Men	men	CC:----:--:----	
2-2	vi	vi	PP:p-nc:--:-1n-	
2-3	sørgede	sørge	VF:----:ta:----	
2-4	til	til	T-:----:--:----	
2-5	gengæld	gengæld	NC:siuc:--:----	
2-6	for	for	T-:----:--:----	
2-7	marginalskattelettelser	marginalskattelettelse	NC:piu#:--:----	
2-8	og	og	CC:----:--:----	
2-9	afskaffelse	afskaffelse	NC:siuc:--:----	
2-10	af	af	T-:----:--:----	
2-11	formueskat	formueskat	NC:siuc:--:----	
2-12	for	for	T-:----:--:----	
2-13	at	at	UI:----:--:----	
2-14	skære	skære	VI:----:-a:----	
2-15	ned	ned	D-:----:--:u---	
2-16	i	i	T-:----:--:----	
2-17	privilegier	privilegium	NC:piu#:--:----	
2-18	og	og	CC:----:--:----	
2-19	fradrag	fradrag	NC:piu#:--:----	
2-20	og	og	CC:----:--:----	
2-21	lukke	lukke	NC:siun:--:----	
2-22	huller	hul	NC:piu#:--:----	
2-23	og	og	CC:----:--:----	
2-24	spekulationsmuligheder	spekulationsmulighed	NC:piu#:--:----	
2-25	,	,	ZD	
2-26	så	så	CS:----:--:----	
2-27	nettoresultatet	nettoresultat	NC:sdun:--:----	
2-28	ikke	ikke	D-:----:--:u---	
2-29	blev	blive	VF:----:ta:----	
2-30	,	,	ZD	
2-31	at	at	CS:----:--:----	
2-32	de	den	PM:p-u#:--:----	
2-33	velhavende	velhavende	AC:§§u§:--:p---	
2-34	slap	slippe	VF:----:ta:----	
2-35	billigere	billig	AC:##u#:--:c---	
2-36	.	.	ZP	

#id=3
#text="Jeg kom til at tænde for det der fuldstændigt latterlige show, hvor en væg kommer kørende mod en masse mennesker, der skal rette sig ind efter dens huller for ikke at blive skubbet ned i en swimmingpool.
3-1	"	"	ZI	
3-2	Jeg	jeg	PP:s-nc:--:-1n-	
3-3	kom	komme	VF:----:ta:----	
3-4	til	til	T-:----:--:----	
3-5	at	at	UI:----:--:----	
3-6	tænde	tænde	VI:----:-a:----	
3-7	for	for	T-:----:--:----	
3-8	det	det	PP:s-un:--:-3n-	
3-9	der	der	US:----:--:----	
3-10	fuldstændigt	fuldstændig	AD:----:--:p---	
3-11	latterlige	latterlig	AC:p#u#:--:p---	
3-12	show	show	NC:piu#:--:----	
3-13	,	,	ZD	
3-14	hvor	hvor	D-:----:--:u---	
3-15	en	en	PI:s-uc:--:----	
3-16	væg	væg	NC:siuc:--:----	
3-17	kommer	komme	VF:----:sa:----	
3-18	kørende	køre	VP:##u#:s-:----	
3-19	mod	mod	T-:----:--:----	
3-20	en	en	PI:s-uc:--:----	
3-21	masse	masse	NC:siuc:--:----	
3-22	mennesker	menneske	NC:piu#:--:----	
3-23	,	,	ZD	
3-24	der	der	US:----:--:----	
3-25	skal	skulle	VF:----:sa:----	
3-26	rette	rette	VI:----:-a:----	
3-27	sig	sig	PP:#-u#:--:-3y-	
3-28	ind	ind	D-:----:--:u---	
3-29	efter	efter	T-:----:--:----	
