
#id=1
#text=Idag bor de i udkanten af Silkeborg, men Thomas Mygind er ofte i hovedstaden, hvor han har sit job.
1-1	I	
1-2	dag	
1-3	bor	
1-4	de	
1-5	i	
1-6	udkanten	
1-7	af	
1-8	Silkeborg	
1-9	,	
1-10	men	
1-11	Thomas	
1-12	Mygind	
1-13	er	
1-14	ofte	
1-15	i	
1-16	hovedstaden	
1-17	,	
1-18	hvor	
1-19	han	
1-20	har	
1-21	sit	
1-22	job	
1-23	.	

#id=2
#text=Karrieren går det heller ikke fantastisk med.
2-1	Karrieren	
2-2	går	
2-3	det	
2-4	heller	
2-5	ikke	
2-6	fantastisk	
2-7	med	
2-8	.	

#id=3
#text=På det fyldte dansegulv beviste Patrik Wozniacki, at han skam har lært noget af sin deltagelse i " Vild med dans" i efteråret.
3-1	På	
3-2	det	
3-3	fyldte	
3-4	dansegulv	
3-5	beviste	
3-6	Patrik	
3-7	Wozniacki	
3-8	,	
3-9	at	
3-10	han	
3-11	skam	
3-12	har	
3-13	lært	
3-14	noget	
3-15	af	
3-16	sin	
3-17	deltagelse	
3-18	i	
3-19	"	
3-20	Vild	
3-21	med	
3-22	dans	
3-23	"	
3-24	i	
3-25	efteråret	
3-26	.	

#id=4
#text=Denblomstrende forelskelse fik en brat ende, da de brød med hinanden i februar efter et halvt års kissemissen.
4-1	Den	
4-2	blomstrende	
4-3	forelskelse	
4-4	fik	
4-5	en	
4-6	brat	
4-7	ende	
4-8	,	
4-9	da	
4-10	de	
4-11	brød	
4-12	med	
4-13	hinanden	
4-14	i	
4-15	februar	
4-16	efter	
4-17	et	
4-18	halvt	
4-19	års	
4-20	kissemissen	
4-21	.	

#id=5
#text=ForCaroline er ganske enkelt blevet produktets nye ansigt.
5-1	For	
5-2	Caroline	
5-3	er	
5-4	ganske	
5-5	enkelt	
5-6	blevet	
5-7	produktets	
5-8	nye	
5-9	ansigt	
5-10	.	

#id=6
#text=-supersprød sangstjerne, er blevet mor.
6-1	-	
6-2	supersprød	
6-3	sangstjerne	
6-4	,	
6-5	er	
6-6	blevet	
6-7	mor	
6-8	.	

#id=7
#text=Og ifølge Kitten er det helt ufarligt for Kisses.
7-1	Og	
7-2	ifølge	
7-3	Kitten	
7-4	er	
7-5	det	
7-6	helt	
7-7	ufarligt	
7-8	for	
7-9	Kisses	
7-10	.	

#id=8
#text=-storsmilende fartdjævel, har fået lov til at skrive forord til racerkammeraten Jan Magnussens nye bog " En fiaskos perfekte liv", som de begge præsenterede forleden.
8-1	-	
8-2	storsmilende	
8-3	fartdjævel	
8-4	,	
8-5	har	
8-6	fået	
8-7	lov	
8-8	til	
8-9	at	
8-10	skrive	
8-11	forord	
8-12	til	
8-13	racerkammeraten	
8-14	Jan	
8-15	Magnussens	
8-16	nye	
8-17	bog	
8-18	"	
8-19	En	
8-20	fiaskos	
8-21	perfekte	
8-22	liv	
8-23	"	
8-24	,	
8-25	som	
8-26	de	
8-27	begge	
8-28	præsenterede	
8-29	forleden	
8-30	.	

#id=9
#text=Selvom det var blevet mørkt i hovedstaden, var det iført store solbriller, at hun gik ind på scenen og fyrede to numre af fra sit nye, engelsksprogede album.
9-1	Selv	
9-2	om	
9-3	det	
9-4	var	
9-5	blevet	
9-6	mørkt	
9-7	i	
9-8	hovedstaden	
9-9	,	
9-10	var	
9-11	det	
9-12	iført	
9-13	store	
9-14	solbriller	
9-15	,	
9-16	at	
9-17	hun	
9-18	gik	
9-19	ind	
9-20	på	
9-21	scenen	
9-22	og	
9-23	fyrede	
9-24	to	
9-25	numre	
9-26	af	
9-27	fra	
9-28	sit	
9-29	nye	
9-30	,	
9-31	engelsksprogede	
9-32	album	
9-33	.	

#id=10
#text=Midtpå dagen runder hun og familien dog lige Køben-København for at vinke fra balkonen på Amalienborg klokken 12 og havn spise frokost på Rådhuset.
10-1	Midt	
10-2	på	
10-3	dagen	
10-4	runder	
10-5	hun	
10-6	og	
10-7	familien	
10-8	dog	
10-9	lige	
10-10	Køben	
10-11	-	
10-12	København	
10-13	for	
10-14	at	
10-15	vinke	
10-16	fra	
10-17	balkonen	
10-18	på	
10-19	Amalienborg	
10-20	klokken	
10-21	12	
10-22	og	
10-23	havn	
10-24	spise	
10-25	frokost	
10-26	på	
10-27	Rådhuset	
10-28	.	

#id=11
#text=Bevæbnetmed frisørfarver, kulørt kunstnerkalk og spraydåser omdanner den amerikanske kvinde jævnligt sit kæledyr til omvandrende eksplosioner af kolorit, og hendes lidenskab har indtjent hende mængder af præmier, for naturligvis findes der mesterskaber for folk, som farver dyr, og i den forhåbentlig snævre kreds er Sandy Hartness en legende på to ben.
11-1	Bevæbnet	
11-2	med	
11-3	frisørfarver	
11-4	,	
11-5	kulørt	
11-6	kunstnerkalk	
11-7	og	
11-8	spraydåser	
11-9	omdanner	
11-10	den	
11-11	amerikanske	
11-12	kvinde	
11-13	jævnligt	
11-14	sit	
11-15	kæledyr	
11-16	til	
11-17	omvandrende	
11-18	eksplosioner	
11-19	af	
11-20	kolorit	
11-21	,	
11-22	og	
11-23	hendes	
11-24	lidenskab	
11-25	har	
11-26	indtjent	
11-27	hende	
11-28	mængder	
11-29	af	
11-30	præmier	
11-31	,	
11-32	for	
11-33	naturligvis	
11-34	findes	
11-35	der	
11-36	mesterskaber	
11-37	for	
11-38	folk	
11-39	,	
11-40	som	
11-41	farver	
11-42	dyr	
11-43	,	
11-44	og	
11-45	i	
11-46	den	
11-47	forhåbentlig	
11-48	snævre	
11-49	kreds	
11-50	er	
11-51	Sandy	
11-52	Hartness	
11-53	en	
11-54	legende	
11-55	på	
11-56	to	
11-57	ben	
11-58	.	

#id=12
#text=-køn DR-journalist og tidligere vinder af " Popstars" ser stadig de tre andre piger fra EyeQ.
12-1	-	
12-2	køn	
12-3	DR	
12-4	-	
12-5	journalist	
12-6	og	
12-7	tidligere	
12-8	vinder	
12-9	af	
12-10	"	
12-11	Popstars	
12-12	"	
12-13	ser	
12-14	stadig	
12-15	de	
12-16	tre	
12-17	andre	
12-18	piger	
12-19	fra	
12-20	EyeQ	
12-21	.	

#id=13
#text=Drømmen er at blive model eller basketballspiller
13-1	Drømmen	
13-2	er	
13-3	at	
13-4	blive	
13-5	model	
13-6	eller	
13-7	basketballspiller	

#id=14
#text=Det samme var den ældste Asbæk-søn Martin, som var omgivet af feststemte unge piger i meget lidt tøj.
14-1	Det	
14-2	samme	
14-3	var	
14-4	den	
14-5	ældste	
14-6	Asbæk	
14-7	-	
14-8	søn	
14-9	Martin	
14-10	,	
14-11	som	
14-12	var	
14-13	omgivet	
14-14	af	
14-15	feststemte	
14-16	unge	
14-17	piger	
14-18	i	
14-19	meget	
14-20	lidt	
14-21	tøj	
14-22	.	

#id=15
#text=På Kanal 4 skal hun guide seerne igennem tre programmer fra 10. til 12. august.
15-1	På	
15-2	Kanal	
15-3	4	
15-4	skal	
15-5	hun	
15-6	guide	
15-7	seerne	
15-8	igennem	
15-9	tre	
15-10	programmer	
15-11	fra	
15-12	10	
15-13	.	
15-14	til	
15-15	12	
15-16	.	
15-17	august	
15-18	.	

#id=16
#text=-utraditionel model, var sammen med kæresten Gunnvør Dalsgaard og deres datter Sinna på fem måneder i IKEA for at købe lidt til hjemmet.
16-1	-	
16-2	utraditionel	
16-3	model	
16-4	,	
16-5	var	
16-6	sammen	
16-7	med	
16-8	kæresten	
16-9	Gunnvør	
16-10	Dalsgaard	
16-11	og	
16-12	deres	
16-13	datter	
16-14	Sinna	
16-15	på	
16-16	fem	
16-17	måneder	
16-18	i	
16-19	IKEA	
16-20	for	
16-21	at	
16-22	købe	
16-23	lidt	
16-24	til	
16-25	hjemmet	
16-26	.	

#id=17
#text=-Hverken DR eller " X Factor" er en domstol.
17-1	-	
17-2	Hverken	
17-3	DR	
17-4	eller	
17-5	"	
17-6	X	
17-7	Factor	
17-8	"	
17-9	er	
17-10	en	
17-11	domstol	
17-12	.	

#id=18
#text=Detvar måske dér, det gik galt med forholdet mellem Rikke og ekskæresten Fatih.
18-1	Det	
18-2	var	
18-3	måske	
18-4	dér	
18-5	,	
18-6	det	
18-7	gik	
18-8	galt	
18-9	med	
18-10	forholdet	
18-11	mellem	
18-12	Rikke	
18-13	og	
18-14	ekskæresten	
18-15	Fatih	
18-16	.	

#id=19
#text=.
19-1	.	

#id=20
#text=AABENRAA:
20-1	AABENRAA	
20-2	:	

#id=21
#text=Officieltskal hun på arbejde for velgørenhedsorganisationen World Childhood Foundation.
21-1	Officielt	
21-2	skal	
21-3	hun	
21-4	på	
21-5	arbejde	
21-6	for	
21-7	velgørenhedsorganisationen	
21-8	World	
21-9	Childhood	
21-10	Foundation	
21-11	.	

#id=22
#text=-For mig var " Robinson Ekspeditionen" en drøm, der endelig gik i opfyldelse, men der er også nogle barske minder.
22-1	-	
22-2	For	
22-3	mig	
22-4	var	
22-5	"	
22-6	Robinson	
22-7	Ekspeditionen	
22-8	"	
22-9	en	
22-10	drøm	
22-11	,	
22-12	der	
22-13	endelig	
22-14	gik	
22-15	i	
22-16	opfyldelse	
22-17	,	
22-18	men	
22-19	der	
22-20	er	
22-21	også	
22-22	nogle	
22-23	barske	
22-24	minder	
22-25	.	

#id=23
#text=Siden hans forældre tjener under en flad tier om dagen, har de ikke råd til lægehjælp, men at deres lille guldklump med disse billeder får verdens opmærksomhed, er måske et skridt på rette vej til et normalt liv for Deepak.
23-1	Siden	
23-2	hans	
23-3	forældre	
23-4	tjener	
23-5	under	
23-6	en	
23-7	flad	
23-8	tier	
23-9	om	
23-10	dagen	
23-11	,	
23-12	har	
23-13	de	
23-14	ikke	
23-15	råd	
23-16	til	
23-17	lægehjælp	
23-18	,	
23-19	men	
23-20	at	
23-21	deres	
23-22	lille	
23-23	guldklump	
23-24	med	
23-25	disse	
23-26	billeder	
23-27	får	
23-28	verdens	
23-29	opmærksomhed	
23-30	,	
23-31	er	
23-32	måske	
23-33	et	
23-34	skridt	
23-35	på	
23-36	rette	
23-37	vej	
23-38	til	
23-39	et	
23-40	normalt	
23-41	liv	
23-42	for	
23-43	Deepak	
23-44	.	

#id=24
#text=Men jeg er god til at give mig selv et kærligt spark bagi og finde noget glæde frem...
24-1	Men	
24-2	jeg	
24-3	er	
24-4	god	
24-5	til	
24-6	at	
24-7	give	
24-8	mig	
24-9	selv	
24-10	et	
24-11	kærligt	
24-12	spark	
24-13	bagi	
24-14	og	
24-15	finde	
24-16	noget	
24-17	glæde	
24-18	frem	
24-19	.	
24-20	.	
24-21	.	

#id=25
