 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Og det er skræmmende at forestille mig, at både værktøjskassen og mit livs kærlighed faktisk kan lide uoprettelig skade.
1-1	Og	og	CC:----:--:----	_	
1-2	det	det	PP:s-un:--:-3n-	_	
1-3	er	være	VF:----:sa:----	_	
1-4	skræmmende	skræmme	VP:##u#:s-:----	_	
1-5	at	at	UI:----:--:----	_	
1-6	forestille	forestille	VI:----:-a:----	_	
1-7	mig	jeg	PP:s-uc:--:-1#-	_	
1-8	,	,	ZD	_	
1-9	at	at	CS:----:--:----	_	
1-10	både	både	D-:----:--:u---	_	
1-11	værktøjskassen	værktøjskasse	NC:sduc:--:----	_	
1-12	og	og	CC:----:--:----	_	
1-13	mit	mit	XF:----:--:----	_	
1-14	livs	liv	NW:----:--:----	_	
1-15	kærlighed	kærlighed	NC:siuc:--:----	_	
1-16	faktisk	faktisk	AD:----:--:p---	_	
1-17	kan	kunne	VF:----:sa:----	_	
1-18	lide	lide	VI:----:-a:----	_	
1-19	uoprettelig	uoprettelig	AC:siuc:--:p---	_	
1-20	skade	skade	NC:siuc:--:----	skade-F-tage/lide-skade	
1-21	.	.	ZP	_	

#id=2
#text= I seks dage har den stakkels udekat været spærret inde, efter at hans bagben kom til skade.
2-1	I	i	T-:----:--:----	_	
2-2	seks	seks	LC:--u-:--:----	_	
2-3	dage	dag	NC:piu#:--:----	_	
2-4	har	have	VF:----:sa:----	_	
2-5	den	den	PM:s-uc:--:----	_	
2-6	stakkels	stakkels	AC:§§u§:--:p---	_	
2-7	udekat	udekat	NC:siuc:--:----	_	
2-8	været	være	VT:siu#:t-:----	_	
2-9	spærret	spærre	VT:siu#:t-:----	_	
2-10	inde	inde	D-:----:--:u---	_	
2-11	,	,	ZD	_	
2-12	efter	efter	CS:----:--:----	_	
2-13	at	at	CS:----:--:----	_	
2-14	hans	hans	PO:#--#:--:-3ns	_	
2-15	bagben	bagben	NC:siun:--:----	_	
2-16	kom	komme	VF:----:ta:----	_	
2-17	til	til	T-:----:--:----	_	
2-18	skade	skade	NC:siuc:--:----	skade-F-komme-til-skade	
2-19	.	.	ZP	_	

#id=3
#text= Vel vidende at han kunne komme til at gøre skade på såret, som ellers heler pænt.
3-1	Vel	vel	D-:----:--:u---	_	
3-2	vidende	vidende	NC:siun:--:----	_	
3-3	at	at	CS:----:--:----	_	
3-4	han	han	PP:s-nc:--:-3n-	_	
3-5	kunne	kunne	VF:----:ta:----	_	
3-6	komme	komme	VI:----:-a:----	_	
3-7	til	til	T-:----:--:----	_	
3-8	at	at	UI:----:--:----	_	
3-9	gøre	gøre	VI:----:-a:----	_	
3-10	skade	skade	NC:siuc:--:----	skade1-1	
3-11	på	på	T-:----:--:----	_	
3-12	såret	sår	NC:sdun:--:----	_	
3-13	,	,	ZD	_	
3-14	som	som	US:----:--:----	_	
3-15	ellers	ellers	D-:----:--:u---	_	
3-16	heler	hele	VF:----:sa:----	_	
3-17	pænt	pæn	AD:----:--:p---	_	
3-18	.	.	ZP	_	

#id=4
#text= Og jeg overlevede endda ikke at være sammen med mit lille barn juleaften (og teenageren har vist heller ikke taget skade , sådan lyder det i hvert fald på smserne fra hendes kærestely) men det var første gang nogensinde, vi  prøvede det.
4-1	Og	og	CC:----:--:----	_	
4-2	jeg	jeg	PP:s-nc:--:-1n-	_	
4-3	overlevede	overleve	VF:----:ta:----	_	
4-4	endda	endda	D-:----:--:u---	_	
4-5	ikke	ikke	D-:----:--:u---	_	
4-6	at	at	UI:----:--:----	_	
4-7	være	være	VI:----:-a:----	_	
4-8	sammen	sammen	D-:----:--:u---	_	
4-9	med	med	---:--:----	_	
4-10	mit	min	PO:s--n:--:-1ns	_	
4-11	lille	lille	AC:s§u§:--:p---	_	
4-12	barn	barn	NC:siun:--:----	_	
4-13	juleaften	juleaften	NC:siuc:--:----	_	
4-14	(	(	ZD	_	
4-15	og	og	CC:----:--:----	_	
4-16	teenageren	teenager	NC:sduc:--:----	_	
4-17	har	have	VF:----:sa:----	_	
4-18	vist	vise	VT:siu#:t-:----	_	
4-19	heller	heller	D-:----:--:u---	_	
4-20	ikke	ikke	D-:----:--:u---	_	
4-21	taget	tage	VT:siu#:t-:----	_	
4-22	skade	skade	NC:siuc:--:----	skade-F-tage/lide-skade	
4-23	,	,	ZD	_	
4-24	sådan	sådan	D-:----:--:u---	_	
4-25	lyder	lyde	VF:----:sa:----	_	
4-26	det	det	PP:s-un:--:-3n-	_	
4-27	i	i	T-:----:--:----	_	
4-28	hvert	hver	PI:s-un:--:----	_	
4-29	fald	fald	NC:siun:--:----	_	
4-30	på	på	T-:----:--:----	_	
4-31	smserne	smserne	XY:----:--:----	_	
4-32	fra	fra	-:--:----	_	
4-33	hendes	hendes	PO:#--#:--:-3ns	_	
4-34	kærestely	kærestely	NC:siun:--:----	_	
4-35	)	)	ZD	_	
4-36	men	men	CC:----:--:----	_	
4-37	det	det	PP:s-un:--:-3n-	_	
4-38	var	være	VF:----:ta:----	_	
4-39	første	første	AC:§§u§:--:p---	_	
4-40	gang	gang	NC:siuc:--:----	_	
4-41	nogensinde	nogensinde	D-:----:--:u---	_	
4-42	,	,	ZD	_	
4-43	vi	vi	PP:p-nc:--:-1n-	_	
4-44	prøvede	prøve	VF:----:ta:----	_	
4-45	det	det	PP:s-un:--:-3n-	_	
4-46	.	.	ZP	_	

#id=5
#text= Faktisk kom der nok til at dække græsplænen, og jeg har skam også været ude og feje  fortov og indkørsel, så ingen kommer til skade .
5-1	Faktisk	faktisk	AD:----:--:p---	_	
5-2	kom	komme	VF:----:ta:----	_	
5-3	der	der	US:----:--:----	_	
5-4	nok	nok	D-:----:--:u---	_	
5-5	til	til	T-:----:--:----	_	
5-6	at	at	UI:----:--:----	_	
5-7	dække	dække	VI:----:-a:----	_	
5-8	græsplænen	græsplæne	NC:sduc:--:----	_	
5-9	,	,	ZD	_	
5-10	og	og	CC:----:--:----	_	
5-11	jeg	jeg	PP:s-nc:--:-1n-	_	
5-12	har	have	VF:----:sa:----	_	
5-13	skam	skam	D-:----:--:u---	_	
