 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lex | Tag
#id=1
#text=Den 24-årige østjyde rappede sig ind i danskernes hjerter, da han sidste år vandt " Talent 09", og siden har han arbejdet hårdt på at få udgivet sin plade.
1-1	Den	den	PM:s-uc:--:----	_	
1-2	24	24	LW:----:--:----	_	
1-3	-	-	ZH	_	
1-4	årige	årig	AC:sdu#:--:p---	_	
1-5	østjyde	østjyde	NC:siuc:--:----	_	
1-6	rappede	rappe	VF:----:ta:----	_	
1-7	sig	sig	PP:#-u#:--:-3y-	_	
1-8	ind	ind	D-:----:--:u---	_	
1-9	i	i	T-:----:--:----	_	
1-10	danskernes	dansker	NC:pdg#:--:----	_	
1-11	hjerter	hjerte	NC:piu#:--:----	_	
1-12	,	,	ZD	_	
1-13	da	da	CS:----:--:----	_	
1-14	han	han	PP:s-nc:--:-3n-	_	
1-15	sidste	sidste	AC:§§u§:--:p---	_	
1-16	år	år	NC:siun:--:----	_	
1-17	vandt	vinde	:----:ta:----	_	
1-18	"	"	ZI	_	
1-19	Talent	talent	NC:siun:--:----	_	
1-20	09	09	LC:--u-:--:----	_	
1-21	"	"	ZI	_	
1-22	,	,	ZD	_	
1-23	og	og	CC:----:--:----	_	
1-24	siden	siden	D-:----:--:u---	_	
1-25	har	have	VF:----:sa:----	_	
1-26	han	han	PP:s-nc:--:-3n-	_	
1-27	arbejdet	arbejde	VT:siu#:t-:----	_	
1-28	hårdt	hård	AD:----:--:p---	_	
1-29	på	på	T-:----:--:----	_	
1-30	at	at	UI:----:--:----	_	
1-31	få	få	VI:----:-a:----	_	
1-32	udgivet	udgive	VT:siu#:t-:----	_	
1-33	sin	sin	PO:s--c:--:-3ys	_	
1-34	plade	plade	NC:siuc:--:----	plade_2	
1-35	.	.	ZP	_	

#id=2
#text=Derfor har han for første gang i  15 år valgt at tage et spillejob som dj nytårsaften, hvor han vender plader på Kysten i Charlottenlund.
2-1	Derfor	derfor	D-:----:--:u---	_	
2-2	har	have	VF:----:sa:----	_	
2-3	han	han	PP:s-nc:--:-3n-	_	
2-4	for	for	T-:----:--:----	_	
2-5	første	første	AC:§§u§:--:p---	_	
2-6	gang	gang	NC:siuc:--:----	_	
2-7	i	i	T-:----:--:----	_	
2-8	15	15	LC:--u-:--:----	_	
2-9	år	år	NC:piu#:--:----	_	
2-10	valgt	vælge	VT:siu#:t-:----	_	
2-11	at	at	UI:----:--:----	_	
2-12	tage	tage	VI:----:-a:----	_	
2-13	et	en	PI:s-un:--:----	_	
2-14	spillejob	spillejob	NC:siun:--:----	_	
2-15	som	som	US:----:--:----	_	
2-16	dj	dj	NC:siuc:--:----	_	
2-17	nytårsaften	nytårsaften	NC:siuc:--:----	_	
2-18	,	,	ZD	_	
2-19	hvor	hvor	D-:----:--:u---	_	
2-20	han	han	PP:s-nc:--:-3n-	_	
2-21	vender	vende	VF:----:sa:----	_	
2-22	plader	plade	NC:piu#:--:----	plade_2	
2-23	på	på	T-:----:--:----	_	
2-24	Kysten	kyst	NC:sduc:--:----	_	
2-25	i	i	T-:----:--:----	_	
2-26	Charlottenlund	Charlottenlund	NP:siu#:--:----	_	
2-27	.	.	ZP	_	

#id=3
#text=Men i  1993 tog hans liv igen en uforudsigelig drejning, da han bragede igennem som slagerkonge med sin første plade " Du hast mich heut' noch nicht geküsst".
3-1	Men	men	CC:----:--:----	_	
3-2	i	i	T-:----:--:----	_	
3-3	1993	1993	LC:--u-:--:----	_	
3-4	tog	tage	VF:----:ta:----	_	
3-5	hans	hans	PO:#--#:--:-3ns	_	
3-6	liv	liv	NC:piu#:--:----	_	
3-7	igen	igen	D-:----:--:u---	_	
3-8	en	en	PI:s-uc:--:----	_	
3-9	uforudsigelig	uforudsigelig	AC:siuc:--:p---	_	
3-10	drejning	drejning	NC:siuc:--:----	_	
3-11	,	,	ZD	_	
3-12	da	da	CS:----:--:----	_	
3-13	han	han	PP:s-nc:--:-3n-	_	
3-14	bragede	brage	VF:----:ta:----	_	
3-15	igennem	igennem	D-:----:--:u---	_	
3-16	som	som	US:----:--:----	_	
3-17	slagerkonge	slagerkonge	NC:siuc:--:----	_	
3-18	med	med	T-:----:--:----	_	
3-19	sin	sin	PO:s--c:--:-3ys	_	
3-20	første	første	AC:§§u§:--:p---	_	
3-21	plade	plade	NC:siuc:--:----	plade_2	
3-22	"	"	ZI	_	
3-23	Du	du	PP:s-nc:--:-2n-	_	
3-24	hast	hast	NC:siuc:--:----	_	
3-25	mich	mich	XS:----:--:----	_	
3-26	heut	heut	XS:----:--:----	_	
3-27	'	'	ZA	_	
3-28	noch	nocH	NC:siun:--:----	_	
3-29	nicht	nicht	XS:----:--:----	_	
3-30	geküsst	geküsst	XS:----:--:----	_	
3-31	"	"	ZI	_	
3-32	.	.	ZP	_	

#id=4
#text= Lørdag var det herretur, da drengene skulle vende plader til Tuborg-festen.
4-1	Lørdag	lørdag	NC:siuc:--:----	_	
4-2	var	være	VF:----:ta:----	_	
4-3	det	det	PP:s-un:--:-3n-	_	
4-4	herretur	herretur	NC:siuc:--:----	_	
4-5	,	,	ZD	_	
4-6	da	da	CS:----:--:----	_	
