 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Du kan dog sagtens finde vold og blod i Miyasakis film i modsætning til Disney.
1-1	Du	du	PP:s-nc:--:-2n-	_	
1-2	kan	kunne	VF:----:sa:----	_	
1-3	dog	dog	D-:----:--:u---	_	
1-4	sagtens	sagtens	D-:----:--:u---	_	
1-5	finde	finde	VI:----:-a:----	_	
1-6	vold	vold	NC:siuc:--:----	vold1_1_1a_1b_1c	
1-7	og	og	CC:----:--:----	_	
1-8	blod	blod	NC:siun:--:----	_	
1-9	i	i	T-:----:--:----	_	
1-10	Miyasakis	Miyasakis	NP:sig#:--:----	_	
1-11	film	film	NC:siuc:--:----	_	
1-12	i	i	T-:----:--:----	_	
1-13	modsætning	modsætning	NC:siuc:--:----	_	
1-14	til	til	T-:----:--:----	_	
1-15	Disney	Disney	NP:siu#:--:----	_	
1-16	.	.	ZP	_	

#id=2
#text= Castle in the Sky Kan tydeligt huske at den første jeg så af dem, var Totoro som blev sendt engang på DR1, jeg synes stadig at den er ret god! :P Kan ikke favoritesere, da jeg synes de alle er geniale og på ingen måde adskiller sig fra hinanden, bortset fra historien og mængden på vold (tænker på Totoro :D )
2-1	Castle	Castle	NP:siu#:--:----	_	
2-2	in	In	XF:----:--:----	_	
2-3	the	the	XF:----:--:----	_	
2-4	Sky	Sky	NP:siu#:--:----	_	
2-5	Kan	kunne	VF:----:sa:----	_	
2-6	tydeligt	tydelig	AD:----:--:p---	_	
2-7	huske	huske	VI:----:-a:----	_	
2-8	at	at	CS:----:--:----	_	
2-9	den	den	PM:s-uc:--:----	_	
2-10	første	første	AC:§§u§:--:p---	_	
2-11	jeg	jeg	NC:siun:--:----	_	
2-12	så	så	D-:----:--:u---	_	
2-13	af	af	T-:----:--:----	_	
2-14	dem	de	PP:p-u#:--:-3n-	_	
2-15	,	,	ZD	_	
2-16	var	være	VF:----:ta:----	_	
2-17	Totoro	Totoro	NP:siu#:--:----	_	
2-18	som	som	US:----:--:----	_	
2-19	blev	blive	VF:----:ta:----	_	
2-20	sendt	sende	VT:siu#:t-:----	_	
2-21	engang	engang	D-:----:--:u---	_	
2-22	på	på	T-:----:--:----	_	
2-23	DR1	DR1	NP:siu#:--:----	_	
2-24	,	,	ZD	_	
2-25	jeg	jeg	PP:s-nc:--:-1n-	_	
2-26	synes	syne	VF:----:sp:----	_	
2-27	stadig	stadig	D-:----:--:u---	_	
2-28	at	at	CS:----:--:----	_	
2-29	den	den	PP:s-uc:--:-3n-	_	
2-30	er	være	VF:----:sa:----	_	
2-31	ret	ret	D-:----:--:u---	_	
2-32	god	god	AC:siuc:--:p---	_	
2-33	!	!	ZP	_	
2-34	:	:	ZP	_	
2-35	P	P	NP:siu#:--:----	_	
2-36	Kan	kunne	VF:----:sa:----	_	
