 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Jeg følte mig i hvert fald i godt selskab med Willumsens arbejdspapirer og Herregården Odden, som er nyistandsat, var et meget charmerende bekendtskab.
1-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
1-2	følte	føle	VF:----:ta:----	O	
1-3	mig	jeg	PP:s-uc:--:-1#-	O	
1-4	i	i	T-:----:--:----	O	
1-5	hvert	hver	PI:s-un:--:----	O	
1-6	fald	fald	NC:siun:--:----	O	
1-7	i	i	T-:----:--:----	O	
1-8	godt	god	AC:siun:--:p---	O	
1-9	selskab	selskab|selskab-1c|selskab-1-1a-1b|selskab-2-2a|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3	NC:siun:--:----	B-selskab-1a	
1-10	med	med	T-:----:--:----	O	
1-11	Willumsens	Willumsen	NP:sig#:--:----	O	
1-12	arbejdspapirer	arbejdspapir	NC:piu#:--:----	O	
1-13	og	og	CC:----:--:----	O	
1-14	Herregården	herregård	NC:sduc:--:----	O	
1-15	Odden	od	NC:sduc:--:----	O	
1-16	,	,	ZD	O	
1-17	som	som	US:----:--:----	O	
1-18	er	være	VF:----:sa:----	O	
1-19	nyistandsat	istandsat	AD:----:--:p---	O	
1-20	,	,	ZD	O	
1-21	var	være	VF:----:ta:----	O	
1-22	et	en	PI:s-un:--:----	O	
1-23	meget	megen	AD:----:--:p---	O	
1-24	charmerende	charmerende	AC:§§u§:--:p---	O	
1-25	bekendtskab	bekendtskab	NC:siun:--:----	O	
1-26	.	.	ZP	O	

#id=2
#text=I dag gjorde selskabet det.
2-1	I	_	_	O	
2-2	dag	_	_	O	
2-3	gjorde	_	_	O	
2-4	selskabet	_	_	B-selskab-2	
2-5	det	_	_	O	
2-6	.	_	_	O	

#id=3
#text=Meni dag fik jeg endelig igen snuppet en times tid i maskinernes selskab.
3-1	Men	men	CC:----:--:----	O	
3-2	i	i	T-:----:--:----	O	
3-3	dag	dag	NC:siuc:--:----	O	
3-4	fik	få	VF:----:ta:----	O	
3-5	jeg	jeg	PP:s-nc:--:-1n-	O	
3-6	endelig	endelig	D-:----:--:u---	O	
3-7	igen	igen	D-:----:--:u---	O	
3-8	snuppet	snuppe	VT:siu#:t-:----	O	
3-9	en	en	PI:s-uc:--:----	O	
3-10	times	time	NC:sigc:--:----	O	
3-11	tid	tid	NC:siuc:--:----	O	
3-12	i	i	T-:----:--:----	O	
3-13	maskinernes	maskine	NC:pdg#:--:----	O	
3-14	selskab	selskab|selskab-1c|selskab-1-1a-1b|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3|selskab-2-2a	NC:siun:--:----	B-selskab-1	
3-15	.	.	ZP	O	

#id=4
#text=Sådan halvanden time i maskinernes selskab blankpolerer godt nok den gode samvittighed.
4-1	Sådan	sådan	D-:----:--:u---	O	
4-2	halvanden	halvanden	AC:siuc:--:p---	O	
4-3	time	time	NC:siuc:--:----	O	
4-4	i	i	T-:----:--:----	O	
4-5	maskinernes	maskine	NC:pdg#:--:----	O	
4-6	selskab	selskab|selskab-1c|selskab-1-1a-1b|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3|selskab-2-2a	NC:siun:--:----	B-selskab-1	
4-7	blankpolerer	blankpolere	VF:----:sa:----	O	
4-8	godt	god	AD:----:--:p---	O	
4-9	nok	nok	D-:----:--:u---	O	
4-10	den	den	PM:s-uc:--:----	O	
4-11	gode	god	AC:sdu#:--:p---	O	
4-12	samvittighed	samvittighed	NC:siuc:--:----	O	
4-13	.	.	ZP	O	

#id=5
#text=De blev udløst af, at jeg fortalte, at det efterhånden mere er reglen end undtagelsen, at manden i mit liv og jeg må nøjes med hinandens selskab i weekenderne.
5-1	De	de	PP:p-n#:--:-3n-	O	
5-2	blev	blive	VF:----:ta:----	O	
5-3	udløst	udløse	VT:siu#:t-:----	O	
5-4	af	af	T-:----:--:----	O	
5-5	,	,	ZD	O	
5-6	at	at	CS:----:--:----	O	
5-7	jeg	jeg	PP:s-nc:--:-1n-	O	
5-8	fortalte	fortale	VF:----:ta:----	O	
5-9	,	,	ZD	O	
5-10	at	at	CS:----:--:----	O	
5-11	det	det	PP:s-un:--:-3n-	O	
5-12	efterhånden	en	D-:----:--:u---	O	
5-13	mere	megen	AD:----:--:c---	O	
5-14	er	være	VF:----:sa:----	O	
5-15	reglen	regel	NC:sduc:--:----	O	
5-16	end	end	CS:----:--:----	O	
5-17	undtagelsen	undtagelse	NC:sduc:--:----	O	
5-18	,	,	ZD	O	
5-19	at	at	CS:----:--:----	O	
5-20	manden	mand	NC:sduc:--:----	O	
5-21	i	i	T-:----:--:----	O	
5-22	mit	min	PO:s--n:--:-1ns	O	
5-23	liv	liv	NC:siun:--:----	O	
5-24	og	og	CC:----:--:----	O	
5-25	jeg	jeg	PP:s-nc:--:-1n-	O	
5-26	må	måtte	VF:----:sa:----	O	
5-27	nøjes	nøje	VI:----:-p:----	O	
5-28	med	med	T-:----:--:----	O	
5-29	hinandens	hinandens	XY:----:--:----	O	
5-30	selskab	selskab|selskab-1-1a-1b|selskab-2-2a|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3|selskab-1c	NC:siun:--:----	B-selskab-1a	
5-31	i	i	T-:----:--:----	O	
5-32	weekenderne	weekend	NC:pdu#:--:----	O	
5-33	.	.	ZP	O	

#id=6
#text=Jeg holder så meget af ensomhed, at jeg har fravalgt et besøg hos min (dejlige) svigermor i det nordjyske til fordel for tre et halvt døgn i mit eget selskab (og kattenes, selvfølgelig).
6-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
6-2	holder	holde	VF:----:sa:----	O	
6-3	så	så	D-:----:--:u---	O	
6-4	meget	megen	AD:----:--:p---	O	
6-5	af	af	T-:----:--:----	O	
6-6	ensomhed	ensomhed	NC:siuc:--:----	O	
6-7	,	,	ZD	O	
6-8	at	at	CS:----:--:----	O	
6-9	jeg	jeg	PP:s-nc:--:-1n-	O	
6-10	har	have	VF:----:sa:----	O	
6-11	fravalgt	fravælge	VT:siu#:t-:----	O	
6-12	et	en	----	O	
6-13	besøg	besøg	NC:siun:--:----	O	
6-14	hos	hos	T-:----:--:----	O	
6-15	min	min	XY:----:--:----	O	
6-16	(	(	ZD	O	
6-17	dejlige	dejlig	AC:p#u#:--:p---	O	
6-18	)	)	ZD	O	
6-19	svigermor	svigermor	NC:siuc:--:----	O	
6-20	i	i	T-:----:--:----	O	
6-21	det	den	PM:s-un:--:----	O	
6-22	nordjyske	nordjysk	AC:sdu#:--:p---	O	
6-23	til	til	T-:----:--:----	O	
6-24	fordel	fordel	NC:siuc:--:----	O	
6-25	for	for	T-:----:--:----	O	
6-26	tre	tre	LC:--u-:--:----	O	
6-27	et	en	PI:s-un:--:----	O	
6-28	halvt	halv	AC:siun:--:p---	O	
6-29	døgn	døgn	NC:siun:--:----	O	
6-30	i	i	T-:----:--:----	O	
6-31	mit	min	PO:s--n:--:-1ns	O	
6-32	eget	egen	AC:s§un:--:p---	O	
6-33	selskab	selskab|selskab-F-holde-med-selskab|selskab-1-1a-1b|selskab-2-2a|selskab-1c|selskab-4-4a|selskab-3	NC:siun:--:----	B-selskab-1	
6-34	(	(	ZD	O	
6-35	og	og	CC:----:--:----	O	
6-36	kattenes	kat	NC:pdg#:--:----	O	
6-37	,	,	ZD	O	
6-38	selvfølgelig	selvfølgelig	D-:----:--:u---	O	
6-39	)	)	ZD	O	
6-40	.	.	ZP	O	

#id=7
#text=Den lille time i selskab med en engageret ung guide blev bestemt besøgets højdepunkt.
7-1	Den	den	PM:s-uc:--:----	O	
7-2	lille	lille	AC:s§u§:--:p---	O	
7-3	time	time	NC:siuc:--:----	O	
7-4	i	i	T-:----:--:----	O	
7-5	selskab	selskab|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3|selskab-1-1a-1b|selskab-2-2a|selskab-1c	NC:siun:--:----	B-selskab-1	
7-6	med	med	T-:----:--:----	O	
7-7	en	en	PI:s-uc:--:----	O	
7-8	engageret	engagere	VT:siu#:t-:----	O	
7-9	ung	ung	AC:siuc:--:p---	O	
7-10	guide	guide	NC:siuc:--:----	O	
7-11	blev	blive	VF:----:ta:----	O	
7-12	bestemt	bestemme	VT:siu#:t-:----	O	
7-13	besøgets	besøg	NC:sdgn:--:----	O	
7-14	højdepunkt	højdepunkt	NC:siun:--:----	O	
7-15	.	.	ZP	O	

#id=8
#text=Dervar et større selskab, der holdt fest på Skanderborg Vandrehjem i lørdags.
8-1	Der	der	US:----:--:----	O	
8-2	var	være	VF:----:ta:----	O	
8-3	et	en	PI:s-un:--:----	O	
8-4	større	stor	AC:##u#:--:c---	O	
8-5	selskab	selskab|selskab-1-1a-1b|selskab-4-4a|selskab-F-holde-med-selskab|selskab-3|selskab-2-2a|selskab-1c	NC:siun:--:----	B-selskab-2a	
8-6	,	,	ZD	O	
8-7	der	der	US:----:--:----	O	
8-8	holdt	holde	VF:----:ta:----	O	
8-9	fest	fest	NC:siuc:--:----	O	
8-10	på	på	T-:----:--:----	O	
8-11	Skanderborg	Skanderborg	NP:siu#:--:----	O	
8-12	Vandrehjem	vandrehjem	NC:siun:--:----	O	
8-13	i	i	T-:----:--:----	O	
8-14	lørdags	lørdag	NC:sigc:--:----	O	
8-15	.	.	ZP	O	

#id=9
#text=Såen steghed eftermiddag er blevet tilbragt i selskab med omkring 20 andre små selvstændige samt journalist og forfatter Karen Lumholt, der skulle inspirere os til at vækste fra biks til business.
9-1	Så	så	D-:----:--:u---	O	
9-2	en	en	PI:s-uc:--:----	O	
9-3	steghed	steghed	AC:siuc:--:p---	O	
9-4	eftermiddag	eftermiddag	NC:siuc:--:----	O	
9-5	er	være	VF:----:sa:----	O	
9-6	blevet	blive	VT:siu#:t-:----	O	
9-7	tilbragt	tilbringe	VT:siu#:t-:----	O	
9-8	i	i	T-:----:--:----	O	
9-9	selskab	selskab|selskab-1-1a-1b|selskab-2-2a|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3|selskab-1c	NC:siun:--:----	B-selskab-1	
9-10	med	med	T-:----:--:----	O	
9-11	omkring	omkring	T-:----:--:----	O	
9-12	20	20	LC:--u-:--:----	O	
9-13	andre	anden	PI:p-u#:--:----	O	
9-14	små	lille	AC:p#u#:--:p---	O	
9-15	selvstændige	selvstændig	AC:p#u#:--:p---	O	
9-16	samt	samt	CC:----:--:----	O	
9-17	journalist	journalist	NC:siuc:--:----	O	
9-18	og	og	CC:----:--:----	O	
9-19	forfatter	forfatte	VF:----:sa:----	O	
9-20	Karen	Karen	NP:siu#:--:----	O	
9-21	Lumholt	Lumholt	NP:siu#:--:----	O	
9-22	,	,	ZD	O	
9-23	der	der	US:----:--:----	O	
9-24	skulle	skulle	VF:----:ta:----	O	
9-25	inspirere	inspirere	VI:----:-a:----	O	
9-26	os	vi	PP:p-uc:--:-1#-	O	
9-27	til	til	T-:----:--:----	O	
9-28	at	at	UI:----:--:----	O	
9-29	vækste	vækste	VI:----:-a:----	O	
9-30	fra	fra	T-:----:--:----	O	
9-31	biks	biks	NC:siuc:--:----	O	
9-32	til	til	T-:----:--:----	O	
9-33	business	business	NC:siuc:--:----	O	
9-34	.	.	ZP	O	

#id=10
#text=Så slemt, at jeg til sidst måtte overgive mig og overlade vores (overnattende) gæst kun til mandens selskab, mens jeg krøb i dynerne.
10-1	Så	så	D-:----:--:u---	O	
10-2	slemt	slem	AC:siun:--:p---	O	
10-3	,	,	ZD	O	
10-4	at	at	CS:----:--:----	O	
10-5	jeg	jeg	PP:s-nc:--:-1n-	O	
10-6	til	til	D-:----:--:u---	O	
10-7	sidst	sidst	D-:----:--:u---	O	
10-8	måtte	måtte	VF:----:ta:----	O	
10-9	overgive	overgive	VI:----:-a:----	O	
10-10	mig	jeg	PP:s-uc:--:-1#-	O	
10-11	og	og	CC:----:--:----	O	
10-12	overlade	overlade	VI:----:-a:----	O	
10-13	vores	vores	XY:----:--:----	O	
10-14	(	(	ZD	O	
10-15	overnattende	overnatte	VP:##u#:s-:----	O	
10-16	)	)	ZD	O	
10-17	gæst	gæst	NC:siuc:--:----	O	
10-18	kun	kun	D-:----:--:u---	O	
10-19	til	til	T-:----:--:----	O	
10-20	mandens	mand	NC:sdgc:--:----	O	
10-21	selskab	selskab|selskab-4-4a|selskab-F-holde-med-selskab|selskab-3|selskab-1-1a-1b|selskab-2-2a|selskab-1c	NC:siun:--:----	B-selskab-1a	
10-22	,	,	ZD	O	
10-23	mens	mens	CS:----:--:----	O	
10-24	jeg	jeg	PP:s-nc:--:-1n-	O	
10-25	krøb	krybe	VF:----:ta:----	O	
10-26	i	i	--	O	
10-27	dynerne	dyne	NC:pdu#:--:----	O	
10-28	.	.	ZP	O	

#id=11
#text=Løvstikken kommer også nogen gange med i selskab med persille, når jeg laver pesto.
11-1	Løvstikken	løvstikke	NC:sduc:--:----	O	
11-2	kommer	komme	VF:----:sa:----	O	
11-3	også	også	D-:----:--:u---	O	
11-4	nogen	nogen	PI:s-uc:--:----	O	
11-5	gange	gang	NC:piu#:--:----	O	
11-6	med	med	T-:----:--:----	O	
11-7	i	i	T-:----:--:----	O	
