 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Chidori laver små huller i folk, Rasengan laver store huller/smider fjenden af helvede til.
1-1	Chidori	Chidori	NP:siu#:--:----	_	
1-2	laver	lave	VF:----:sa:----	_	
1-3	små	lille	AC:p#u#:--:p---	_	
1-4	huller	hul	NC:piu#:--:----	hul_1a	
1-5	i	i	T-:----:--:----	_	
1-6	folk	folk	NC:piu#:--:----	_	
1-7	,	,	ZD	_	
1-8	Rasengan	Rasengan	NP:siu#:--:----	_	
1-9	laver	lave	VF:----:sa:----	_	
1-10	store	stor	AC:p#u#:--:p---	_	
1-11	huller	hul	NC:piu#:--:----	hul_1a	
1-12	/	/	NC:siuc:--:----	_	
1-13	smider	smide	VF:----:sa:----	_	
1-14	fjenden	fjende	NC:sduc:--:----	_	
1-15	af	af	T-:----:--:----	_	
1-16	helvede	helvede	NC:siun:--:----	_	
1-17	til	til	T-:----:--:----	_	
1-18	.	.	ZP	_	

#id=2
#text= Chidori laver store huller, men ikke så meget indre skade, rasengan, lige omvendt. (referere igen til de to vandtårne)
2-1	Chidori	Chidori	NP:siu#:--:----	_	
2-2	laver	lave	VF:----:sa:----	_	
2-3	store	stor	AC:p#u#:--:p---	_	
2-4	huller	hul	NC:piu#:--:----	hul_1a	
2-5	,	,	ZD	_	
2-6	men	men	CC:----:--:----	_	
2-7	ikke	ikke	D-:----:--:u---	_	
2-8	så	så	D-:----:--:u---	_	
2-9	meget	megen	AD:----:--:p---	_	
2-10	indre	indre	AC:§§u§:--:p---	_	
2-11	skade	skade	NC:siuc:--:----	_	
2-12	,	,	ZD	_	
2-13	rasengan	rasengan	D-:----:--:u---	_	
2-14	,	,	ZD	_	
2-15	lige	lige	D-:----:--:u---	_	
2-16	omvendt	omvendt	AC:siu§:--:p---	_	
2-17	.	.	ZP	_	
2-18	(	(	ZD	_	
2-19	referere	referere	VI:----:-a:----	_	
2-20	igen	igen	D-:----:--:u---	_	
2-21	til	l	T-:----:--:----	_	
2-22	de	den	PM:p-u#:--:----	_	
2-23	to	to	LC:--u-:--:----	_	
2-24	vandtårne	vandtårn	NC:piu#:--:----	_	
2-25	)	)	ZD	_	

#id=3
#text= Når hun bliver gal kommer der store huller i folk!
3-1	Når	når	CS:----:--:----	_	
3-2	hun	hun	PP:s-nc:--:-3n-	_	
3-3	bliver	blive	VF:----:sa:----	_	
3-4	gal	gal	NC:siun:--:----	_	
3-5	kommer	komme	VF:----:sa:----	_	
3-6	der	der	US:----:--:----	_	
3-7	store	stor	AC:p#u#:--:p---	_	
3-8	huller	hul	NC:piu#:--:----	hul_1a	
3-9	i	i	T-:----:--:----	_	
3-10	folk	folk	NC:siun:--:----	_	
3-11	!	!	ZP	_	

#id=4
#text=Eh, Chidori er lidt ligesom en stor kniv der skærer i folk, og Rasengan laver store huller i ting (Så vidt jeg husker stod Sasuke fuldstændig lammet efter at have set kraften fra Rasengan)
4-1	Eh	eh	I-:----:--:----	_	
4-2	,	,	ZD	_	
4-3	Chidori	Chidori	NP:siu#:--:----	_	
4-4	er	være	VF:----:sa:----	_	
4-5	lidt	lidt	AD:----:--:p---	_	
4-6	ligesom	ligesom	CS:----:--:----	_	
4-7	en	en	PI:s-uc:--:----	_	
4-8	stor	stor	AC:siuc:--:p---	_	
4-9	kniv	kniv	NC:siuc:--:----	_	
4-10	der	der	US:----:--:----	_	
4-11	skærer	skære	VF:----:sa:----	_	
4-12	i	i	T-:----:--:----	_	
4-13	folk	folk	NC:piu#:--:----	_	
4-14	,	,	ZD	_	
4-15	og	og	CC:----:--:----	_	
4-16	Rasengan	Rasengan	NP:siu#:--:----	_	
4-17	laver	lave	VF:----:sa:----	_	
4-18	store	stor	AC:p#u#:--:p---	_	
4-19	huller	hul	NC:piu#:--:----	hul_1_1b_1e	
4-20	i	i	T-:----:--:----	_	
4-21	ting	ting	NC:piu#:--:----	_	
4-22	(	(	ZD	_	
4-23	Så	så	D-:----:--:u---	_	
4-24	vidt	vidt	D-:----:--:u---	_	
4-25	jeg	jeg	PP:s-nc:--:-1n-	_	
4-26	husker	huske	VF:----:sa:----	_	
4-27	stod	stod	NC:siun:--:----	_	
4-28	Sasuke	Sasuke	NP:siu#:--:----	_	
4-29	fuldstændig	fuldstændig	AD:----:--:p---	_	
4-30	lammet	lamme	VT:siu#:t-:----	_	
4-31	efter	efter	T-:----:--:----	_	
4-32	at	at	UI:----:--:----	_	
4-33	have	have	VI:----:-a:----	_	
4-34	set	se	VT:siu#:t-:----	_	
4-35	kraften	kraft	NC:sduc:--:----	_	
4-36	fra	fra	T-:----:--:----	_	
4-37	Rasengan	Rasengan	NP:siu#:--:----	_	
4-38	)	)	ZD	_	

#id=5
#text= Desuden....hvis du har et rimelig stort hul i maven, men ikke andre skader, så kan du (hvis der er en rigtig god Medic-nin i nærheden) overleve.
5-1	Desuden	desuden	D-:----:--:u---	_	
5-2	.	.	ZP	_	
5-3	.	.	ZP	_	
5-4	.	.	ZP	_	
5-5	.	.	ZP	_	
5-6	hvis	hvis	CS:----:--:----	_	
5-7	du	du	PP:s-nc:--:-2n-	_	
5-8	har	have	VF:----:sa:----	_	
5-9	et	en	PI:s-un:--:----	_	
5-10	rimelig	rimelig	AD:----:--:p---	_	
5-11	stort	stor	AC:siun:--:p---	_	
5-12	hul	hul	NC:siun:--:----	hul_1a	
5-13	i	i	T-:----:--:----	_	
5-14	maven	mave	NC:sduc:--:----	_	
5-15	,	,	ZD	_	
5-16	men	men	CC:----:--:----	_	
5-17	ikke	ikke	D-:----:--:u---	_	
5-18	andre	anden	PI:p-u#:--:----	_	
5-19	skader	skade	NC:piu#:--:----	_	
5-20	,	,	ZD	_	
5-21	så	så	D-:----:--:u---	_	
5-22	kan	kunne	VF:----:sa:----	_	
5-23	du	du	PP:s-nc:--:-2n-	_	
5-24	(	(	ZD	_	
5-25	hvis	hvis	CS:----:--:----	_	
5-26	der	der	US:----:--:----	_	
5-27	er	være	VF:----:sa:----	_	
5-28	en	en	PI:s-uc:--:----	_	
5-29	rigtig	rigtig	AC:siuc:--:p---	_	
5-30	god	god	AC:siuc:--:p---	_	
5-31	Medic	Medic	NP:siu#:--:----	_	
5-32	-	-	ZH	_	
5-33	nin	nin	AC:§§u§:--:p---	_	
5-34	i	i	T-:----:--:----	_	
5-35	nærheden	nærhed	NC:sduc:--:----	_	
5-36	)	)	ZD	_	
5-37	overleve	overleve	VI:----:-a:----	_	
5-38	.	.	ZP	_	

#id=6
#text= Har du et næsten lige så stort hul i maven, og et kæmpe hul i ryggen, har du nok et lille problem :P
6-1	Har	have	VF:----:sa:----	_	
6-2	du	du	PP:s-nc:--:-2n-	_	
6-3	et	en	PI:s-un:--:----	_	
6-4	næsten	næsten	D-:----:--:u---	_	
6-5	lige	lige	D-:----:--:u---	_	
6-6	så	så	D-:----:--:u---	_	
6-7	stort	stor	AC:siun:--:p---	_	
6-8	hul	hul	NC:siun:--:----	hul_1a	
6-9	i	i	T-:----:--:----	_	
6-10	maven	mave	NC:sduc:--:----	_	
6-11	,	,	ZD	_	
6-12	og	og	CC:----:--:----	_	
6-13	et	en	PI:s-un:--:----	_	
6-14	kæmpe	kæmpe	AC:§§u§:--:p---	_	
6-15	hul	hul	NC:siun:--:----	hul_1a	
6-16	i	i	T-:----:--:----	_	
6-17	ryggen	ryg	NC:sduc:--:----	_	
6-18	,	,	ZD	_	
6-19	har	have	VF:----:sa:----	_	
6-20	du	du	PP:s-nc:--:-2n-	_	
6-21	nok	nok	D-:----:--:u---	_	
6-22	et	en	PI:s-un:--:----	_	
6-23	lille	lille	AC:s§u§:--:p---	_	
6-24	problem	problem	NC:siun:--:----	_	
6-25	:	:	ZP	_	
6-26	P	P	NP:siu#:--:----	_	

#id=7
#text= Nu hvor jeg har set alle afsnittende, kan jeg også konstatere er den faktisk er ret god, på trods de sorte huller, som obligatorisk dukker op i min hjerne efter alle Anime'er jeg ser.
7-1	Nu	nu	D-:----:--:u---	_	
7-2	hvor	hvor	D-:----:--:u---	_	
7-3	jeg	jeg	PP:s-nc:--:-1n-	_	
7-4	har	have	VF:----:sa:----	_	
7-5	set	se	VT:siu#:t-:----	_	
7-6	alle	al	PI:p-u#:--:----	_	
7-7	afsnittende	afsnitte	VP:##u#:s-:----	_	
7-8	,	,	ZD	_	
7-9	kan	kunne	VF:----:sa:----	_	
7-10	jeg	jeg	PP:s-nc:--:-1n-	_	
7-11	også	også	D-:----:--:u---	_	
7-12	konstatere	konstatere	VI:----:-a:----	_	
7-13	er	være	VF:----:sa:----	_	
7-14	den	den	PM:s-uc:--:----	_	
7-15	faktisk	faktisk	AD:----:--:p---	_	
7-16	er	være	VF:----:sa:----	_	
7-17	ret	ret	D-:----:--:u---	_	
7-18	god	god	AC:siuc:--:p---	_	
7-19	,	,	ZD	_	
7-20	på	på	D-:----:--:u---	_	
7-21	trods	trods	T-:----:--:----	_	
7-22	de	den	PM:p-u#:--:----	_	
7-23	sorte	sort	AC:p#u#:--:p---	_	
7-24	huller	hul	NC:piu#:--:----	hul_2a	
7-25	,	,	ZD	_	
7-26	som	som	US:----:--:----	_	
7-27	obligatorisk	obligatorisk	AD:----:--:p---	_	
7-28	dukker	dukke	VF:----:sa:----	_	
7-29	op	op	---	_	
7-30	i	i	T-:----:--:----	_	
7-31	min	min	PO:s--c:--:-1ns	_	
7-32	hjerne	hjerne	NC:siuc:--:----	_	
7-33	efter	efter	T-:----:--:----	_	
7-34	alle	al	PI:p-u#:--:----	_	
7-35	Anime	Anime	NP:siu#:--:----	_	
7-36	'	'	ZA	_	
7-37	er	være	VF:----:sa:----	_	
7-38	jeg	jeg	PP:s-nc:--:-1n-	_	
7-39	ser	se	VF:----:sa:----	_	
7-40	.	.	ZP	_	

