 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Densensuelle svingom udviklede sig til nære befamlinger fra cykelrytterens side, og kort efter nåede Andy Schleck så toppen, da parret omkring klokken halv tre byttede mundvand midt på dansegulvet.
1-1	Den	den	PM:s-uc:--:----	O	
1-2	sensuelle	sensuel	AC:sdu#:--:p---	O	
1-3	svingom	svingom	NC:siuc:--:----	O	
1-4	udviklede	udvikle	VF:----:ta:----	O	
1-5	sig	sig	PP:#-u#:--:-3y-	O	
1-6	til	til	T-:----:--:----	O	
1-7	nære	nær	AC:p#u#:--:p---	O	
1-8	befamlinger	befamling	NC:piu#:--:----	O	
1-9	fra	fra	T-:----:--:----	O	
1-10	cykelrytterens	cykelrytter	NC:sdgc:--:----	O	
1-11	side	side	NC:siuc:--:----	O	
1-12	,	,	ZD	O	
1-13	og	og	CC:----:--:----	O	
1-14	kort	kort	AD:----:--:p---	O	
1-15	efter	efter	D-:----:--:u---	O	
1-16	nåede	nå	VF:----:ta:----	O	
1-17	Andy	Andy	NP:siu#:--:----	O	
1-18	Schleck	Schleck	NP:siu#:--:----	O	
1-19	så	se	VF:----:ta:----	O	
1-20	toppen	top|top-3|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-2a-2b|top-2|top-1a-1b|top-1	NC:sduc:--:----	B-top-2a-2b	
1-21	,	,	ZD	O	
1-22	da	da	CS:----:--:----	O	
1-23	parret	par	NC:sdun:--:----	O	
1-24	omkring	omkring	T-:----:--:----	O	
1-25	klokken	klokke	NC:sduc:--:----	O	
1-26	halv	halv	AC:siuc:--:p---	O	
1-27	tre	tre	LC:--u-:--:----	O	
1-28	byttede	bytte	VF:----:ta:----	O	
1-29	mundvand	mundvand	NC:siun:--:----	O	
1-30	midt	midt	D-:----:--:u---	O	
1-31	på	på	T-:----:--:----	O	
1-32	dansegulvet	dansegulv	NC:sdun:--:----	O	
1-33	.	.	ZP	O	

#id=2
#text=Mrundertop fem-listen af med en indtjening på 242 millioner kr.
2-1	Mrunder	Mrunder	NP:siu#:--:----	O	
2-2	top	top|top-1|top-2a-2b|top-2|top-1a-1b|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3	NC:siuc:--:----	B-top-2a-2b	
2-3	fem	fem	LC:--u-:--:----	O	
2-4	-	-	ZH	O	
2-5	listen	list	NC:sduc:--:----	O	
2-6	af	af	T-:----:--:----	O	
2-7	med	med	T-:----:--:----	O	
2-8	en	en	PI:s-uc:--:----	O	
2-9	indtjening	indtjening	NC:siuc:--:----	O	
2-10	på	på	T-:----:--:----	O	
2-11	242	242	LC:--u-:--:----	O	
2-12	millioner	million	NC:piu#:--:----	O	
2-13	kr	krone	NC:piu#:--:----	O	
2-14	.	.	ZP	O	

#id=3
#text=Denårhusianske stjernekok kan ikke svare på, om han er Danmarks bedste kok, men han er ikke i tvivl om, at han ligger i toppen.
3-1	Den	den	PM:s-uc:--:----	O	
3-2	århusianske	århusiansk	AC:sdu#:--:p---	O	
3-3	stjernekok	stjernekok	NC:siuc:--:----	O	
3-4	kan	kunne	VF:----:sa:----	O	
3-5	ikke	ikke	D-:----:--:u---	O	
3-6	svare	svare	VI:----:-a:----	O	
3-7	på	på	T-:----:--:----	O	
3-8	,	,	ZD	O	
3-9	om	om	CS:----:--:----	O	
3-10	han	han	PP:s-nc:--:-3n-	O	
3-11	er	være	VF:----:sa:----	O	
3-12	Danmarks	Danmark	NP:sig#:--:----	O	
3-13	bedste	god	AC:§du§:--:s---	O	
3-14	kok	kok	NC:siuc:--:----	O	
3-15	,	,	ZD	O	
3-16	men	men	CC:----:--:----	O	
3-17	han	han	PP:s-nc:--:-3n-	O	
3-18	er	være	VF:----:sa:----	O	
3-19	ikke	ikke	D-:----:--:u---	O	
3-20	i	i	T-:----:--:----	O	
3-21	tvivl	tvivl	NC:siuc:--:----	O	
3-22	om	om	T-:----:--:----	O	
3-23	,	,	ZD	O	
3-24	at	at	CS:----:--:----	O	
3-25	han	han	PP:s-nc:--:-3n-	O	
3-26	ligger	ligge	VF:----:sa:----	O	
3-27	i	i	T-:----:--:----	O	
