 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Jeg er sikker på at der går et lys op for dig!
1-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
1-2	er	være	VF:----:sa:----	_	
1-3	sikker	sikker	AC:siuc:--:p---	_	
1-4	på	på	T-:----:--:----	_	
1-5	at	at	CS:----:--:----	_	
1-6	der	der	US:----:--:----	_	
1-7	går	gå	VF:----:sa:----	_	
1-8	et	en	PI:s-un:--:----	_	
1-9	lys	lys|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-1f|lys-F-i-et-nyt-(andet-..)-lys|lys-F-se-dagens-lys|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af	NC:siun:--:----	lys_F_der-går-et-lys-op-for-nogen	
1-10	op	op	D-:----:--:u---	_	
1-11	for	for	T-:----:--:----	_	
1-12	dig	du	PP:s-uc:--:-2#-	_	
1-13	!	!	ZP	_	

#id=2
#text= I går så min nyeste character, Zack the rogue, så lyset.
2-1	I	i	T-:----:--:----	_	
2-2	går	går	NC:§§u§:--:----	_	
2-3	så	se	VF:----:ta:----	_	
2-4	min	min	PO:s--c:--:-1ns	_	
2-5	nyeste	ny	AC:§du§:--:s---	_	
2-6	character	characte	VF:----:sa:----	_	
2-7	,	,	ZD	_	
2-8	Zack	Zack	NP:siu#:--:----	_	
2-9	the	the	XF:----:--:----	_	
2-10	rogue	roguE	XF:----:--:----	_	
2-11	,	,	ZD	_	
2-12	så	så	CS:----:--:----	_	
2-13	lyset	lys|lys-1f|lys-4|lys-F-der-går-et-lys-op-for-nogen|lys-F-gå-ud-som-et-lys|lys-F-komme-for-dagens-lys|lys-F-rank-som-et-lys|lys-F-tåle-dagens-lys|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-3|Lys-2|lys-1g|lys-1e|lys-1d|lys-1-1a-1b-1c-1f	NC:sdun:--:----	lys_F_se-lyset	
2-14	.	.	ZP	_	

#id=3
#text=Jiraiya mener IKKE at Naruto er et geni, og jeg tror at han burde vide det.....Derimod kan han godt lide Naruto fordi han minder om ham selv, som jo heller ikke var noget lys i starten :)
3-1	Jiraiya	Jiraiya	NP:siu#:--:----	_	
3-2	mener	mene	VF:----:sa:----	_	
3-3	IKKE	ikke	D-:----:--:u---	_	
3-4	at	at	CS:----:--:----	_	
3-5	Naruto	Naruto	NP:siu#:--:----	_	
3-6	er	være	VF:----:sa:----	_	
3-7	et	en	PI:s-un:--:----	_	
3-8	geni	geni	NC:siun:--:----	_	
3-9	,	,	ZD	_	
3-10	og	og	CC:----:--:----	_	
3-11	jeg	jeg	PP:s-nc:--:-1n-	_	
3-12	tror	tro	VF:----:sa:----	_	
3-13	at	at	CS:----:--:----	_	
3-14	han	han	PP:s-nc:--:-3n-	_	
3-15	burde	burde	VF:----:ta:----	_	
3-16	vide	vide	VI:----:-a:----	_	
3-17	det	det	PP:s-un:--:-3n-	_	
3-18	.	.	ZP	_	
3-19	.	.	ZP	_	
3-20	.	.	ZP	_	
3-21	.	.	ZP	_	
3-22	.	.	ZP	_	
3-23	Derimod	derimod	D-:----:--:u---	_	
3-24	kan	kunne	VF:----:sa:----	_	
3-25	han	han	PP:s-nc:--:-3n-	_	
3-26	godt	god	AD:----:--:p---	_	
3-27	lide	lide	VI:----:-a:----	_	
3-28	Naruto	Naruto	NP:siu#:--:----	_	
3-29	fordi	fordi	CS:----:--:----	_	
3-30	han	han	PP:s-nc:--:-3n-	_	
3-31	minder	minde	VF:----:sa:----	_	
3-32	om	om	T-:----:--:----	_	
3-33	ham	han	PP:s-uc:--:-3n-	_	
3-34	selv	selv	PM:#-u#:--:----	_	
3-35	,	,	ZD	_	
3-36	som	som	US:----:--:----	_	
3-37	jo	jo	D-:----:--:u---	_	
3-38	heller	heller	D-:----:--:u---	_	
3-39	ikke	ikke	D-:----:--:u---	_	
3-40	var	være	VF:----:ta:----	_	
3-41	noget	nogen	PI:s-un:--:----	_	
3-42	lys	lys|lys-3|lys-5|lys-F-brænde-sit-lys-i-begge-ender|lys-F-føre-nogen-bag-lyset|lys-F-grønt-lys(for-noget)|lys-F-i-et-nyt-(andet-..)-lys|lys-F-kaste-lys-over|lys-F-lede/søge-med-lys-og-lygte|lys-F-lys-i-mørket|lys-F-se-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-se-lyset|lys-F-rank-som-et-lys|lys-F-levende-lys|lys-F-komme-for-dagens-lys|lys-F-i-lyset-af|lys-F-gå-ud-som-et-lys|lys-F-grønt/gult/rødt-lys|lys-F-der-går-et-lys-op-for-nogen|lys-F-bengalsk-lys|lys-4|Lys-2|lys-1-1a-1b-1c-1f|lys-1e|lys-1g|lys-1f|lys-1d	NC:siun:--:----	lys_5	
3-43	i	i	T-:----:--:----	_	
3-44	starten	start	NC:sduc:--:----	_	
3-45	:	:	ZP	_	
3-46	)	)	ZD	_	

#id=4
#text= Så kan man virkelig se at der er lys i alle  skyskraberne og i Tokyo Tower. :D
4-1	Så	så	D-:----:--:u---	_	
4-2	kan	kunne	VF:----:sa:----	_	
4-3	man	man	PI:#-uc:--:----	_	
4-4	virkelig	virkelig	D-:----:--:u---	_	
4-5	se	se	VI:----:-a:----	_	
4-6	at	at	CS:----:--:----	_	
4-7	der	der	US:----:--:----	_	
4-8	er	være	VF:----:sa:----	_	
4-9	lys	lys|lys-5|lys-F-bengalsk-lys|lys-F-brænde-sit-lys-i-begge-ender|lys-1d|lys-1f|Lys-2|lys-4|lys-3|lys-1g|lys-1e|lys-1-1a-1b-1c-1f|lys-F-der-går-et-lys-op-for-nogen|lys-F-grønt/gult/rødt-lys|lys-F-gå-ud-som-et-lys|lys-F-i-et-nyt-(andet-..)-lys|lys-F-i-lyset-af|lys-F-komme-for-dagens-lys|lys-F-levende-lys|lys-F-rank-som-et-lys|lys-F-se-dagens-lys|lys-F-se-lyset|lys-F-tåle-dagens-lys|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-lys-i-mørket|lys-F-lede/søge-med-lys-og-lygte|lys-F-kaste-lys-over|lys-F-grønt-lys(for-noget)|lys-F-føre-nogen-bag-lyset	NC:siun:--:----	lys_4	
4-10	i	i	T-:----:--:----	_	
4-11	alle	al	PI:p-u#:--:----	_	
4-12	skyskraberne	skyskraber	NC:pdu#:--:----	_	
4-13	og	og	CC:----:--:----	_	
4-14	i	i	T-:----:--:----	_	
4-15	Tokyo	Tokyo	NP:siu#:--:----	_	
4-16	Tower	Tower	NP:siu#:--:----	_	
