 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lex | Tag
#id=1
#text=Michael er altid i nærheden af resten af " Vild med dans"-holdet, mens Cariza holder en passende afstand, mens hun observerer ægtemanden.
1-1	Michael	Michael	NP:siu#:--:----	_	
1-2	er	være	VF:----:sa:----	_	
1-3	altid	altid	D-:----:--:u---	_	
1-4	i	i	T-:----:--:----	_	
1-5	nærheden	nærhed	NC:sduc:--:----	_	
1-6	af	af	T-:----:--:----	_	
1-7	resten	rest	NC:sduc:--:----	_	
1-8	af	af	T-:----:--:----	_	
1-9	"	"	ZI	_	
1-10	Vild	vild	AC:siuc:--:p---	_	
1-11	med	med	T-:----:--:----	_	
1-12	dans	dans	NC:siuc:--:----	_	
1-13	"	"	ZI	_	
1-14	-	-	ZH	_	
1-15	holdet	hold|hold-1-1a-1b|hold-2|hold-7|hold-6a|hold-6|hold-5|hold-4|hold-3|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8	NC:sdun:--:----	hold-1-1a-1b	
1-16	,	,	ZD	_	
1-17	mens	mens	CS:----:--:----	_	
1-18	Cariza	Cariza	NP:siu#:--:----	_	
1-19	holder	holde	VF:----:sa:----	_	
1-20	en	en	PI:s-uc:--:----	_	
1-21	passende	passende	AC:§§u§:--:p---	_	
1-22	afstand	afstand	NC:siuc:--:----	_	
1-23	,	,	ZD	_	
1-24	mens	mens	CS:----:--:----	_	
1-25	hun	hun	PP:s-nc:--:-3n-	_	
1-26	observerer	observere	VF:----:sa:----	_	
1-27	ægtemanden	ægtemand	NC:sduc:--:----	_	
1-28	.	.	ZP	_	

#id=2
#text=Ingen af deltagerne har endnu haft symptomer på den potentielt livsfarlige tropesygdom, men flere fra produktionsholdet er ramt, og hele det 250 mand store hold er derfor evakueret fra øerne og bragt til observation på fastlandet.
2-1	Ingen	ingen	PI:s-uc:--:----	_	
2-2	af	af	T-:----:--:----	_	
2-3	deltagerne	deltager	NC:pdu#:--:----	_	
2-4	har	have	VF:----:sa:----	_	
2-5	endnu	endnu	D-:----:--:u---	_	
2-6	haft	have	VT:siu#:t-:----	_	
2-7	symptomer	symptom	NC:piu#:--:----	_	
2-8	på	på	T-:----:--:----	_	
2-9	den	den	PM:s-uc:--:----	_	
2-10	potentielt	potentiel	AD:----:--:p---	_	
2-11	livsfarlige	livsfarlig	AC:sdu#:--:p---	_	
2-12	tropesygdom	tropesygdom	NC:siuc:--:----	_	
2-13	,	,	ZD	_	
2-14	men	men	CC:----:--:----	_	
2-15	flere	mange	AC:##u#:--:c---	_	
2-16	fra	fra	T-:----:--:----	_	
2-17	produktionsholdet	produktionshold	NC:sdun:--:----	_	
2-18	er	være	VF:----:sa:----	_	
2-19	ramt	ramme	VT:siu#:t-:----	_	
2-20	,	,	ZD	_	
2-21	og	og	CC:----:--:----	_	
2-22	hele	hel	AC:sdu#:--:p---	_	
2-23	det	den	PM:s-un:--:----	_	
2-24	250	250	LO:--u#:--:----	_	
2-25	mand	mand	NC:siuc:--:----	_	
2-26	store	stor	AC:p#u#:--:p---	_	
2-27	hold	hold|hold-3|hold-2|hold-1-1a-1b|hold-6a|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7|hold-6|hold-5|hold-4	NC:piu#:--:----	hold-1-1a-1b	
2-28	er	være	VF:----:sa:----	_	
2-29	derfor	derfor	D-:----:--:u---	_	
2-30	evakueret	evakuere	VT:siu#:t-:----	_	
2-31	fra	fra	T-:----:--:----	_	
2-32	øerne	ø	NC:pdu#:--:----	_	
2-33	og	og	CC:----:--:----	_	
2-34	bragt	bringe	VT:siu#:t-:----	_	
2-35	til	til	T-:----:--:----	_	
2-36	observation	observation	NC:siuc:--:----	_	
2-37	på	på	T-:----:--:----	_	
2-38	fastlandet	fastland	NC:sdun:--:----	_	
2-39	.	.	ZP	_	

#id=3
#text=Den succesfulde træner havde sit hyr med det danske lands-landshold under EM i Sverige i 1992 hold - Vores doktor Mogens Kreutzfeldt havde ansvar for maden.
3-1	Den	den	PM:s-uc:--:----	_	
3-2	succesfulde	succesfuld	AC:sdu#:--:p---	_	
3-3	træner	træner	NC:siuc:--:----	_	
3-4	havde	have	VF:----:ta:----	_	
3-5	sit	sin	PO:s--n:--:-3ys	_	
3-6	hyr	hyr	NC:siun:--:----	_	
3-7	med	med	T-:----:--:----	_	
3-8	det	den	PM:s-un:--:----	_	
3-9	danske	dansk	AC:sdu#:--:p---	_	
3-10	lands	land	NC:sign:--:----	_	
3-11	-	-	NC:piu#:--:----	_	
3-12	landshold	landshold	NC:piu#:--:----	_	
3-13	under	under	T-:----:--:----	_	
3-14	EM	EM	NP:siu#:--:----	_	
3-15	i	i	T-:----:--:----	_	
3-16	Sverige	Sverige	NP:siu#:--:----	_	
3-17	i	i	T-:----:--:----	_	
3-18	1992	1992	LC:--u-:--:----	_	
3-19	hold	hold|hold-3|hold-2|hold-1-1a-1b|hold-4|hold-7|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-6a|hold-6|hold-5	NW:----:--:----	hold-1-1a-1b	
3-20	-	-	ZH	_	
3-21	Vores	Vores	XY:----:--:----	_	
3-22	doktor	doktor	NC:siuc:--:----	_	
3-23	Mogens	Mogens	NP:siu#:--:----	_	
3-24	Kreutzfeldt	Kreutzfeldt	NP:siu#:--:----	_	
3-25	havde	have	VF:----:ta:----	_	
3-26	ansvar	ansvar	NC:siun:--:----	_	
3-27	for	for	T-:----:--:----	_	
3-28	maden	mad	NC:sduc:--:----	_	
3-29	.	.	ZP	_	

#id=4
#text= Og i fredags var sidste års dansevinder ude at hilse på holdet sammen med sin kone, Lise Marie.
4-1	Og	og	CC:----:--:----	_	
4-2	i	i	T-:----:--:----	_	
4-3	fredags	fredag	NC:sigc:--:----	_	
4-4	var	være	VF:----:ta:----	_	
4-5	sidste	sidste	AC:§§u§:--:p---	_	
4-6	års	år	NC:sign:--:----	_	
4-7	dansevinder	dansevinde	NC:piu#:--:----	_	
4-8	ude	ude	D-:----:--:u---	_	
4-9	at	at	UI:----:--:----	_	
4-10	hilse	hilse	VI:----:-a:----	_	
4-11	på	på	T-:----:--:----	_	
4-12	holdet	hold|hold-3|hold-2|hold-1-1a-1b|hold-8|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-7|hold-6a|hold-6|hold-5|hold-4	NC:sdun:--:----	hold-1-1a-1b	
4-13	sammen	sammen	D-:----:--:u---	_	
4-14	med	med	T-:----:--:----	_	
4-15	sin	sin	PO:s--c:--:-3ys	_	
4-16	kone	kone	NC:siuc:--:----	_	
4-17	,	,	ZD	_	
4-18	Lise	Lise	NP:siu#:--:----	_	
4-19	Marie	Marie	NP:siu#:--:----	_	
4-20	.	.	ZP	_	

#id=5
#text=- På min egen restaurant har jeg et meget kompetent hold, så der går jeg ikke og råber og skriger, men hvis tingene ikke er i orden, har det selvfølgelig konsekvenser.
5-1	-	-	NC:piu#:--:----	_	
5-2	På	på	T-:----:--:----	_	
5-3	min	min	PO:s--c:--:-1ns	_	
5-4	egen	egen	AC:s§uc:--:p---	_	
5-5	restaurant	restaurant	NC:siuc:--:----	_	
5-6	har	have	VF:----:sa:----	_	
5-7	jeg	jeg	PP:s-nc:--:-1n-	_	
5-8	et	en	PI:s-un:--:----	_	
5-9	meget	megen	AD:----:--:p---	_	
5-10	kompetent	kompetent	AC:siun:--:p---	_	
