 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Hvis passageren ikke vil rette sig efter de nye regler, får vedkommende slet ikke lov til at  flyve med selskabet.
1-1	Hvis	hvis	CS:----:--:----	O	
1-2	passageren	passager	NC:sduc:--:----	O	
1-3	ikke	ikke	D-:----:--:u---	O	
1-4	vil	ville	VF:----:sa:----	O	
1-5	rette	rette	VI:----:-a:----	O	
1-6	sig	sig	PP:#-u#:--:-3y-	O	
1-7	efter	efter	T-:----:--:----	O	
1-8	de	den	PM:p-u#:--:----	O	
1-9	nye	ny	AC:p#u#:--:p---	O	
1-10	regler	regel	NC:piu#:--:----	O	
1-11	,	,	ZD	O	
1-12	får	få	VF:----:sa:----	O	
1-13	vedkommende	vedkommende	NC:siun:--:----	O	
1-14	slet	slet	D-:----:--:u---	O	
1-15	ikke	ikke	D-:----:--:u---	O	
1-16	lov	lov	NC:siuc:--:----	O	
1-17	til	til	T-:----:--:----	O	
1-18	at	at	UI:----:--:----	O	
1-19	flyve	flyve	VI:----:-a:----	O	
1-20	med	med	T-:----:--:----	O	
1-21	selskabet	selskab|selskab-1-1a-1b|selskab-3|selskab-2-2a|selskab-1c|selskab-F-holde-med-selskab|selskab-4-4a	NC:sdun:--:----	B-selskab-4-4a	
1-22	.	.	ZP	O	

#id=2
#text=Ifølgechefredaktør på computerbladet Pcplayer Morten Skovgaard er det den slags spil, den danske spilbranche skal føre sig frem på nu, hvor det danske flagskib IO Interactive er blevet splittet og solgt til udlandet, og Deadline Games er på fallittens rand efter at have brændt fingrene på at lave store titler, der skulle konkurrere med de store internationale selskaber.
2-1	Ifølge	ifølge	T-:----:--:----	O	
2-2	chefredaktør	chefredaktør	NC:siuc:--:----	O	
2-3	på	på	T-:----:--:----	O	
2-4	computerbladet	computerblad	NC:sdun:--:----	O	
2-5	Pcplayer	Pcplayer	NP:siu#:--:----	O	
2-6	Morten	Morten	NP:siu#:--:----	O	
2-7	Skovgaard	Skovgaard	NP:siu#:--:----	O	
2-8	er	være	VF:----:sa:----	O	
2-9	det	det	PP:s-un:--:-3n-	O	
2-10	den	den	PM:s-uc:--:----	O	
2-11	slags	slags	NC:siuc:--:----	O	
2-12	spil	spil	NC:piu#:--:----	O	
2-13	,	,	ZD	O	
2-14	den	den	PM:s-uc:--:----	O	
2-15	danske	dansk	AC:sdu#:--:p---	O	
2-16	spilbranche	spilbranche	NC:siuc:--:----	O	
2-17	skal	skulle	VF:----:sa:----	O	
2-18	føre	føre	VI:----:-a:----	O	
2-19	sig	sig	PP:#-u#:--:-3y-	O	
2-20	frem	frem	D-:----:--:u---	O	
2-21	på	på	T-:----:--:----	O	
2-22	nu	nu	D-:----:--:u---	O	
2-23	,	,	ZD	O	
2-24	hvor	hvor	D-:----:--:u---	O	
2-25	det	den	PM:s-un:--:----	O	
2-26	danske	dansk	AC:sdu#:--:p---	O	
2-27	flagskib	flagskib	NC:siun:--:----	O	
2-28	IO	Io	NP:siu#:--:----	O	
2-29	Interactive	Interactive	NP:siu#:--:----	O	
2-30	er	være	VF:----:sa:----	O	
2-31	blevet	blive	VT:siu#:t-:----	O	
2-32	splittet	splitte	VT:siu#:t-:----	O	
2-33	og	og	CC:----:--:----	O	
2-34	solgt	sælge	VT:siu#:t-:----	O	
2-35	til	til	T-:----:--:----	O	
2-36	udlandet	udland	NC:sdun:--:----	O	
2-37	,	,	ZD	O	
2-38	og	og	CC:----:--:----	O	
2-39	Deadline	deadline	NC:siuc:--:----	O	
2-40	Games	game	NP:siu#:--:----	O	
2-41	er	være	VF:----:sa:----	O	
2-42	på	på	T-:----:--:----	O	
2-43	fallittens	fallit	NC:sdgc:--:----	O	
2-44	rand	rand	NC:siuc:--:----	O	
2-45	efter	efter	T-:----:--:----	O	
2-46	at	at	UI:----:--:----	O	
2-47	have	have	VI:----:-a:----	O	
2-48	brændt	brænde	VT:siu#:t-:----	O	
2-49	fingrene	finger	NC:pdu#:--:----	O	
2-50	på	på	T-:----:--:----	O	
2-51	at	at	UI:----:--:----	O	
2-52	lave	lave	VI:----:-a:----	O	
2-53	store	stor	AC:p#u#:--:p---	O	
2-54	titler	titel	NC:piu#:--:----	O	
2-55	,	,	ZD	O	
2-56	der	der	US:----:--:----	O	
2-57	skulle	skulle	VF:----:ta:----	O	
2-58	konkurrere	konkurrere	VI:----:-a:----	O	
2-59	med	med	T-:----:--:----	O	
2-60	de	den	PM:p-u#:--:----	O	
2-61	store	stor	AC:p#u#:--:p---	O	
2-62	internationale	international	AC:p#u#:--:p---	O	
2-63	selskaber	selskab|selskab-1c|selskab-1-1a-1b|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3|selskab-2-2a	NC:piu#:--:----	B-selskab-4-4a	
2-64	.	.	ZP	O	

#id=3
#text=Selv om Playdead holder fast i deres filosofiom at holde sig fri af kommercielle interesser, mener Morten Skovgaard, at selskabet bliver nødt til at tænke i mere kommercielle baner, hvis det skal fortsætte med at lave originale spil.
3-1	Selv	selv	D-:----:--:u---	O	
3-2	om	om	T-:----:--:----	O	
3-3	Playdead	Playdead	NP:siu#:--:----	O	
3-4	holder	holde	VF:----:sa:----	O	
3-5	fast	fast	AD:----:--:p---	O	
3-6	i	i	T-:----:--:----	O	
3-7	deres	deres	PO:#--#:--:-3np	O	
3-8	filosofiom	filosofiom	T-:----:--:----	O	
3-9	at	at	UI:----:--:----	O	
3-10	holde	holde	VI:----:-a:----	O	
3-11	sig	sig	PP:#-u#:--:-3y-	O	
3-12	fri	fri	AC:siuc:--:p---	O	
3-13	af	af	T-:----:--:----	O	
3-14	kommercielle	kommerciel	AC:p#u#:--:p---	O	
3-15	interesser	interesse	NC:piu#:--:----	O	
3-16	,	,	ZD	O	
3-17	mener	mene	VF:----:sa:----	O	
3-18	Morten	Morten	NP:siu#:--:----	O	
3-19	Skovgaard	Skovgaard	NP:siu#:--:----	O	
3-20	,	,	ZD	O	
3-21	at	at	CS:----:--:----	O	
3-22	selskabet	selskab|selskab-F-holde-med-selskab|selskab-4-4a|selskab-3|selskab-2-2a|selskab-1c|selskab-1-1a-1b	NC:sdun:--:----	B-selskab-4-4a	
3-23	bliver	blive	VF:----:sa:----	O	
3-24	nødt	nødt	AC:§§u§:--:p---	O	
3-25	til	til	T-:----:--:----	O	
3-26	at	at	UI:----:--:----	O	
3-27	tænke	tænke	VI:----:-a:----	O	
3-28	i	i	T-:----:--:----	O	
3-29	mere	megen	AC:##u#:--:c---	O	
3-30	kommercielle	kommerciel	AC:p#u#:--:p---	O	
3-31	baner	bane	NC:piu#:--:----	O	
3-32	,	,	ZD	O	
3-33	hvis	hvis	CS:----:--:----	O	
3-34	det	det	PP:s-un:--:-3n-	O	
3-35	skal	skulle	VF:----:sa:----	O	
3-36	fortsætte	fortsætte	VI:----:-a:----	O	
3-37	med	med	T-:----:--:----	O	
3-38	at	at	UI:----:--:----	O	
3-39	lave	lave	VI:----:-a:----	O	
