 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Han skal dømmes retfærdigt, men om menneskeheden er i stand til, og har ret til at dømme hans skæbne, det er uvidst.
1-1	Han	han	PP:s-nc:--:-3n-	_	
1-2	skal	skulle	VF:----:sa:----	_	
1-3	dømmes	dømme	VI:----:-p:----	_	
1-4	retfærdigt	retfærdig	AD:----:--:p---	_	
1-5	,	,	ZD	_	
1-6	men	men	CC:----:--:----	_	
1-7	om	om	T-:----:--:----	_	
1-8	menneskeheden	menneskehed	NC:sduc:--:----	_	
1-9	er	være	VF:----:sa:----	_	
1-10	i	i	T-:----:--:----	_	
1-11	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
1-12	til	til	T-:----:--:----	_	
1-13	,	,	ZD	_	
1-14	og	og	CC:----:--:----	_	
1-15	har	have	VF:----:sa:----	_	
1-16	ret	ret	D-:----:--:u---	_	
1-17	til	til	T-:----:--:----	_	
1-18	at	at	UI:----:--:----	_	
1-19	dømme	dømme	VI:----:-a:----	_	
1-20	hans	hans	PO:#--#:--:-3ns	_	
1-21	skæbne	skæbne	NC:siuc:--:----	_	
1-22	,	,	ZD	_	
1-23	det	det	PP:s-un:--:-3n-	_	
1-24	er	være	VF:----:sa:----	_	
1-25	uvidst	uvide	VT:siu#:t-:----	_	
1-26	.	.	ZP	_	

#id=2
#text=  Og det at vi evt. ikke er i stand til at sikre vores fænglser skal være et argument for dødstraf?
2-1	Og	og	CC:----:--:----	_	
2-2	det	det	PP:s-un:--:-3n-	_	
2-3	at	at	CS:----:--:----	_	
2-4	vi	VI	LC:--u-:--:----	_	
2-5	evt	evt	XS:----:--:----	_	
2-6	.	.	ZP	_	
2-7	ikke	ikke	D-:----:--:u---	_	
2-8	er	være	VF:----:sa:----	_	
2-9	i	i	T-:----:--:----	_	
2-10	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
2-11	til	til	T-:----:--:----	_	
2-12	at	at	UI:----:--:----	_	
2-13	sikre	sikre	VI:----:-a:----	_	
2-14	vores	vores	PO:#--#:--:-1np	_	
2-15	fænglser	fænglse	VF:----:sa:----	_	
2-16	skal	skulle	VF:----:sa:----	_	
2-17	være	være	VI:----:-a:----	_	
2-18	et	en	PI:s-un:--:----	_	
2-19	argument	argument	NC:siun:--:----	_	
2-20	for	for	T-:----:--:----	_	
2-21	dødstraf	dødstraf	NC:siuc:--:----	_	
2-22	?	?	ZQ	_	

#id=3
#text= Og hvis man så får bolden, som du siger 'på et tidspunkt', vil man jo ikke være i stand til at yde sin del, til holdet, idet man ikke har træningen.
3-1	Og	og	CC:----:--:----	_	
3-2	hvis	hvis	CS:----:--:----	_	
3-3	man	man	PI:#-uc:--:----	_	
3-4	så	så	D-:----:--:u---	_	
3-5	får	få	VF:----:sa:----	_	
3-6	bolden	bold	NC:sduc:--:----	_	
3-7	,	,	ZD	_	
3-8	som	som	US:----:--:----	_	
3-9	du	du	PP:s-nc:--:-2n-	_	
3-10	siger	sige	VF:----:sa:----	_	
3-11	'	'	ZA	_	
3-12	på	på	T-:----:--:----	_	
3-13	et	en	PI:s-un:--:----	_	
3-14	tidspunkt	tidspunkt	NC:siun:--:----	_	
3-15	'	'	ZA	_	
3-16	,	,	ZD	_	
3-17	vil	ville	VF:----:sa:----	_	
3-18	man	man	PI:#-uc:--:----	_	
3-19	jo	jo	D-:----:--:u---	_	
3-20	ikke	ikke	D-:----:--:u---	_	
3-21	være	være	VI:----:-a:----	_	
3-22	i	i	T-:----:--:----	_	
3-23	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
3-24	til	til	T-:----:--:----	_	
3-25	at	at	UI:----:--:----	_	
3-26	yde	yde	VI:----:-a:----	_	
3-27	sin	sin	PO:s--c:--:-3ys	_	
3-28	del	del	NC:siuc:--:----	_	
3-29	,	,	ZD	_	
3-30	til	til	CS:----:--:----	_	
3-31	holdet	hold	NC:sdun:--:----	_	
3-32	,	,	ZD	_	
3-33	idet	idet	CS:----:--:----	_	
3-34	man	man	PI:#-uc:--:----	_	
3-35	ikke	ikke	D-:----:--:u---	_	
3-36	har	have	VF:----:sa:----	_	
3-37	træningen	træning	NC:sduc:--:----	_	
3-38	.	.	ZP	_	

#id=4
#text=Ska lige siges at jeg ved ikke engang om det er "installeret" og jeg har overhovedt ikke for stand på det.. men der oppe under lyd indstillinger på msn.. der kan jeg ikke vælge mit headset som mikrofon?? kunne det evt. have noget at gøre med at det ikke var installeret?
4-1	Ska	skulle	VF:----:sa:----	_	
4-2	lige	lige	D-:----:--:u---	_	
4-3	siges	sige	VF:----:sp:----	_	
4-4	at	at	CS:----:--:----	_	
4-5	jeg	jeg	PP:s-nc:--:-1n-	_	
4-6	ved	vide	VF:----:sa:----	_	
4-7	ikke	ikke	D-:----:--:u---	_	
4-8	engang	engang	D-:----:--:u---	_	
4-9	om	om	T-:----:--:----	_	
4-10	det	det	PP:s-un:--:-3n-	_	
4-11	er	være	VF:----:sa:----	_	
4-12	"	"	ZI	_	
4-13	installeret	installere	VT:siu#:t-:----	_	
4-14	"	"	ZI	_	
4-15	og	og	CC:----:--:----	_	
4-16	jeg	jeg	PP:s-nc:--:-1n-	_	
4-17	har	have	VF:----:sa:----	_	
4-18	overhovedt	overhovedt	NC:siuc:--:----	_	
4-19	ikke	ikke	D-:----:--:u---	_	
4-20	for	for	T-:----:--:----	_	
4-21	stand	stand	NC:siuc:--:----	_	
4-22	på	på	T-:----:--:----	_	
4-23	det	det	PP:s-un:--:-3n-	_	
4-24	.	.	ZP	_	
4-25	.	.	ZP	_	
4-26	men	men	CC:----:--:----	_	
4-27	der	der	US:----:--:----	_	
4-28	oppe	oppe	D-:----:--:u---	_	
4-29	under	under	T-:----:--:----	_	
4-30	lyd	lyd	NC:siuc:--:----	_	
4-31	indstillinger	indstilling	NC:piu#:--:----	_	
4-32	på	på	D-:----:--:u---	_	
4-33	msn	msne	VM:----:--:----	_	
4-34	.	.	ZP	_	
4-35	.	.	ZP	_	
4-36	der	der	US:----:--:----	_	
4-37	kan	kunne	VF:----:sa:----	_	
4-38	jeg	jeg	PP:s-nc:--:-1n-	_	
4-39	ikke	ikke	D-:----:--:u---	_	
4-40	vælge	vælge	VI:----:-a:----	_	
4-41	mit	mit	XY:----:--:----	_	
4-42	headset	headse	VT:siu#:t-:----	_	
4-43	som	som	US:----:--:----	_	
4-44	mikrofon	mikrofon	NC:siuc:--:----	_	
4-45	?	?	ZQ	_	
4-46	?	?	ZQ	_	
4-47	kunne	kunne	VF:----:ta:----	_	
4-48	det	den	PM:s-un:--:----	_	
4-49	evt	evt	XS:----:--:----	_	
4-50	.	.	ZP	_	
4-51	have	have	VI:----:-a:----	_	
4-52	noget	nogen	PI:s-un:--:----	_	
4-53	at	at	UI:----:--:----	_	
4-54	gøre	gøre	VI:----:-a:----	_	
4-55	med	med	T-:----:--:----	_	
4-56	at	at	CS:----:--:----	_	
4-57	det	det	PP:s-un:--:-3n-	_	
4-58	ikke	ikke	D-:----:--:u---	_	
4-59	var	være	VF:----:ta:----	_	
4-60	installeret	installere	VT:siu#:t-:----	_	
4-61	?	?	ZQ	_	

#id=5
#text=Jeg tror da stadig at jeg vil vælge det - Man skal vel tage nogle chancer mens man er ung..kærligheden kan vel stå på stand-by eller vente..
5-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
5-2	tror	tro	VF:----:sa:----	_	
5-3	da	da	D-:----:--:u---	_	
5-4	stadig	stadig	D-:----:--:u---	_	
5-5	at	at	CS:----:--:----	_	
5-6	jeg	jeg	PP:s-nc:--:-1n-	_	
5-7	vil	ville	VF:----:sa:----	_	
5-8	vælge	vælge	VI:----:-a:----	_	
5-9	det	det	PP:s-un:--:-3n-	_	
5-10	-	-	NC:piu#:--:----	_	
5-11	Man	Man	NP:siu#:--:----	_	
5-12	skal	skulle	VF:----:sa:----	_	
