 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Det er muligt du ikke bliver top professionel, men det er vel heller ikke det vi snakker om.
1-1	Det	det	PP:s-un:--:-3n-	_	
1-2	er	være	VF:----:sa:----	_	
1-3	muligt	mulig	AC:siun:--:p---	_	
1-4	du	du	PP:s-nc:--:-2n-	_	
1-5	ikke	ikke	D-:----:--:u---	_	
1-6	bliver	blive	VF:----:sa:----	_	
1-7	top	top|top-1|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-2|top-1a-1b|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops	NC:siuc:--:----	_	
1-8	professionel	professionel	AC:siuc:--:p---	_	
1-9	,	,	ZD	_	
1-10	men	men	CC:----:--:----	_	
1-11	det	det	PP:s-un:--:-3n-	_	
1-12	er	være	VF:----:sa:----	_	
1-13	vel	vel	D-:----:--:u---	_	
1-14	heller	heller	D-:----:--:u---	_	
1-15	ikke	ikke	D-:----:--:u---	_	
1-16	det	det	PP:s-un:--:-3n-	_	
1-17	vi	vi	PP:p-nc:--:-1n-	_	
1-18	snakker	snakke	VF:----:sa:----	_	
1-19	om	om	T-:----:--:----	_	
1-20	.	.	ZP	_	

#id=2
#text= Ja, så kom Subnet-tiden, derefter Geocities efter jeg havde set siden www.geocities.com/danskeduller, som bare var TOPPEN! (Det tror jeg alle piger kan snakke med om, riiight?
2-1	Ja	ja	I-:----:--:----	_	
2-2	,	,	ZD	_	
2-3	så	så	D-:----:--:u---	_	
2-4	kom	komme	VF:----:ta:----	_	
2-5	Subnet	Subnet	NP:siu#:--:----	_	
2-6	-	-	ZH	_	
2-7	tiden	tid	NC:sduc:--:----	_	
2-8	,	,	ZD	_	
2-9	derefter	derefter	D-:----:--:u---	_	
2-10	Geocities	Geocities	NP:siu#:--:----	_	
