 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=og den pink har måttet lade nogen for regnens slag.
1-1	og	og	CC:----:--:----	_	
1-2	den	den	PM:s-uc:--:----	_	
1-3	pink	pink	AC:§§u§:--:p---	_	
1-4	har	have	VF:----:sa:----	_	
1-5	måttet	måtte	siu#:t-:----	_	
1-6	lade	lade	VI:----:-a:----	_	
1-7	nogen	nogen	PI:s-uc:--:----	_	
1-8	for	for	T-:----:--:----	_	
1-9	regnens	regn	NC:sdgc:--:----	_	
1-10	slag	slag	NC:siun:--:----	slag_1_1c	
1-11	.	.	ZP	_	

#id=2
#text=Normalt er jeg ikke sådan en, der farer hen og flår kunstbøger ned af hylden, når jeg er på kunstmuseum og slår et slag rundt om museumsbutikken.
2-1	Normalt	normal	AD:----:--:p---	_	
2-2	er	være	VF:----:sa:----	_	
2-3	jeg	jeg	PP:s-nc:--:-1n-	_	
2-4	ikke	ikke	D-:----:--:u---	_	
2-5	sådan	sådan	D-:----:--:u---	_	
2-6	en	en	PI:s-uc:--:----	_	
2-7	,	,	ZD	_	
2-8	der	der	US:----:--:----	_	
2-9	farer	fare	VF:----:sa:----	_	
2-10	hen	hen	D-:----:--:u---	_	
2-11	og	og	CC:----:--:----	_	
2-12	flår	flå	VF:----:sa:----	_	
2-13	kunstbøger	kunstbog	NC:piu#:--:----	_	
2-14	ned	ned	D-:----:--:u---	_	
2-15	af	af	T-:----:--:----	_	
2-16	hylden	hyld	NC:sduc:--:----	_	
2-17	,	,	ZD	_	
2-18	når	når	CS:----:--:----	_	
2-19	jeg	jeg	PP:s-nc:--:-1n-	_	
2-20	er	være	VF:----:sa:----	_	
2-21	på	på	T-:----:--:----	_	
2-22	kunstmuseum	kunstmuseum	NC:siun:--:----	_	
2-23	og	og	CC:----:--:----	_	
2-24	slår	slå	VF:----:sa:----	_	
2-25	et	en	PI:s-un:--:----	_	
2-26	slag	slag	NC:siun:--:----	slag_4_4a	
2-27	rundt	rundt	D-:----:--:u---	_	
2-28	om	om	T-:----:--:----	_	
2-29	museumsbutikken	museumsbutik	NC:sduc:--:----	_	
2-30	.	.	ZP	_	

#id=3
#text= Men ikke desto mindre føler jeg for at slå endnu et slag i den bolledej.
3-1	Men	men	CC:----:--:----	_	
3-2	ikke	ikke	D-:----:--:u---	_	
3-3	desto	desto	CC:----:--:----	_	
3-4	mindre	liden	AD:----:--:c---	_	
3-5	føler	føle	VF:----:sa:----	_	
3-6	jeg	jeg	PP:s-nc:--:-1n-	_	
3-7	for	for	T-:----:--:----	_	
3-8	at	at	UI:----:--:----	_	
3-9	slå	slå	VI:----:-a:----	_	
3-10	endnu	endnu	D-:----:--:u---	_	
3-11	et	en	PI:s-un:--:----	_	
3-12	slag	slag	NC:siun:--:----	slag_F_slag i bolledejen	
3-13	i	i	T-:----:--:----	_	
3-14	den	den	PM:s-uc:--:----	_	
3-15	bolledej	bolledej	NC:siuc:--:----	_	
3-16	.	.	ZP	_	

#id=4
#text= Og det er 209 år siden, lord Nelson smadrede en stor del af den dansk-norske flåde i Slaget på Reden.
4-1	Og	og	CC:----:--:----	_	
4-2	det	det	PP:s-un:--:-3n-	_	
4-3	er	være	VF:----:sa:----	_	
4-4	209	209	LC:--u-:--:----	_	
4-5	år	år	NC:piu#:--:----	_	
4-6	siden	siden	D-:----:--:u---	_	
4-7	,	,	ZD	_	
4-8	lord	lord	NC:siuc:--:----	_	
4-9	Nelson	Nelson	NP:siu#:--:----	_	
4-10	smadrede	smadre	VF:----:ta:----	_	
4-11	en	en	PI:s-uc:--:----	_	
4-12	stor	stor	AC:siuc:--:p---	_	
4-13	del	del	NC:siuc:--:----	_	
4-14	af	af	T-:----:--:----	_	
4-15	den	den	PM:s-uc:--:----	_	
4-16	dansk	dansk	NW:----:--:----	_	
4-17	-	-	ZH	_	
4-18	norske	norsk	AC:sdu#:--:p---	_	
4-19	flåde	flåde	NC:siuc:--:----	_	
4-20	i	i	T-:----:--:----	_	
4-21	Slaget	slag	NC:sdun:--:----	slag_2_2b_2c	
4-22	på	på	T-:----:--:----	_	
4-23	Reden	red	NC:sduc:--:----	_	
4-24	.	.	ZP	_	

#id=5
#text= Andersen, påske, påskeliljer, Slaget på Reden
5-1	Andersen	Andersen	NP:siu#:--:----	_	
5-2	,	,	ZD	_	
5-3	påske	påske	NC:siuc:--:----	_	
5-4	,	,	ZD	_	
5-5	påskeliljer	påskelilje	NC:piu#:--:----	_	
5-6	,	,	ZD	_	
5-7	Slaget	slag	NC:sdun:--:----	slag_2_2b_2c	
5-8	på	på	T-:----:--:----	_	
5-9	Reden	red	NC:sduc:--:----	_	

#id=6
#text= Mens jeg slår et enkelt entusiastisk slag med halen .
6-1	Mens	mens	CS:----:--:----	_	
6-2	jeg	jeg	PP:s-nc:--:-1n-	_	
6-3	slår	slå	VF:----:sa:----	_	
6-4	et	en	PI:s-un:--:----	_	
6-5	enkelt	enkelt	AC:siu§:--:p---	_	
6-6	entusiastisk	entusiastisk	AC:siu§:--:p---	_	
6-7	slag	slag	NC:siun:--:----	slag_4_4a	
6-8	med	med	T-:----:--:----	_	
6-9	halen	hale	NC:sduc:--:----	_	
6-10	.	.	ZP	_	

