 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | value
#id=1
#text=Kan godt følge "doktoren" i hans tanke, hvis hun er lykkelig, som hun er, hvorfor så lade hende komme ud af det, og tilbage til den triste hverdag - alt hvad der gør dagen "levebar" er vel acceptabelt, sålænge det ikke skader nogle - vil dog mene, at hun ikke burde være i selskab med sine børn, da de nok ikke ville kunne forstå noget af det.. men placeret på et hjem for psykisk udfordrede personer, hvor børnene så kan besøge hende, ingen alarm fra min side.. :-))
1-1	Kan	kunne	VF:----:sa:----	_	
1-2	godt	god	AD:----:--:p---	_	
1-3	følge	følge	VI:----:-a:----	_	
1-4	"	"	ZI	_	
1-5	doktoren	doktor	NC:sduc:--:----	_	
1-6	"	"	ZI	_	
1-7	i	i	T-:----:--:----	_	
1-8	hans	hans	PO:#--#:--:-3ns	_	
1-9	tanke	tanke	NC:siuc:--:----	_	
1-10	,	,	ZD	_	
1-11	hvis	hvis	CS:----:--:----	_	
1-12	hun	hun	PP:s-nc:--:-3n-	_	
1-13	er	være	VF:----:sa:----	_	
1-14	lykkelig	lykkelig	AC:siuc:--:p---	_	
1-15	,	,	ZD	_	
1-16	som	som	US:----:--:----	_	
1-17	hun	hun	PP:s-nc:--:-3n-	_	
1-18	er	være	VF:----:sa:----	_	
1-19	,	,	ZD	_	
1-20	hvorfor	hvorfor	D-:----:--:u---	_	
1-21	så	så	D-:----:--:u---	_	
1-22	lade	lade	VI:----:-a:----	_	
1-23	hende	hun	PP:s-uc:--:-3n-	_	
1-24	komme	komme	VI:----:-a:----	_	
1-25	ud	ud	D-:----:--:u---	_	
1-26	af	af	T-:----:--:----	_	
1-27	det	det	PP:s-un:--:-3n-	_	
1-28	,	,	ZD	_	
1-29	og	og	CC:----:--:----	_	
1-30	tilbage	tilbage	D-:----:--:u---	_	
1-31	til	til	T-:----:--:----	_	
1-32	den	den	PM:s-uc:--:----	_	
1-33	triste	trist	AC:sdu#:--:p---	_	
1-34	hverdag	hverdag	NC:siuc:--:----	_	
1-35	-	-	NC:piu#:--:----	_	
1-36	alt	al	PI:s-un:--:----	_	
1-37	hvad	hvad	PR:s-u#:--:----	_	
1-38	der	der	US:----:--:----	_	
1-39	gør	gø	VF:----:sa:----	_	
