# newdoc id = selvhenter-2.tsv
# sent_id = 1
# text =  Linkin Park- Live In Texas:)
1	Linkin	linkin	PROPN		noun.communication
2	Park	park	PROPN		noun.communication
3	-	-	PUNCT		
4	Live	live	PROPN		
5	In	in	PROPN		
6	Texas	texas	PROPN		noun.location
7	:	:	PUNCT		
8	)	)	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 2
# text =  OVERSKRIFTER:" Unge har intet at tage sig til"" Meningsløs snak på nettet"" kZenJa R zØD *Sss*"
1	OVERSKRIFTER	overskrift	NOUN		noun.communication
2	:	:	PUNCT		
3	"	"	PUNCT		
4	Unge	unge	PRON		noun.person
5	har	have	VERB		verb.stative
6	intet	ingen	PRON		
7	at	at	PART		
8	tage	tage	VERB		verb.act
9	sig	sig	PRON		verb.REFLPRON
10	til	til	ADP		verb.PARTICLE
11	"	"	PUNCT		
12	"	"	PUNCT		
13	Meningsløs	meningsløs	ADJ		adj.all
14	snak	snak	NOUN		noun.communication
15	på	på	ADP		
16	nettet	net	NOUN		noun.communication
17	"	"	PUNCT		
18	"	"	PUNCT		
19	kZenJa	kzenja	X		noun.person
20	R	r	PROPN		verb.stative
21	zØD	zød	ADJ		
22	*Sss*	*sss*	NOUN		
23	"	"	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 3
# text =  We are meant to be friends:)
1	We	we	PROPN		
2	are	are	X		
3	meant	meant	X		
4	to	to	NUM		
5	be	be	X		
6	friends	friends	X		
7	:	:	PUNCT		
8	)	)	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 4
# text =  I alt!
1	I	i	ADP		
2	alt	al	ADJ		
3	!	!	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 5
# text =  >____< Sejeste smiley.
1	>____<	>____<	ADV		
2	Sejeste	sej	ADJ		adj.all
3	smiley	smiley	NOUN		noun.communication
4	.	.	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 6
# text =  Eller hva'?
1	Eller	eller	CCONJ		
2	hva	hva	X		
3	'	'	PUNCT		
4	?	?	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 7
# text =  Basker, forstod du ikke hvorfor dit avatar var væk lige pludselig?: roll:
1	Basker	basker	PROPN		noun.person
2	,	,	PUNCT		
3	forstod	forstå	VERB		verb.cognition
4	du	du	PRON		
5	ikke	ikke	ADV		
6	hvorfor	hvorfor	ADV		
7	dit	dit	DET		
8	avatar	avatar	NOUN		noun.artifact
9	var	være	AUX		verb.stative
10	væk	væk	ADV		verb.PARTICLE
11	lige	lige	ADV		
12	pludselig	pludselig	ADV		
13	?	?	PUNCT		
14	:	:	PUNCT		
15	roll	roll	X		
16	:	:	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 8
# text =  Jim Carrey i The Truman Show og Bruce den almægtige <33
1	Jim	jim	PROPN		noun.person
2	Carrey	carrey	PROPN		noun.person
3	i	i	ADP		
4	The	the	PROPN		noun.communication
5	Truman	truman	PROPN		noun.communication
6	Show	show	PROPN		noun.communication
7	og	og	CCONJ		
8	Bruce	bruce	PROPN		noun.communication
9	den	den	DET		noun.communication
10	almægtige	almægtig	ADJ		noun.communication
11	<33	<33	X		

# newdoc id = selvhenter-2.tsv
# sent_id = 9
# text =  Johnny Depp... mmmm!
1	Johnny	johnny	PROPN		noun.person
2	Depp	depp	PROPN		noun.person
3	.	.	PUNCT		
4	.	.	PUNCT		
5	.	.	PUNCT		
6	mmmm	mmm	NOUN		
7	!	!	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 10
# text =  STEFFENS SHOPPINGRÅD?!
1	STEFFENS	steffens	PROPN		noun.person
2	SHOPPINGRÅD	shoppingråd	PROPN		noun.communication
3	?	?	PUNCT		
4	!	!	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 11
# text =  Hvis det gav mening?
1	Hvis	hvis	SCONJ		
2	det	det	PRON		
3	gav	give	VERB		verb.cognition
4	mening	mening	NOUN		verb.COLL
5	?	?	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 12
# text =  Haha, min veninde og jeg havde det vildt morsomt ved at gå ind på chatter og blive" antastet" af fyre ( nok nærmere gamle pædofile) som ville have cybersex, lol!
1	Haha	haha	INTJ		
2	,	,	PUNCT		
3	min	min	DET		
4	veninde	veninde	NOUN		noun.person
5	og	og	CCONJ		
6	jeg	jeg	PRON		
7	havde	have	VERB		verb.emotion
8	det	det	PRON		verb.COLL
9	vildt	vildt	ADV		
10	morsomt	morsom	ADJ		
11	ved	ved	ADP		
12	at	at	PART		
13	gå	gå	VERB		verb.motion
14	ind	ind	ADV		verb.PARTICLE
15	på	på	ADP		
16	chatter	chat	NOUN		noun.communication
17	og	og	CCONJ		
18	blive	blive	AUX		
19	"	"	PUNCT		
20	antastet	antaste	VERB		verb.communication
21	"	"	PUNCT		
22	af	af	ADP		
23	fyre	fyr	NOUN		noun.person
24	(	(	PUNCT		
25	nok	nok	ADV		
26	nærmere	nær	ADV		
27	gamle	gammel	ADJ		adj.time
28	pædofile	pædofil	NOUN		noun.person
29	)	)	PUNCT		
30	som	som	ADP		
31	ville	ville	AUX		
32	have	have	VERB		
33	cybersex	cybersex	NOUN		noun.act
34	,	,	PUNCT		
35	lol	lol	PRON		
36	!	!	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 13
# text =  Man når man trykker på en tangent eller strækker ens arm ud, så er det vel af egen fri vilje- af lyst, og ikke fordi man" har brug for det"
1	Man	man	PRON		
2	når	nå	VERB		
3	man	man	PRON		
4	trykker	trykke	VERB		verb.contact
5	på	på	ADP		
6	en	en	DET		
7	tangent	tangent	NOUN		noun.artifact
8	eller	eller	CCONJ		
9	strækker	strække	VERB		verb.motion
10	ens	ens	DET		
11	arm	arm	NOUN		noun.body
12	ud	ud	ADV		noun.location|B-verb.PARTICLE
13	,	,	PUNCT		noun.location
14	så	så	ADV		noun.location
15	er	være	AUX		noun.location|verb.stative
16	det	det	PRON		
17	vel	vel	ADV		
18	af	af	ADP		
19	egen	egen	ADJ		
20	fri	fri	ADJ		adj.all
21	vilje	vilje	NOUN		noun.feeling
22	-	-	PUNCT		
23	af	af	ADP		
24	lyst	lyst	NOUN		noun.feeling
25	,	,	PUNCT		
26	og	og	CCONJ		
27	ikke	ikke	ADV		
28	fordi	fordi	SCONJ		
29	man	man	PRON		
30	"	"	PUNCT		
31	har	have	VERB		verb.emotion
32	brug	brug	NOUN		verb.COLL
33	for	for	ADP		verb.COLL
34	det	det	PRON		
35	"	"	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 14
# text =  Man skal ikke blive bange, men tvinge den til at servicere:)
1	Man	man	PRON		
2	skal	skulle	AUX		
3	ikke	ikke	ADV		
4	blive	blive	AUX		verb.change
5	bange	bange	ADJ		adj.mental
6	,	,	PUNCT		
7	men	men	CCONJ		
8	tvinge	tvinge	VERB		verb.act
9	den	den	PRON		
10	til	til	ADP		
11	at	at	PART		
12	servicere	servicere	VERB		verb.act
13	:	:	PUNCT		
14	)	)	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 15
# text =  Min prioriteringsliste... 1.
1	Min	min	DET		
2	prioriteringsliste	prioriteringsliste	ADJ		noun.communication
3	.	.	PUNCT		
4	.	.	PUNCT		
5	.	.	PUNCT		
6	1	1	PRON		
7	.	.	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 16
# text =  DISNEY?
1	DISNEY	disney	NOUN		
2	?	?	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 17
# text =  Ja, jeg vil forhelvede også være lige så lille som Sarah, lol?
1	Ja	ja	INTJ		
2	,	,	PUNCT		
3	jeg	jeg	PRON		
4	vil	ville	AUX		
5	forhelvede	forhelved	VERB		
6	også	også	ADV		
7	være	være	AUX		verb.stative
8	lige	lige	ADV		
9	så	så	ADV		
10	lille	lille	ADJ		adj.phys
11	som	som	ADP		
12	Sarah	sarah	PROPN		noun.person
13	,	,	PUNCT		
14	lol	lol	PRON		
15	?	?	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 18
# text =  Raw..
1	Raw	raw	PROPN		
2	.	.	PUNCT		
3	.	.	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 19
# text =  Og det kan jeg slet ikke forholde mig ordentligt til, efter min søster har forsøgt selvmord 2 gange...
1	Og	og	CCONJ		
2	det	det	PRON		
3	kan	kunne	AUX		
4	jeg	jeg	PRON		
5	slet	slet	ADV		
6	ikke	ikke	ADV		
7	forholde	forholde	VERB		verb.cognition
8	mig	jeg	PRON		verb.REFLPRON
9	ordentligt	ordentlig	ADV		
10	til	til	ADP		verb.COLL
11	,	,	PUNCT		
12	efter	efter	ADP		
13	min	min	DET		
14	søster	søster	NOUN		noun.person
15	har	have	AUX		
16	forsøgt	forsøge	VERB		verb.act
17	selvmord	selvmord	NOUN		noun.act
18	2	2	NUM		
19	gange	gang	NOUN		noun.quantity
20	.	.	PUNCT		
21	.	.	PUNCT		
22	.	.	PUNCT		

# newdoc id = selvhenter-2.tsv
# sent_id = 20
# text =  Og hvem er du?: I
1	Og	og	CCONJ		
2	hvem	hvem	PRON		
3	er	være	AUX		verb.stative
4	du	du	PRON		
5	?	?	PUNCT		
