 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Hvis der gør kommer der nok til at gå et stykke tid.
1-1	Hvis	hvis	CS:----:--:----	O	
1-2	der	der	US:----:--:----	O	
1-3	gør	gø	VF:----:sa:----	O	
1-4	kommer	komme	VF:----:sa:----	O	
1-5	der	der	US:----:--:----	O	
1-6	nok	nok	D-:----:--:u---	O	
1-7	til	til	T-:----:--:----	O	
1-8	at	at	UI:----:--:----	O	
1-9	gå	gå	VI:----:-a:----	O	
1-10	et	en	PI:s-un:--:----	O	
1-11	stykke	stykke	NC:siun:--:----	B-stykke-3a	
1-12	tid	tid	NC:siuc:--:----	O	
1-13	.	.	ZP	O	

#id=2
#text=tja...det er jo et stykke tid siden, at Zabuza er død, så kan godt forstå at det er svært at huske... har faktisk selv problemer med det, men gider ikke tjekke om hvad der er rigtigt lige nu... hehe, er rimlig doven.
2-1	tja	tja	I-:----:--:----	O	
2-2	.	.	ZP	O	
2-3	.	.	ZP	O	
2-4	.	.	ZP	O	
2-5	det	det	PP:s-un:--:-3n-	O	
2-6	er	være	VF:----:sa:----	O	
2-7	jo	jo	D-:----:--:u---	O	
2-8	et	en	PI:s-un:--:----	O	
2-9	stykke	stykke	NC:siun:--:----	B-stykke-3a	
2-10	tid	tid	NC:siuc:--:----	O	
2-11	siden	siden	T-:----:--:----	O	
2-12	,	,	ZD	O	
2-13	at	at	CS:----:--:----	O	
2-14	Zabuza	Zabuza	NP:siu#:--:----	O	
2-15	er	være	VF:----:sa:----	O	
2-16	død	død	AC:siuc:--:p---	O	
2-17	,	,	ZD	O	
2-18	så	så	D-:----:--:u---	O	
2-19	kan	kunne	VF:----:sa:----	O	
2-20	godt	god	AD:----:--:p---	O	
2-21	forstå	forstå	VI:----:-a:----	O	
2-22	at	at	CS:----:--:----	O	
2-23	det	det	PP:s-un:--:-3n-	O	
2-24	er	være	VF:----:sa:----	O	
2-25	svært	svær	AC:siun:--:p---	O	
2-26	at	at	UI:----:--:----	O	
2-27	huske	huske	VI:----:-a:----	O	
2-28	.	.	ZP	O	
2-29	.	.	ZP	O	
2-30	.	.	ZP	O	
2-31	har	have	VF:----:sa:----	O	
2-32	faktisk	faktisk	AD:----:--:p---	O	
2-33	selv	selv	D-:----:--:u---	O	
2-34	problemer	problem	NC:piu#:--:----	O	
2-35	med	med	T-:----:--:----	O	
2-36	det	det	PP:s-un:--:-3n-	O	
2-37	,	,	ZD	O	
2-38	men	men	CC:----:--:----	O	
2-39	gider	gide	VF:----:sa:----	O	
2-40	ikke	ikke	D-:----:--:u---	O	
2-41	tjekke	tjekke	--:-a:----	O	
2-42	om	om	CS:----:--:----	O	
2-43	hvad	hvad	PR:s-u#:--:----	O	
2-44	der	der	US:----:--:----	O	
2-45	er	være	VF:----:sa:----	O	
2-46	rigtigt	rigtig	AD:----:--:p---	O	
2-47	lige	lige	D-:----:--:u---	O	
2-48	nu	nu	D-:----:--:u---	O	
2-49	.	.	ZP	O	
2-50	.	.	ZP	O	
2-51	.	.	ZP	O	
2-52	hehe	hehe	I-:----:--:----	O	
2-53	,	,	ZD	O	
2-54	er	være	VF:----:sa:----	O	
2-55	rimlig	rimlig	AC:siu§:--:p---	O	
2-56	doven	doven	AC:siuc:--:p---	O	
2-57	.	.	ZP	O	

#id=3
#text=Indtil videre er de vist oppe på omkring de 18 stykker...
3-1	Indtil	indtil	CS:----:--:----	O	
3-2	videre	videre	D-:----:--:u---	O	
