 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | Tag
#id=1
#text=De to trænere var henholdsvis langt nede og højt oppe, da de på det velbesøgte pressemøde skulle forsøge at sætte ord på den kontantspillede kamp, hvor kampens dommer, Kyros Vassaras, gav et rødt kort til Real Madrids Pepe og ellers hældte stakkevis af gule kort ned over begge hold.
1-1	De	den	PM:p-u#:--:----	_	
1-2	to	to	LC:--u-:--:----	_	
1-3	trænere	træner	NC:piu#:--:----	_	
1-4	var	være	VF:----:ta:----	_	
1-5	henholdsvis	henholdsvis	D-:----:--:u---	_	
1-6	langt	lang	AD:----:--:p---	_	
1-7	nede	nede	D-:----:--:u---	_	
1-8	og	og	CC:----:--:----	_	
1-9	højt	høj	AD:----:--:p---	_	
1-10	oppe	oppe	D-:----:--:u---	_	
1-11	,	,	ZD	_	
1-12	da	da	CS:----:--:----	_	
1-13	de	de	PP:p-n#:--:-3n-	_	
1-14	på	på	T-:----:--:----	_	
1-15	det	den	PM:s-un:--:----	_	
1-16	velbesøgte	velbesøgt	AC:sdu#:--:p---	_	
1-17	pressemøde	pressemøde	NC:siun:--:----	_	
1-18	skulle	skulle	VF:----:ta:----	_	
1-19	forsøge	forsøge	VI:----:-a:----	_	
1-20	at	at	UI:----:--:----	_	
1-21	sætte	sætte	VI:----:-a:----	_	
1-22	ord	ord	NC:siun:--:----	_	
1-23	på	på	T-:----:--:----	_	
1-24	den	den	PM:s-uc:--:----	_	
1-25	kontantspillede	kontantspille	VP:sdu#:t-:----	_	
1-26	kamp	kamp	NC:siuc:--:----	_	
1-27	,	,	ZD	_	
1-28	hvor	hvor	D-:----:--:u---	_	
1-29	kampens	kamp	NC:sdgc:--:----	_	
1-30	dommer	dommer	NC:siuc:--:----	_	
1-31	,	,	ZD	_	
1-32	Kyros	Kyros	NP:siu#:--:----	_	
1-33	Vassaras	Vassaras	NP:siu#:--:----	_	
1-34	,	,	ZD	_	
1-35	gav	give	VF:----:ta:----	_	
1-36	et	en	PI:s-un:--:----	_	
1-37	rødt	rød	AC:siun:--:p---	_	
1-38	kort	kort	NC:siun:--:----	kort_F_røde kort	
1-39	til	til	T-:----:--:----	_	
1-40	Real	real	NC:siuc:--:----	_	
1-41	Madrids	Madrid	NP:sig#:--:----	_	
1-42	Pepe	Pepe	NP:siu#:--:----	_	
1-43	og	og	CC:----:--:----	_	
1-44	ellers	ellers	D-:----:--:u---	_	
1-45	hældte	hælde	VF:----:ta:----	_	
1-46	stakkevis	stakkevis	D-:----:--:u---	_	
1-47	af	af	T-:----:--:----	_	
1-48	gule	gul	AC:p#u#:--:p---	_	
1-49	kort	kort	NC:piu#:--:----	kort_F_gult kort	
1-50	ned	ned	D-:----:--:u---	_	
1-51	over	over	T-:----:--:----	_	
1-52	begge	begge	PM:p-u#:--:----	_	
1-53	hold	hold	NC:piu#:--:----	_	
1-54	.	.	ZP	_	

#id=2
#text= For det gule kort, han fik stukket  foran næsen, har sendt ham i skammekrogen med karantæne.
2-1	For	for	T-:----:--:----	_	
2-2	det	den	PM:s-un:--:----	_	
2-3	gule	gul	AC:sdu#:--:p---	_	
2-4	kort	kort	NC:siun:--:----	kort_F_gult kort	
2-5	,	,	ZD	_	
2-6	han	han	PP:s-nc:--:-3n-	_	
2-7	fik	få	VF:----:ta:----	_	
2-8	stukket	stikke	VT:siu#:t-:----	_	
2-9	foran	foran	T-:----:--:----	_	
2-10	næsen	næse	NC:sduc:--:----	_	
2-11	,	,	ZD	_	
2-12	har	have	VF:----:sa:----	_	
2-13	sendt	sende	VT:siu#:t-:----	_	
2-14	ham	han	PP:s-uc:--:-3n-	_	
2-15	i	i	T-:----:--:----	_	
2-16	skammekrogen	skammekrog	NC:sduc:--:----	_	
2-17	med	med	T-:----:--:----	_	
2-18	karantæne	karantæne	NC:siuc:--:----	_	
2-19	.	.	ZP	_	

#id=3
#text=Per Nielsen går for tiden med dybe overvejelser om at lægge  kortene på bordet og fortælle, hvad der gik galt, da Rene Meulensteen førte Brøndby dybt mod afgrunden.
3-1	Per	Per	NP:siu#:--:----	_	
3-2	Nielsen	Nielsen	NP:siu#:--:----	_	
3-3	går	gå	VF:----:sa:----	_	
3-4	for	for	T-:----:--:----	_	
3-5	tiden	tid	NC:sduc:--:----	_	
3-6	med	med	T-:----:--:----	_	
3-7	dybe	dyb	AC:p#u#:--:p---	_	
3-8	overvejelser	overvejelse	NC:piu#:--:----	_	
3-9	om	om	T-:----:--:----	_	
3-10	at	at	UI:----:--:----	_	
3-11	lægge	lægge	VI:----:-a:----	_	
3-12	kortene	kort	NC:pdu#:--:----	kort_F_lægge kortene på bordet	
3-13	på	på	T-:----:--:----	_	
3-14	bordet	bord	NC:sdun:--:----	_	
3-15	og	og	CC:----:--:----	_	
3-16	fortælle	fortælle	VI:----:-a:----	_	
3-17	,	,	ZD	_	
3-18	hvad	hvad	PR:s-u#:--:----	_	
3-19	der	der	US:----:--:----	_	
3-20	gik	gå	---:ta:----	_	
3-21	galt	gal	AD:----:--:p---	_	
3-22	,	,	ZD	_	
3-23	da	da	CS:----:--:----	_	
3-24	Rene	ren	AC:p#u#:--:p---	_	
3-25	Meulensteen	Meulensteen	NP:siu#:--:----	_	
3-26	førte	føre	VF:----:ta:----	_	
3-27	Brøndby	Brøndby	NP:siu#:--:----	_	
3-28	dybt	dyb	AD:----:--:p---	_	
3-29	mod	mod	T-:----:--:----	_	
3-30	afgrunden	afgrund	NC:sduc:--:----	_	
3-31	.	.	ZP	_	

#id=4
#text=Derfor trækker Klavs Bruun Jørgensen det gule kort.
4-1	Derfor	derfor	D-:----:--:u---	_	
4-2	trækker	trække	VF:----:sa:----	_	
4-3	Klavs	Klavs	NP:siu#:--:----	_	
4-4	Bruun	Bruun	NP:siu#:--:----	_	
4-5	Jørgensen	Jørgensen	NP:siu#:--:----	_	
4-6	det	det	XY:----:--:----	_	
4-7	gule	gul	AC:sdu#:--:p---	_	
4-8	kort	kort	NC:siun:--:----	kort_F_gult kort	
4-9	.	.	ZP	_	

#id=5
#text=Chelseas midtbanespiller Frank Lampard slap for tre spilledages karantæne, da det engelske fodboldforbund FA  omstødte det røde kort, som han blev idømt i weekendens kamp mod West Ham.
5-1	Chelseas	Chelsea	NP:sig#:--:----	_	
5-2	midtbanespiller	midtbanespiller	NC:siuc:--:----	_	
5-3	Frank	Frank	NP:siu#:--:----	_	
5-4	Lampard	Lampard	NP:siu#:--:----	_	
5-5	slap	slippe	VF:----:ta:----	_	
5-6	for	for	T-:----:--:----	_	
5-7	tre	tre	LC:--u-:--:----	_	
5-8	spilledages	spilledag	NC:pig#:--:----	_	
5-9	karantæne	karantæne	NC:siuc:--:----	_	
5-10	,	,	ZD	_	
5-11	da	da	CS:----:--:----	_	
5-12	det	den	PM:s-un:--:----	_	
5-13	engelske	engelsk	AC:sdu#:--:p---	_	
5-14	fodboldforbund	fodboldforbund	NC:siun:--:----	_	
5-15	FA	fa	NC:siun:--:----	_	
5-16	omstødte	omstøde	VF:----:ta:----	_	
5-17	det	den	PM:s-un:--:----	_	
5-18	røde	rød	AC:sdu#:--:p---	_	
5-19	kort	kort	NC:siun:--:----	kort_F_røde kort	
5-20	,	,	ZD	_	
5-21	som	som	US:----:--:----	_	
5-22	han	han	PP:s-nc:--:-3n-	_	
5-23	blev	blive	VF:----:ta:----	_	
5-24	idømt	idømme	VT:siu#:t-:----	_	
5-25	i	i	T-:----:--:----	_	
5-26	weekendens	weekend	NC:sdgc:--:----	_	
5-27	kamp	kamp	NC:siuc:--:----	_	
5-28	mod	mod	T-:----:--:----	_	
5-29	West	West	NP:siu#:--:----	_	
5-30	Ham	Ham	XY:----:--:----	_	
5-31	.	.	ZP	_	

#id=6
