 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Dennu 34-årige multikunstner debuterede ved DM i stand-up i 1993, hvor han fik en 2.-plads.
1-1	Den	den	PP:s-uc:--:-3n-	O	
1-2	nu	nu	D-:----:--:u---	O	
1-3	34	34	LW:----:--:----	O	
1-4	-	-	ZH	O	
1-5	årige	årig	AC:sdu#:--:p---	O	
1-6	multikunstner	multikunstner	NC:siuc:--:----	O	
1-7	debuterede	debutere	VF:----:ta:----	O	
1-8	ved	ved	T-:----:--:----	O	
1-9	DM	DM	NP:siu#:--:----	O	
1-10	i	i	T-:----:--:----	O	
1-11	stand	stand	NW:----:--:----	O	
1-12	-	-	ZH	O	
1-13	up	up	XF:----:--:----	O	
1-14	i	i	T-:----:--:----	O	
1-15	1993	1993	LC:--u-:--:----	O	
1-16	,	,	ZD	O	
1-17	hvor	hvor	D-:----:--:u---	O	
1-18	han	han	PP:s-nc:--:-3n-	O	
1-19	fik	få	VF:----:ta:----	O	
1-20	en	en	PI:s-uc:--:----	O	
1-21	2	2	LO:--u#:--:----	O	
1-22	.	.	ZP	O	
1-23	-	-	ZH	O	
1-24	plads	plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1a|plads-1	NC:siuc:--:----	B-plads-4-4a	
1-25	.	.	ZP	O	

#id=2
#text=-Selvfølgelig skal det hænge sammen med baglandet, at jeg er væk i weekenderne, men min mand er bidt af en gal fisker, så vi giver plads til hver vores.
2-1	-	-	NC:piu#:--:----	O	
2-2	Selvfølgelig	selvfølgelig	D-:----:--:u---	O	
2-3	skal	skulle	VF:----:sa:----	O	
2-4	det	det	PP:s-un:--:-3n-	O	
2-5	hænge	hænge	VI:----:-a:----	O	
2-6	sammen	sammen	D-:----:--:u---	O	
2-7	med	med	T-:----:--:----	O	
2-8	baglandet	bagland	NC:sdun:--:----	O	
2-9	,	,	ZD	O	
2-10	at	at	---	O	
2-11	jeg	jeg	PP:s-nc:--:-1n-	O	
2-12	er	være	VF:----:sa:----	O	
2-13	væk	væk	D-:----:--:u---	O	
2-14	i	i	T-:----:--:----	O	
2-15	weekenderne	weekend	NC:pdu#:--:----	O	
2-16	,	,	ZD	O	
2-17	men	men	CC:----:--:----	O	
2-18	min	min	PO:s--c:--:-1ns	O	
2-19	mand	mand	NC:siuc:--:----	O	
2-20	er	være	VF:----:sa:----	O	
2-21	bidt	bide	VT:siu#:t-:----	O	
2-22	af	af	T-:----:--:----	O	
2-23	en	en	PI:s-uc:--:----	O	
2-24	gal	gal	AC:siuc:--:p---	O	
2-25	fisker	fisker	NC:siuc:--:----	O	
2-26	,	,	ZD	O	
2-27	så	så	CS:----:--:----	O	
2-28	vi	vi	PP:p-nc:--:-1n-	O	
2-29	giver	give	VF:----:sa:----	O	
2-30	plads	plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-1|plads-2-2a|plads-3-3a|plads-2b-2c|plads-1a|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|..)-at-give-(væk)-af)	NC:siuc:--:----	B-plads-1a	
2-31	til	til	T-:----:--:----	O	
2-32	hver	hver	PI:s-uc:--:----	O	
2-33	vores	vores	XY:----:--:----	O	
2-34	.	.	ZP	O	

#id=3
#text=Alle voksenting var på plads, men en dag fik jeg virkelig lyst til, at der skulle ske noget nyt, erkender Maria.
3-1	Alle	al	PI:p-u#:--:----	O	
3-2	voksenting	voksenting	NC:piu#:--:----	O	
3-3	var	være	VF:----:ta:----	O	
3-4	på	på	T-:----:--:----	O	
3-5	plads	plads|plads-1a|plads-1|plads-4-4a|plads-7|plads-6|plads-5|plads-3-3a|plads-2b-2c|plads-2-2a|plads-F-banke/sætte-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads	NC:siuc:--:----	B-plads-F-på-plads	
3-6	,	,	ZD	O	
3-7	men	men	CC:----:--:----	O	
3-8	en	en	PI:s-uc:--:----	O	
3-9	dag	dag	NC:siuc:--:----	O	
3-10	fik	få	VF:----:ta:----	O	
3-11	jeg	jeg	PP:s-nc:--:-1n-	O	
3-12	virkelig	virkelig	D-:----:--:u---	O	
3-13	lyst	lyst	NC:siuc:--:----	O	
3-14	til	til	T-:----:--:----	O	
3-15	,	,	ZD	O	
3-16	at	at	CS:----:--:----	O	
3-17	der	der	US:----:--:----	O	
3-18	skulle	skulle	VF:----:ta:----	O	
3-19	ske	ske	VI:----:-a:----	O	
3-20	noget	nogen	PI:s-un:--:----	O	
3-21	nyt	ny	AC:siun:--:p---	O	
3-22	,	,	ZD	O	
3-23	erkender	erkende	VF:----:sa:----	O	
3-24	Maria	Maria	-:----	O	
3-25	.	.	ZP	O	

#id=4
#text=Alleredetorsdag tog Rigmor  så hul på det, der skal bane hendes vej tilbage til en plads i solen med lejlighed tæt på de danske jetsettere.
4-1	Allerede	allerede	D-:----:--:u---	O	
4-2	torsdag	torsdag	NC:siuc:--:----	O	
4-3	tog	tage	VF:----:ta:----	O	
4-4	Rigmor	Rigmor	NP:siu#:--:----	O	
4-5	så	så	D-:----:--:u---	O	
4-6	hul	hul	AC:siuc:--:p---	O	
4-7	på	på	T-:----:--:----	O	
4-8	det	det	PP:s-un:--:-3n-	O	
4-9	,	,	ZD	O	
4-10	der	der	US:----:--:----	O	
4-11	skal	skulle	VF:----:sa:----	O	
4-12	bane	bane	VI:----:-a:----	O	
4-13	hendes	hendes	PO:#--#:--:-3ns	O	
4-14	vej	vej	NC:siuc:--:----	O	
4-15	tilbage	tilbage	D-:----:--:u---	O	
4-16	til	til	T-:----:--:----	O	
4-17	en	en	PI:s-uc:--:----	O	
4-18	plads	plads|plads-1|plads-3-3a|plads-4-4a|plads-2b-2c|plads-2-2a|plads-1a|plads-7|plads-F-på-pladserne|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-6|plads-5	NC:siuc:--:----	B-plads-F-en-plads-i-solen	
4-19	i	i	T-:----:--:----	O	
4-20	solen	sol	NC:sduc:--:----	O	
4-21	med	med	T-:----:--:----	O	
4-22	lejlighed	lejlighed	NC:siuc:--:----	O	
4-23	tæt	tæt	AD:----:--:p---	O	
4-24	på	på	T-:----:--:----	O	
4-25	de	den	PM:p-u#:--:----	O	
4-26	danske	dansk	AC:p#u#:--:p---	O	
4-27	jetsettere	jetsetter	NC:piu#:--:----	O	
4-28	.	.	ZP	O	

#id=5
#text=For så er der plads til Jim Lyngvilds mange ting, som han har samlet igennem årene.
5-1	For	for	CC:----:--:----	O	
5-2	så	så	D-:----:--:u---	O	
5-3	er	være	VF:----:sa:----	O	
5-4	der	der	US:----:--:----	O	
5-5	plads	plads|plads-2b-2c|plads-6|plads-F-en-plads-i-solen|plads-F-på-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-5|plads-4-4a|plads-3-3a|plads-2-2a|plads-1a|plads-1|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads	NC:siuc:--:----	B-plads-1	
5-6	til	til	T-:----:--:----	O	
5-7	Jim	Jim	NP:siu#:--:----	O	
5-8	Lyngvilds	Lyngvilds	NP:sig#:--:----	O	
5-9	mange	mangen	AC:sdu#:--:p---	O	
5-10	ting	ting	NC:siun:--:----	O	
5-11	,	,	ZD	O	
5-12	som	som	US:----:--:----	O	
5-13	han	han	PP:s-nc:--:-3n-	O	
5-14	har	have	VF:----:sa:----	O	
5-15	samlet	samle	VT:siu#:t-:----	O	
5-16	igennem	igennem	T-:----:--:----	O	
5-17	årene	år	NC:pdu#:--:----	O	
5-18	.	.	ZP	O	

#id=6
#text=Forat gøre plads til hele flokken har forældrene flyttet deres soveværelse ud i en campingvogn.
6-1	For	for	T-:----:--:----	O	
6-2	at	at	UI:----:--:----	O	
6-3	gøre	gøre	VI:----:-a:----	O	
6-4	plads	plads|plads-1|plads-2-2a|plads-5|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-4-4a|plads-3-3a|plads-2b-2c|plads-1a|plads-F-brikkerne-falder-på-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-(på)-plads|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-en-plads-i-solen	NC:siuc:--:----	B-plads-1	
6-5	til	til	T-:----:--:----	O	
6-6	hele	hel	AC:sdu#:--:p---	O	
6-7	flokken	flok	NC:sduc:--:----	O	
6-8	har	have	VF:----:sa:----	O	
