 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text= lol, lav et spejlæg, og klister det i ansigtet.. ;)
1-1	lol	lol	NC:siuc:--:----	_	
1-2	,	,	ZD	_	
1-3	lav	lave	VM:----:--:----	_	
1-4	et	en	PI:s-un:--:----	_	
1-5	spejlæg	spejlæg	NC:siun:--:----	_	
1-6	,	,	ZD	_	
1-7	og	og	CC:----:--:----	_	
1-8	klister	klister	NC:siun:--:----	_	
1-9	det	den	PM:s-un:--:----	_	
1-10	i	i	T-:----:--:----	_	
1-11	ansigtet	ansigt	NC:sdun:--:----	Ansigt_1	
1-12	.	.	ZP	_	
1-13	.	.	ZP	_	
1-14	;	;	ZP	_	
1-15	)	)	ZD	_	

#id=2
#text= Jeg er personligt imod  alle de klamme ting man propper i ansigtet og håret "fordi det er sundt".
2-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
2-2	er	være	VF:----:sa:----	_	
2-3	personligt	personlig	AD:----:--:p---	_	
2-4	imod	imod	T-:----:--:----	_	
2-5	alle	al	PI:p-u#:--:----	_	
2-6	de	den	PM:p-u#:--:----	_	
2-7	klamme	m	AC:p#u#:--:p---	_	
2-8	ting	ting	NC:piu#:--:----	_	
2-9	man	man	NW:----:--:----	_	
2-10	propper	prop	NC:piu#:--:----	_	
2-11	i	i	T-:----:--:----	_	
2-12	ansigtet	ansigt	NC:sdun:--:----	Ansigt_1	
2-13	og	og	CC:----:--:----	_	
2-14	håret	hår	NC:sdun:--:----	_	
2-15	"	"	ZI	_	
2-16	fordi	fordi	CS:----:--:----	_	
2-17	det	det	PP:s-un:--:-3n-	_	
2-18	er	være	VF:----:sa:----	_	
2-19	sundt	sund	AC:siun:--:p---	_	
2-20	"	"	ZI	_	
2-21	.	.	ZP	_	

#id=3
#text=hehe, jeg tog bare nogle billeder af mig hvor jeg lavede ansigter.. så fandt jeg den hvor jeg så mest dum ud!? :D...
3-1	hehe	hehe	I-:----:--:----	_	
3-2	,	,	ZD	_	
3-3	jeg	jeg	PP:s-nc:--:-1n-	_	
3-4	tog	tage	VF:----:ta:----	_	
3-5	bare	bare	D-:----:--:u---	_	
3-6	nogle	nogen	PI:p-u#:--:----	_	
3-7	billeder	billede	NC:piu#:--:----	_	
3-8	af	af	T-:----:--:----	_	
3-9	mig	jeg	PP:s-uc:--:-1#-	_	
3-10	hvor	hvor	D-:----:--:u---	_	
3-11	jeg	jeg	PP:s-nc:--:-1n-	_	
3-12	lavede	lave	VF:----:ta:----	_	
3-13	ansigter	ansigt	NC:piu#:--:----	Ansigt_F_skære ansigt/ansigter/lave ansigt/ansigter	
3-14	.	.	ZP	_	
3-15	.	.	ZP	_	
3-16	så	så	D-:----:--:u---	_	
3-17	fandt	finde	VF:----:ta:----	_	
3-18	jeg	jeg	PP:s-nc:--:-1n-	_	
3-19	den	den	PP:s-uc:--:-3n-	_	
3-20	hvor	hvor	D-:----:--:u---	_	
3-21	jeg	jeg	PP:s-nc:--:-1n-	_	
3-22	så	så	D-:----:--:u---	_	
3-23	mest	megen	AD:----:--:s---	_	
3-24	dum	dum	AC:siuc:--:p---	_	
3-25	ud	ud	D-:----:--:u---	_	
3-26	!	!	ZP	_	
3-27	?	?	ZQ	_	
3-28	:	:	ZP	_	
3-29	D	d	NP:siu#:--:----	_	
3-30	.	.	ZP	_	
3-31	.	.	ZP	_	
3-32	.	.	ZP	_	

#id=4
#text=Ansigt:
4-1	Ansigt	ansigt	NC:siun:--:----	_	
4-2	:	:	ZP	_	

#id=5
#text= Jeg bruger det mest simple til at rense ansigt med, en god Nivea ansigtscremé til at fugte huden med og den er billig, min mascara og min kohl...
