 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=For mange seere er den 61-årige journalist som kommentator næsten lige så vigtig som selve kampene.
1-1	For	O	
1-2	mange	O	
1-3	seere	B-noun.person	
1-4	er	O	
1-5	den	O	
1-6	61	B-adj.time	
1-7	-	I-adj.time	
1-8	årige	I-adj.time	
1-9	journalist	B-noun.person	
1-10	som	O	
1-11	kommentator	B-noun.person	
1-12	næsten	O	
1-13	lige	O	
1-14	så	O	
1-15	vigtig	B-adj.all	
1-16	som	O	
1-17	selve	O	
1-18	kampene	B-noun.act	
1-19	.	O	

#id=2
#text=Deter jo ikke kun den ene vej, forklarer den 32-årige fodboldspiller, som har en kæreste og et barn på seks år.
2-1	Det	O	
2-2	er	B-verb.stative	
2-3	jo	O	
2-4	ikke	O	
2-5	kun	O	
2-6	den	O	
2-7	ene	O	
2-8	vej	B-noun.abstract	
2-9	,	O	
2-10	forklarer	B-verb.communication	
2-11	den	O	
2-12	32	B-adj.time	
2-13	-	I-adj.time	
2-14	årige	I-adj.time	
2-15	fodboldspiller	B-noun.person	
2-16	,	O	
2-17	som	O	
2-18	har	B-verb.possession	
2-19	en	O	
2-20	kæreste	B-noun.person	
2-21	og	O	
2-22	et	O	
2-23	barn	B-noun.person	
2-24	på	O	
2-25	seks	O	
2-26	år	B-noun.TOP	
2-27	.	O	

#id=3
#text=I dag er han clean, men næsten ti års misbrug har sat sine tydlige spor hos den 34-årige skuespiller.
3-1	I	O	
3-2	dag	B-noun.time	
3-3	er	B-verb.stative	
3-4	han	O	
3-5	clean	B-adj.phys	
3-6	,	O	
3-7	men	O	
3-8	næsten	O	
3-9	ti	O	
3-10	års	B-noun.time	
3-11	misbrug	B-noun.act	
3-12	har	O	
3-13	sat	B-verb.phenomenon	
3-14	sine	O	
3-15	tydlige	B-adj.all	
3-16	spor	B-noun.phenomenon	
3-17	hos	O	
3-18	den	O	
3-19	34	B-adj.time	
3-20	-	I-adj.time	
3-21	årige	I-adj.time	
3-22	skuespiller	B-noun.person	
3-23	.	O	

#id=4
#text=Heldagsudflugtenkoster 1995 kr., men så er der også garanti for store oplevelser.
4-1	Heldagsudflugten	B-noun.act	
4-2	koster	B-verb.stative	
4-3	1995	O	
4-4	kr	B-noun.quantity	
4-5	.	O	
4-6	,	O	
4-7	men	O	
4-8	så	O	
4-9	er	B-verb.stative	
4-10	der	O	
4-11	også	O	
4-12	garanti	B-noun.abstract	
4-13	for	O	
4-14	store	B-adj.all	
4-15	oplevelser	B-noun.feeling	
4-16	.	O	

#id=5
#text=Det er tophemmeligt, men jeg er simpelthen så glad og lykkelig, fortalte han, da han præsenterede sit sidste nye værk, en bog om Roms små listige sidegaderestauranter på restauranten La Buca i København.
5-1	Det	O	
5-2	er	B-verb.stative	
5-3	tophemmeligt	B-adj.social	
5-4	,	O	
5-5	men	O	
5-6	jeg	O	
5-7	er	B-verb.stative	
5-8	simpelthen	O	
5-9	så	O	
5-10	glad	B-adj.mental	
5-11	og	O	
5-12	lykkelig	B-adj.mental	
5-13	,	O	
5-14	fortalte	B-verb.communication	
5-15	han	O	
5-16	,	O	
5-17	da	O	
5-18	han	O	
5-19	præsenterede	B-verb.communication	
5-20	sit	O	
5-21	sidste	B-adj.time	
5-22	nye	B-adj.time	
5-23	værk	B-noun.communication	
5-24	,	O	
5-25	en	O	
5-26	bog	B-noun.communication	
5-27	om	O	
5-28	Roms	B-noun.location	
5-29	små	B-adj.phys	
5-30	listige	B-adj.all	
5-31	sidegaderestauranter	B-noun.building	
5-32	på	O	
5-33	restauranten	B-noun.building	
5-34	La	B-noun.building	
5-35	Buca	I-noun.building	
5-36	i	O	
5-37	København	B-noun.location	
5-38	.	O	

#id=6
#text=Sammenmed andre kendisser bakker Noam sagen  op.
6-1	Sammen	O	
6-2	med	O	
6-3	andre	O	
6-4	kendisser	B-noun.person	
6-5	bakker	B-verb.cognition	
6-6	Noam	B-noun.person	
6-7	sagen	B-noun.abstract	
6-8	op	B-verb.PARTICLE	
6-9	.	O	

#id=7
#text=Dentidligere poptøs Mel tog ungerne med, da årets træ skulle i hus i Hollywood
7-1	Den	O	
7-2	tidligere	B-adj.time	
7-3	poptøs	B-noun.person	
7-4	Mel	B-noun.person	
7-5	tog	B-verb.motion	
7-6	ungerne	B-noun.person	
7-7	med	B-verb.PARTICLE	
7-8	,	O	
7-9	da	O	
7-10	årets	B-noun.time	
7-11	træ	B-noun.plant	
7-12	skulle	O	
7-13	i	O	
7-14	hus	O	
7-15	i	O	
7-16	Hollywood	B-noun.location	

#id=8
#text=Joachimser også frem til, at han sandsynligvis kommer i Folketinget for Liberal Alliance inden for et lille års tid.
8-1	Joachim	B-noun.person	
8-2	ser	B-verb.emotion	
8-3	også	O	
8-4	frem	B-verb.COLL	
8-5	til	B-verb.COLL	
8-6	,	O	
8-7	at	O	
8-8	han	O	
8-9	sandsynligvis	O	
8-10	kommer	B-verb.phenomenon	
8-11	i	O	
8-12	Folketinget	B-noun.institution	
8-13	for	O	
8-14	Liberal	B-noun.institution	
8-15	Alliance	I-noun.institution	
8-16	inden	O	
8-17	for	O	
8-18	et	O	
8-19	lille	B-adj.time	
8-20	års	B-noun.time	
8-21	tid	B-noun.time	
8-22	.	O	

#id=9
#text=Vi trækker desuden lod om hele første sæson af både "Hun så et mord", "Kojak" og "Magnum P.I.".
9-1	Vi	O	
9-2	trækker	B-verb.act	
9-3	desuden	O	
9-4	lod	B-verb.COLL	
9-5	om	O	
9-6	hele	O	
9-7	første	B-adj.time	
9-8	sæson	B-noun.group	
9-9	af	O	
9-10	både	O	
9-11	"	O	
9-12	Hun	B-noun.communication	
9-13	så	I-noun.communication	
9-14	et	I-noun.communication	
9-15	mord	I-noun.communication	
9-16	"	O	
9-17	,	O	
9-18	"	O	
9-19	Kojak	B-noun.communication	
9-20	"	O	
9-21	og	O	
9-22	"	O	
9-23	Magnum	B-noun.communication	
9-24	P	I-noun.communication	
9-25	.	I-noun.communication	
9-26	I	I-noun.communication	
9-27	.	O	
9-28	"	O	
9-29	.	O	

#id=10
