 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Da milliardæren giftede sig med den 20 år yngre Melania Trump i 2005, stod det nærmest skrevet i kortene, at de ville arbejde på at avle en arving.
1-1	Da	da	CS:----:--:----	_	
1-2	milliardæren	milliardær	NC:sduc:--:----	_	
1-3	giftede	gifte	VF:----:ta:----	_	
1-4	sig	sig	PP:#-u#:--:-3y-	_	
1-5	med	med	T-:----:--:----	_	
1-6	den	den	--	_	
1-7	20	20	LO:--u#:--:----	_	
1-8	år	år	NC:siun:--:----	_	
1-9	yngre	ung	AD:----:--:c---	_	
1-10	Melania	Melania	NP:siu#:--:----	_	
1-11	Trump	Trump	NP:siu#:--:----	_	
1-12	i	i	T-:----:--:----	_	
1-13	2005	2005	LC:--u-:--:----	_	
1-14	,	,	ZD	_	
1-15	stod	stå	VF:----:ta:----	_	
1-16	det	den	PM:s-un:--:----	_	
1-17	nærmest	nær	AD:----:--:s---	_	
1-18	skrevet	skrive	VT:siu#:t-:----	_	
1-19	i	i	T-:----:--:----	_	
1-20	kortene	kort	NC:pdu#:--:----	kort_F_ligge i kortene	
1-21	,	,	ZD	_	
1-22	at	at	CS:----:--:----	_	
1-23	de	de	PP:p-n#:--:-3n-	_	
1-24	ville	ville	VF:----:ta:----	_	
1-25	arbejde	arbejde	VI:----:-a:----	_	
1-26	på	på	T-:----:--:----	_	
1-27	at	at	UI:----:--:----	_	
1-28	avle	avle	VI:----:-a:----	_	
1-29	en	en	PI:s-uc:--:----	_	
1-30	arving	arving	NC:siuc:--:----	_	
1-31	.	.	ZP	_	

#id=2
#text= Men jeg har for længst generhvervet kortet, smiler SE og HØRs favorit, som beskriver sig selv som aktiv, ærlig og kontant.
2-1	Men	men	CC:----:--:----	_	
2-2	jeg	jeg	PP:s-nc:--:-1n-	_	
2-3	har	have	VF:----:sa:----	_	
2-4	for	for	T-:----:--:----	_	
2-5	længst	længst	XY:----:--:----	_	
2-6	generhvervet	generhverve	VT:siu#:t-:----	_	
2-7	kortet	kort	NC:sdun:--:----	kort_1_1a_1b_1c_1d_1e	
2-8	,	,	ZD	_	
2-9	smiler	smile	VF:----:sa:----	_	
2-10	SE	SE	NP:siu#:--:----	_	
2-11	og	og	CC:----:--:----	_	
2-12	HØRs	hør	NC:sigc:--:----	_	
2-13	favorit	favorit	NC:siuc:--:----	_	
2-14	,	,	ZD	_	
2-15	som	som	US:----:--:----	_	
2-16	beskriver	beskrive	VF:----:sa:----	_	
2-17	sig	sig	PP:#-u#:--:-3y-	_	
2-18	selv	selv	PM:#-u#:--:----	_	
2-19	som	som	US:----:--:----	_	
2-20	aktiv	aktiv	AC:siuc:--:p---	_	
2-21	,	,	ZD	_	
2-22	ærlig	ærlig	AC:siuc:--:p---	_	
2-23	og	og	CC:----:--:----	_	
2-24	kontant	kontant	AC:siu§:--:p---	_	
2-25	.	.	ZP	_	

#id=3
#text= L. kort efter at køre bilen ind i en parkeret lastbil.
3-1	L	L	NP:siu#:--:----	_	
3-2	.	.	ZP	_	
3-3	kort	kort	NC:siun:--:----	_	
3-4	efter	efter	T-:----:--:----	_	
3-5	at	at	UI:----:--:----	_	
3-6	køre	køre	VI:----:-a:----	_	
3-7	bilen	bil	NC:sduc:--:----	_	
3-8	ind	ind	D-:----:--:u---	_	
3-9	i	i	T-:----:--:----	_	
3-10	en	en	PI:s-uc:--:----	_	
3-11	parkeret	parkere	VT:siu#:t-:----	_	
3-12	lastbil	lastbil	NC:siuc:--:----	_	
3-13	.	.	ZP	_	

#id=4
#text=Og alligevel forstår jeg ikke, at kongehuset ikke spillede med åbne kort, da de fandt ud af, at vi havde lugtet lunten.
4-1	Og	og	CC:----:--:----	_	
4-2	alligevel	alligevel	D-:----:--:u---	_	
4-3	forstår	forstå	VF:----:sa:----	_	
4-4	jeg	jeg	PP:s-nc:--:-1n-	_	
4-5	ikke	ikke	D-:----:--:u---	_	
4-6	,	,	ZD	_	
4-7	at	at	CS:----:--:----	_	
4-8	kongehuset	kongehus	NC:sdun:--:----	_	
4-9	ikke	ikke	D-:----:--:u---	_	
4-10	spillede	spille	VF:----:ta:----	_	
4-11	med	med	T-:----:--:----	_	
4-12	åbne	åben	AC:p#u#:--:p---	_	
4-13	kort	kort	NC:piu#:--:----	kort_F_spille med åbne kort	
4-14	,	,	ZD	_	
4-15	da	da	CS:----:--:----	_	
4-16	de	de	PP:p-n#:--:-3n-	_	
4-17	fandt	finde	VF:----:ta:----	_	
4-18	ud	ud	D-:----:--:u---	_	
4-19	af	af	T-:----:--:----	_	
4-20	,	,	ZD	_	
4-21	at	at	CS:----:--:----	_	
4-22	vi	vi	PP:p-nc:--:-1n-	_	
4-23	havde	have	VF:----:ta:----	_	
4-24	lugtet	lugte	VT:siu#:t-:----	_	
4-25	lunten	lunte	NC:sduc:--:----	_	
4-26	.	.	ZP	_	

#id=5
#text=Det stod sgu ikke i kortene, da jeg var ung skuespiller.
5-1	Det	det	PP:s-un:--:-3n-	_	
5-2	stod	stå	VF:----:ta:----	_	
5-3	sgu	sgu	D-:----:--:u---	_	
5-4	ikke	ikke	D-:----:--:u---	_	
5-5	i	i	T-:----:--:----	_	
5-6	kortene	kort	NC:pdu#:--:----	kort_F_ligge i kortene	
5-7	,	,	ZD	_	
5-8	da	da	CS:----:--:----	_	
5-9	jeg	jeg	PP:s-nc:--:-1n-	_	
5-10	var	være	VF:----:ta:----	_	
5-11	ung	ung	AC:siuc:--:p---	_	
5-12	skuespiller	skuespiller	NC:siuc:--:----	_	
5-13	.	.	ZP	_	

#id=6
#text=- Det lå ikke i kortene, at jeg skulle dyrke eliteidræt.
6-1	-	-	NC:piu#:--:----	_	
6-2	Det	Det	XY:----:--:----	_	
6-3	lå	ligge	VF:----:ta:----	_	
6-4	ikke	ikke	D-:----:--:u---	_	
6-5	i	i	T-:----:--:----	_	
6-6	kortene	kort	NC:pdu#:--:----	kort_F_ligge i kortene	
6-7	,	,	ZD	_	
6-8	at	at	CS:----:--:----	_	
6-9	jeg	jeg	PP:s-nc:--:-1n-	_	
6-10	skulle	skulle	VF:----:ta:----	_	
6-11	dyrke	dyrke	VI:----:-a:----	_	
6-12	eliteidræt	eliteidræt	NC:siuc:--:----	_	
6-13	.	.	ZP	_	

#id=7
#text= Hun er ligesom de andre dommer-kandidater blevet instrueret i at holde kortene tæt ind til kroppen.
7-1	Hun	hun	PP:s-nc:--:-3n-	_	
7-2	er	være	VF:----:sa:----	_	
7-3	ligesom	ligesom	CS:----:--:----	_	
7-4	de	den	PM:p-u#:--:----	_	
7-5	andre	anden	PI:p-u#:--:----	_	
7-6	dommer	dommer	NW:----:--:----	_	
7-7	-	-	ZH	_	
7-8	kandidater	kandidat	NC:piu#:--:----	_	
7-9	blevet	blive	VT:siu#:t-:----	_	
7-10	instrueret	instruere	VT:siu#:t-:----	_	
7-11	i	i	T-:----:--:----	_	
7-12	at	at	UI:----:--:----	_	
7-13	holde	holde	VI:----:-a:----	_	
7-14	kortene	kort	NC:pdu#:--:----	kort_F_holde kortene tæt ind til kroppen	
7-15	tæt	tæt	AD:----:--:p---	_	
7-16	ind	ind	D-:----:--:u---	_	
7-17	til	til	T-:----:--:----	_	
7-18	kroppen	krop	NC:sduc:--:----	_	
7-19	.	.	ZP	_	

#id=8
#text=Preben Kristensen har spillet sine kort bedst.
8-1	Preben	Preben	NP:siu#:--:----	_	
8-2	Kristensen	Kristensen	NP:siu#:--:----	_	
8-3	har	have	VF:----:sa:----	_	
8-4	spillet	spille	VT:siu#:t-:----	_	
8-5	sine	sin	PO:p--#:--:-3ys	_	
8-6	kort	kort	NC:piu#:--:----	kort_F_spille sine kort godt/dårligt	
8-7	bedst	god	AD:----:--:s---	_	
8-8	.	.	ZP	_	

#id=9
#text=" Jeg har før fået seneskedehindebetændelse i håndleddet af at bære poser, og slidt det ene kort op efter det andet - men slidt en ( helt ny endda) babs op på shopping..
9-1	"	"	ZI	_	
9-2	Jeg	jeg	PP:s-nc:--:-1n-	_	
9-3	har	have	VF:----:sa:----	_	
9-4	før	før	D-:----:--:u---	_	
9-5	fået	få	VT:siu#:t-:----	_	
9-6	seneskedehindebetændelse	seneskedehindebetændelse	NC:siuc:--:----	_	
9-7	i	i	T-:----:--:----	_	
9-8	håndleddet	håndled	NC:sdun:--:----	_	
9-9	af	af	T-:----:--:----	_	
9-10	at	at	UI:----:--:----	_	
9-11	bære	bære	VI:----:-a:----	_	
9-12	poser	pose	NC:piu#:--:----	_	
9-13	,	,	ZD	_	
9-14	og	og	CC:----:--:----	_	
9-15	slidt	slide	VT:siu#:t-:----	_	
9-16	det	den	PM:s-un:--:----	_	
9-17	ene	ene	AC:§§u§:--:p---	_	
9-18	kort	kort	NC:siun:--:----	kort_1_1a_1b_1c_1d_1e	
9-19	op	op	D-:----:--:u---	_	
9-20	efter	efter	T-:----:--:----	_	
9-21	det	den	PM:s-un:--:----	_	
9-22	andet	anden	PI:s-un:--:----	_	
9-23	-	-	NC:piu#:--:----	_	
9-24	men	men	CC:----:--:----	_	
9-25	slidt	slide	VT:siu#:t-:----	_	
9-26	en	en	PI:s-uc:--:----	_	
9-27	(	(	ZD	_	
9-28	helt	hel	AD:----:--:p---	_	
9-29	ny	ny	AC:siuc:--:p---	_	
9-30	endda	endda	D-:----:--:u---	_	
9-31	)	)	ZD	_	
9-32	babs	babs	NC:siuc:--:----	_	
9-33	op	op	D-:----:--:u---	_	
9-34	på	på	T-:----:--:----	_	
9-35	shopping	shopping	NC:siuc:--:----	_	
9-36	.	.	ZP	_	
9-37	.	.	ZP	_	

#id=10
#text= Oven på dommen valgte jeg at spille med åbne kort og advarede alle mod produktet.
10-1	Oven	oven	D-:----:--:u---	_	
10-2	på	på	T-:----:--:----	_	
10-3	dommen	dom	NC:sduc:--:----	_	
10-4	valgte	vælge	VF:----:ta:----	_	
10-5	jeg	jeg	PP:s-nc:--:-1n-	_	
10-6	at	at	UI:----:--:----	_	
10-7	spille	spille	VI:----:-a:----	_	
10-8	med	med	T-:----:--:----	_	
10-9	åbne	åben	AC:p#u#:--:p---	_	
10-10	kort	kort	NC:piu#:--:----	kort_F_spille med åbne kort	
10-11	og	og	CC:----:--:----	_	
10-12	advarede	advare	VF:----:ta:----	_	
10-13	alle	al	PI:p-u#:--:----	_	
10-14	mod	mod	T-:----:--:----	_	
10-15	produktet	produkt	NC:sdun:--:----	_	
10-16	.	.	ZP	_	

#id=11
