
#id=1
#text=Forlag:
1-1	Forlag	
1-2	:	

#id=2
#text=Ah, ok...
2-1	Ah	
2-2	,	
2-3	ok	
2-4	.	
2-5	.	
2-6	.	

#id=3
#text=Jeg synes egentlig ikke der er noget galt med det. på en website stod der : ...Digimon was created way before Pokemon, and people thought that it was copying Pokemon only because that came out in America before Digimon... men om det er sandt aner jeg ikke
3-1	Jeg	
3-2	synes	
3-3	egentlig	
3-4	ikke	
3-5	der	
3-6	er	
3-7	noget	
3-8	galt	
3-9	med	
3-10	det	
3-11	.	
3-12	på	
3-13	en	
3-14	website	
3-15	stod	
3-16	der	
3-17	:	
3-18	.	
3-19	.	
3-20	.	
3-21	Digimon	
3-22	was	
3-23	created	
3-24	way	
3-25	before	
3-26	Pokemon	
3-27	,	
3-28	and	
3-29	people	
3-30	thought	
3-31	that	
3-32	it	
3-33	was	
3-34	copying	
3-35	Pokemon	
3-36	only	
3-37	because	
3-38	that	
3-39	came	
3-40	out	
3-41	in	
3-42	America	
3-43	before	
3-44	Digimon	
3-45	.	
3-46	.	
3-47	.	
3-48	men	
3-49	om	
3-50	det	
3-51	er	
3-52	sandt	
3-53	aner	
3-54	jeg	
3-55	ikke	

#id=4
#text=Sorryfucker lidt...i må godt slette den ene af dem jeg har lavet kan man gøre det selv?
4-1	Sorry	
4-2	fucker	
4-3	lidt	
4-4	.	
4-5	.	
4-6	.	
4-7	i	
4-8	må	
4-9	godt	
4-10	slette	
4-11	den	
4-12	ene	
4-13	af	
4-14	dem	
4-15	jeg	
4-16	har	
4-17	lavet	
4-18	kan	
4-19	man	
4-20	gøre	
4-21	det	
4-22	selv	
4-23	?	

#id=5
#text=Hvis du er vild med X OVA'en så burde du se hele serien... :wink:
5-1	Hvis	
5-2	du	
5-3	er	
5-4	vild	
5-5	med	
5-6	X	
5-7	OVA	
5-8	'	
5-9	en	
5-10	så	
5-11	burde	
5-12	du	
5-13	se	
5-14	hele	
5-15	serien	
5-16	.	
5-17	.	
5-18	.	
5-19	:	
5-20	wink	
5-21	:	

#id=6
#text=Lablue Girl (Hentai/The Real Thing :shock:
6-1	Lablue	
6-2	Girl	
6-3	(	
6-4	Hentai	
6-5	/	
6-6	The	
6-7	Real	
6-8	Thing	
6-9	:	
6-10	shock	
6-11	:	

#id=7
#text=Lige en ting.
7-1	Lige	
7-2	en	
7-3	ting	
7-4	.	

#id=8
#text=Keep it up!
8-1	Keep	
8-2	it	
8-3	up	
8-4	!	

#id=9
#text=Tsubasa -RESERVoir CHRoNiCLE-:
9-1	Tsubasa	
9-2	-	
9-3	RESERVoir	
9-4	CHRoNiCLE	
9-5	-	
9-6	:	

#id=10
#text=takguys, men problemet er.... jeg er lidt flad for tiden :( har ikke rigtigt kunne tjene nogle på her for tiden... :( Det var bare hvis i kunne sige noget fra de ordbøger :roll: (Lage lidt mærke til at du blev træt ved de sidste ord :?) (Baka, hehe blev også måske sur :roll:
10-1	tak	
10-2	guys	
10-3	,	
10-4	men	
10-5	problemet	
10-6	er	
10-7	.	
10-8	.	
10-9	.	
10-10	.	
10-11	jeg	
10-12	er	
10-13	lidt	
10-14	flad	
10-15	for	
10-16	tiden	
10-17	:	
10-18	(	
10-19	har	
10-20	ikke	
10-21	rigtigt	
10-22	kunne	
10-23	tjene	
10-24	nogle	
10-25	på	
10-26	her	
10-27	for	
10-28	tiden	
10-29	.	
10-30	.	
10-31	.	
10-32	:	
10-33	(	
10-34	Det	
10-35	var	
10-36	bare	
10-37	hvis	
10-38	i	
10-39	kunne	
10-40	sige	
10-41	noget	
10-42	fra	
10-43	de	
10-44	ordbøger	
10-45	:	
10-46	roll	
10-47	:	
10-48	(	
10-49	Lage	
10-50	lidt	
10-51	mærke	
10-52	til	
10-53	at	
10-54	du	
10-55	blev	
10-56	træt	
10-57	ved	
10-58	de	
10-59	sidste	
10-60	ord	
10-61	:	
10-62	?	
10-63	)	
10-64	(	
10-65	Baka	
10-66	,	
10-67	hehe	
10-68	blev	
10-69	også	
10-70	måske	
10-71	sur	
10-72	:	
10-73	roll	
10-74	:	

#id=11
#text=Dener jeg også med på!
11-1	Den	
11-2	er	
11-3	jeg	
11-4	også	
11-5	med	
11-6	på	
11-7	!	

#id=12
#text=Jeg har den politik, at jeg sletter alt efter at  have set det.
12-1	Jeg	
12-2	har	
12-3	den	
12-4	politik	
12-5	,	
12-6	at	
12-7	jeg	
12-8	sletter	
12-9	alt	
12-10	efter	
12-11	at	
12-12	have	
12-13	set	
12-14	det	
12-15	.	

#id=13
#text=Det var faktisk her jeg først stiftede bekendtskab med mange kendte animes, blandt andet Conan, Dragon Ball, Sailor Moon og Ranma 1/2...
13-1	Det	
13-2	var	
13-3	faktisk	
13-4	her	
13-5	jeg	
13-6	først	
13-7	stiftede	
13-8	bekendtskab	
13-9	med	
13-10	mange	
13-11	kendte	
13-12	animes	
13-13	,	
13-14	blandt	
13-15	andet	
13-16	Conan	
13-17	,	
13-18	Dragon	
13-19	Ball	
13-20	,	
13-21	Sailor	
13-22	Moon	
13-23	og	
13-24	Ranma	
13-25	1	
13-26	/	
13-27	2	
13-28	.	
13-29	.	
13-30	.	

#id=14
#text=Hvis at bygge videre på handlingen fra serien ikke er at "hænge sammen" med den, hvad er så?
14-1	Hvis	
14-2	at	
14-3	bygge	
14-4	videre	
14-5	på	
14-6	handlingen	
14-7	fra	
14-8	serien	
14-9	ikke	
14-10	er	
14-11	at	
14-12	"	
14-13	hænge	
14-14	sammen	
14-15	"	
14-16	med	
14-17	den	
14-18	,	
14-19	hvad	
14-20	er	
14-21	så	
14-22	?	

#id=15
#text=En anden ting... du (Flying Tokyo) skriver, at du vil give den 6 stjerner, hvorfor har du så stemt på 5?
15-1	En	
15-2	anden	
15-3	ting	
15-4	.	
15-5	.	
15-6	.	
15-7	du	
15-8	(	
15-9	Flying	
15-10	Tokyo	
15-11	)	
15-12	skriver	
15-13	,	
15-14	at	
15-15	du	
15-16	vil	
15-17	give	
15-18	den	
15-19	6	
15-20	stjerner	
15-21	,	
15-22	hvorfor	
15-23	har	
15-24	du	
15-25	så	
15-26	stemt	
15-27	på	
15-28	5	
15-29	?	

#id=16
#text=Hvorskaffer vi en ordbog??
16-1	Hvor	
16-2	skaffer	
16-3	vi	
16-4	en	
16-5	ordbog	
16-6	?	
16-7	?	

#id=17
#text=HÅBER FOR JER MANGA OG ANIME FANS AT I HAR DE KANALER HVOR MAN KAN SE DE ANIME!!!
17-1	HÅBER	
17-2	FOR	
17-3	JER	
17-4	MANGA	
17-5	OG	
17-6	ANIME	
17-7	FANS	
17-8	AT	
17-9	I	
17-10	HAR	
17-11	DE	
17-12	KANALER	
17-13	HVOR	
17-14	MAN	
17-15	KAN	
17-16	SE	
17-17	DE	
17-18	ANIME	
17-19	!	
17-20	!	
17-21	!	

#id=18
#text=Omkring 65 kort tror jeg.
18-1	Omkring	
18-2	65	
18-3	kort	
18-4	tror	
18-5	jeg	
18-6	.	

#id=19
#text=Jeg købte et helt booster display (24 booster pakker)
19-1	Jeg	
19-2	købte	
19-3	et	
19-4	helt	
19-5	booster	
19-6	display	
19-7	(	
19-8	24	
19-9	booster	
19-10	pakker	
19-11	)	

#id=20
#text=Jeg synes det er meget rammende, hvad du siger der.
20-1	Jeg	
20-2	synes	
20-3	det	
20-4	er	
20-5	meget	
20-6	rammende	
20-7	,	
20-8	hvad	
20-9	du	
20-10	siger	
20-11	der	
20-12	.	

#id=21
#text=Og andre er fra japansk forum.
21-1	Og	
21-2	andre	
21-3	er	
21-4	fra	
21-5	japansk	
21-6	forum	
21-7	.	

#id=22
#text=Er selv rimelig irriteret over ikke at kunne komme derind, men hvis I bare lægger nogle billeder ind går det nok alligevel.
22-1	Er	
22-2	selv	
22-3	rimelig	
22-4	irriteret	
22-5	over	
22-6	ikke	
22-7	at	
22-8	kunne	
22-9	komme	
22-10	derind	
22-11	,	
22-12	men	
22-13	hvis	
22-14	I	
22-15	bare	
22-16	lægger	
22-17	nogle	
22-18	billeder	
22-19	ind	
22-20	går	
22-21	det	
22-22	nok	
22-23	alligevel	
22-24	.	

#id=23
#text=Hvis man gerne ville have flere Samurai Deeper Kyo bøger udover de to første, skal man så selv bestille dem eller vil der blive arrangeret noget igen?
23-1	Hvis	
23-2	man	
23-3	gerne	
23-4	ville	
23-5	have	
23-6	flere	
23-7	Samurai	
23-8	Deeper	
23-9	Kyo	
23-10	bøger	
23-11	udover	
23-12	de	
23-13	to	
23-14	første	
23-15	,	
23-16	skal	
23-17	man	
23-18	så	
23-19	selv	
23-20	bestille	
23-21	dem	
23-22	eller	
23-23	vil	
23-24	der	
23-25	blive	
23-26	arrangeret	
23-27	noget	
23-28	igen	
23-29	?	

#id=24
#text=Det var da godt... :D
24-1	Det	
24-2	var	
24-3	da	
24-4	godt	
24-5	.	
24-6	.	
24-7	.	
24-8	:	
24-9	D	

#id=25
#text=Men så vidt som jeg ved har Berserk Religions kode 1 (Eller hvad nu det hedder :cry:) og så ville jeg lige høre jer om jeg kan køre det på min PS2 eller om jeg kan på mit DVD-Drev i PC'en ? ( Vores TV væltede ned over vores DVD sååå..
25-1	Men	
25-2	så	
25-3	vidt	
25-4	som	
25-5	jeg	
25-6	ved	
25-7	har	
25-8	Berserk	
25-9	Religions	
25-10	kode	
25-11	1	
25-12	(	
25-13	Eller	
25-14	hvad	
25-15	nu	
25-16	det	
25-17	hedder	
25-18	:	
25-19	cry	
25-20	:	
25-21	)	
25-22	og	
25-23	så	
25-24	ville	
25-25	jeg	
25-26	lige	
25-27	høre	
25-28	jer	
25-29	om	
25-30	jeg	
25-31	kan	
25-32	køre	
25-33	det	
25-34	på	
25-35	min	
25-36	PS2	
25-37	eller	
25-38	om	
25-39	jeg	
25-40	kan	
25-41	på	
25-42	mit	
25-43	DVD	
25-44	-	
25-45	Drev	
25-46	i	
25-47	PC	
25-48	'	
25-49	en	
25-50	?	
25-51	(	
25-52	Vores	
25-53	TV	
25-54	væltede	
25-55	ned	
25-56	over	
25-57	vores	
25-58	DVD	
25-59	sååå	
25-60	.	
25-61	.	

#id=26
