 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Forhørslederne fik også grønt lys til for eksempel at tvinge fangerne til at stå i smertefulde stillinger i lang tid ad gangen, at holde dem i kolde celler samt at slå og sparke på dem.
1-1	Forhørslederne	forhørsleder	NC:pdu#:--:----	
1-2	fik	få	VF:----:ta:----	
1-3	også	også	D-:----:--:u---	
1-4	grønt	grøn	AC:siun:--:p---	
1-5	lys	lys|lys-1-1a-1b-1c-1f|lys-1f|lys-1e|lys-1d|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)	NC:siun:--:----	
1-6	til	til	T-:----:--:----	
1-7	for	for	T-:----:--:----	
1-8	eksempel	eksempel	NC:siun:--:----	
1-9	at	at	UI:----:--:----	
1-10	tvinge	tvinge	VI:----:-a:----	
1-11	fangerne	fange	NC:pdu#:--:----	
1-12	til	til	T-:----:--:----	
1-13	at	at	UI:----:--:----	
1-14	stå	stå	VI:----:-a:----	
1-15	i	i	T-:----:--:----	
1-16	smertefulde	smertefuld	AC:p#u#:--:p---	
1-17	stillinger	stilling	NC:piu#:--:----	
1-18	i	i	T-:----:--:----	
1-19	lang	lang	AC:siuc:--:p---	
1-20	tid	tid	NC:siuc:--:----	
1-21	ad	ad	T-:----:--:----	
1-22	gangen	gang	NC:sduc:--:----	
1-23	,	,	ZD	
1-24	at	at	UI:----:--:----	
1-25	holde	holde	VI:----:-a:----	
1-26	dem	de	PP:p-u#:--:-3n-	
1-27	i	i	T-:----:--:----	
1-28	kolde	kold	AC:p#u#:--:p---	
1-29	celler	celle	NC:piu#:--:----	
1-30	samt	samt	CC:----:--:----	
1-31	at	at	UI:----:--:----	
1-32	slå	slå	VI:----:-a:----	
1-33	og	og	CC:----:--:----	
1-34	sparke	sparke	VI:----:-a:----	
1-35	på	på	T-:----:--:----	
1-36	dem	de	PP:p-u#:--:-3n-	
1-37	.	.	ZP	

