 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | Tag
#id=1
#text=Det var heldigt, at kortene sad sådan, men det var Syds eneste chance, og det er vel meget rimeligt, at man en gang imellem bliver belønnet for at spille sin chance.
1-1	Det	det	PP:s-un:--:-3n-	_	
1-2	var	være	VF:----:ta:----	_	
1-3	heldigt	heldig	AC:siun:--:p---	_	
1-4	,	,	ZD	_	
1-5	at	at	CS:----:--:----	_	
1-6	kortene	kort	NC:pdu#:--:----	kort_3	
1-7	sad	sidde	VF:----:ta:----	_	
1-8	sådan	sådan	D-:----:--:u---	_	
1-9	,	,	ZD	_	
1-10	men	men	CC:----:--:----	_	
1-11	det	det	PP:s-un:--:-3n-	_	
1-12	var	var	XY:----:--:----	_	
1-13	Syds	syd	NC:sigc:--:----	_	
1-14	eneste	eneste	AC:§§u§:--:p---	_	
1-15	chance	chance	NC:siuc:--:----	_	
1-16	,	,	ZD	_	
1-17	og	og	CC:----:--:----	_	
1-18	det	det	PP:s-un:--:-3n-	_	
1-19	er	være	VF:----:sa:----	_	
1-20	vel	vel	D-:----:--:u---	_	
1-21	meget	megen	AD:----:--:p---	_	
1-22	rimeligt	rimelig	AC:siun:--:p---	_	
1-23	,	,	ZD	_	
1-24	at	at	CS:----:--:----	_	
1-25	man	man	PI:#-uc:--:----	_	
1-26	en	en	PI:s-uc:--:----	_	
1-27	gang	gang	NC:siuc:--:----	_	
1-28	imellem	imellem	D-:----:--:u---	_	
1-29	bliver	blive	VF:----:sa:----	_	
1-30	belønnet	belønne	VT:siu#:t-:----	_	
1-31	for	for	T-:----:--:----	_	
1-32	at	at	UI:----:--:----	_	
1-33	spille	spille	VI:----:-a:----	_	
1-34	sin	sin	PO:s--c:--:-3ys	_	
1-35	chance	chance	NC:siuc:--:----	_	
1-36	.	.	ZP	_	

#id=2
#text=Den værste var nok en anden frivillig, der ikke kunne få sit kort.
2-1	Den	den	PM:s-uc:--:----	_	
2-2	værste	slem	AC:§du§:--:s---	_	
2-3	var	være	VF:----:ta:----	_	
2-4	nok	nok	D-:----:--:u---	_	
2-5	en	en	PI:s-uc:--:----	_	
2-6	anden	anden	PI:s-uc:--:----	_	
2-7	frivillig	frivillig	AC:siuc:--:p---	_	
2-8	,	,	ZD	_	
2-9	der	der	US:----:--:----	_	
2-10	ikke	ikke	D-:----:--:u---	_	
2-11	kunne	kunne	VF:----:ta:----	_	
2-12	få	få	VI:----:-a:----	_	
2-13	sit	sin	PO:s--n:--:-3ys	_	
2-14	kort	kort	NC:siun:--:----	kort_1e	
2-15	.	.	ZP	_	

#id=3
#text= Den russiske avis Kommersant mener, at det "nu er Kadyrovs afgørelse", og at han næppe ønsker at blive kigget nærmere i kortene.
3-1	Den	den	PM:s-uc:--:----	_	
3-2	russiske	russisk	AC:sdu#:--:p---	_	
3-3	avis	avis	NC:siuc:--:----	_	
3-4	Kommersant	Kommersant	NP:siu#:--:----	_	
3-5	mener	mene	VF:----:sa:----	_	
3-6	,	,	ZD	_	
3-7	at	at	CS:----:--:----	_	
3-8	det	den	PM:s-un:--:----	_	
3-9	"	"	ZI	_	
3-10	nu	nu	D-:----:--:u---	_	
3-11	er	være	VF:----:sa:----	_	
3-12	Kadyrovs	Kadyrovs	NP:sig#:--:----	_	
3-13	afgørelse	afgørelse	NC:siuc:--:----	_	
3-14	"	"	ZI	_	
3-15	,	,	ZD	_	
3-16	og	og	CC:----:--:----	_	
3-17	at	at	CS:----:--:----	_	
3-18	han	han	PP:s-nc:--:-3n-	_	
3-19	næppe	næppe	D-:----:--:u---	_	
3-20	ønsker	ønske	VF:----:sa:----	_	
3-21	at	at	UI:----:--:----	_	
3-22	blive	blive	VI:----:-a:----	_	
3-23	kigget	kig	NC:sdun:--:----	_	
3-24	nærmere	nær	AD:----:--:c---	_	
