 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Schweiz har været under et ganske massivt pres i en årrække for at komme ud af rollen som skattely og komme med i det gode selskab og komme over og arbejde sammen med de andre lande i OECD for at lave en så åben og fri markedsøkonomi som overhovedet muligt.
1-1	Schweiz	Schweiz	NP:siu#:--:----	O	
1-2	har	have	VF:----:sa:----	O	
1-3	været	være	VT:siu#:t-:----	O	
1-4	under	under	T-:----:--:----	O	
1-5	et	en	PI:s-un:--:----	O	
1-6	ganske	ganske	D-:----:--:u---	O	
1-7	massivt	massiv	AC:siun:--:p---	O	
1-8	pres	pres	NC:siun:--:----	O	
1-9	i	i	T-:----:--:----	O	
1-10	en	en	PI:s-uc:--:----	O	
1-11	årrække	årrække	NC:siuc:--:----	O	
1-12	for	for	T-:----:--:----	O	
1-13	at	at	UI:----:--:----	O	
1-14	komme	komme	VI:----:-a:----	O	
1-15	ud	ud	D-:----:--:u---	O	
1-16	af	af	T-:----:--:----	O	
1-17	rollen	rolle	NC:sduc:--:----	O	
1-18	som	som	US:----:--:----	O	
1-19	skattely	skattely	NC:siun:--:----	O	
1-20	og	og	:--:----	O	
1-21	komme	komme	VI:----:-a:----	O	
1-22	med	med	D-:----:--:u---	O	
1-23	i	i	T-:----:--:----	O	
1-24	det	den	PM:s-un:--:----	O	
1-25	gode	god	AC:sdu#:--:p---	O	
1-26	selskab	selskab|selskab-1-1a-1b|selskab-3|selskab-2-2a|selskab-1c|selskab-F-holde-med-selskab|selskab-4-4a	NC:siun:--:----	B-selskab-1c	
1-27	og	og	CC:----:--:----	O	
1-28	komme	komme	VI:----:-a:----	O	
1-29	over	over	D-:----:--:u---	O	
1-30	og	og	CC:----:--:----	O	
1-31	arbejde	arbejde	VI:----:-a:----	O	
1-32	sammen	sammen	D-:----:--:u---	O	
1-33	med	med	T-:----:--:----	O	
1-34	de	den	PM:p-u#:--:----	O	
1-35	andre	anden	PI:p-u#:--:----	O	
1-36	lande	land	NC:piu#:--:----	O	
1-37	i	i	T-:----:--:----	O	
1-38	OECD	OECD	NP:siu#:--:----	O	
1-39	for	for	T-:----:--:----	O	
1-40	at	at	UI:----:--:----	O	
1-41	lave	lave	VI:----:-a:----	O	
1-42	en	en	PI:s-uc:--:----	O	
1-43	så	så	D-:----:--:u---	O	
1-44	åben	åben	AC:siuc:--:p---	O	
1-45	og	og	CC:----:--:----	O	
1-46	fri	fri	AC:siuc:--:p---	O	
1-47	markedsøkonomi	markedsøkonomi	NC:siuc:--:----	O	
1-48	som	som	US:----:--:----	O	
1-49	overhovedet	overhovedet	D-:----:--:u---	O	
1-50	muligt	mulig	AC:siun:--:p---	O	
1-51	.	.	ZP	O	

#id=2
#text=Der må man selvfølgelig presse på over for dem og ikke allerede nu, som jeg kan høre at skatteministeren gør, sige, at de er i det gode selskab, og at problemet derfor er løst.
2-1	Der	der	US:----:--:----	O	
2-2	må	måtte	VF:----:sa:----	O	
2-3	man	man	PI:#-uc:--:----	O	
2-4	selvfølgelig	selvfølgelig	D-:----:--:u---	O	
2-5	presse	presse	VI:----:-a:----	O	
2-6	på	på	T-:----:--:----	O	
2-7	over	over	D-:----:--:u---	O	
2-8	for	for	T-:----:--:----	O	
2-9	dem	de	PP:p-u#:--:-3n-	O	
2-10	og	og	CC:----:--:----	O	
2-11	ikke	ikke	D-:----:--:u---	O	
2-12	allerede	allerede	D-:----:--:u---	O	
2-13	nu	nu	D-:----:--:u---	O	
2-14	,	,	ZD	O	
2-15	som	som	US:----:--:----	O	
2-16	jeg	jeg	PP:s-nc:--:-1n-	O	
2-17	kan	kunne	VF:----:sa:----	O	
2-18	høre	høre	VI:----:-a:----	O	
2-19	at	at	CS:----:--:----	O	
2-20	skatteministeren	skatteminister	NC:sduc:--:----	O	
2-21	gør	gøre	VF:----:sa:----	O	
2-22	,	,	ZD	O	
2-23	sige	sige	VI:----:-a:----	O	
2-24	,	,	ZD	O	
2-25	at	at	CS:----:--:----	O	
