 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Men når jeg kigger dybt i min statistik, viser det sig igen og igen, at det er madindlæggene, der hitter (også længere nede på listen end top 5).
1-1	Men	men	CC:----:--:----	O	
1-2	når	når	CS:----:--:----	O	
1-3	jeg	jeg	PP:s-nc:--:-1n-	O	
1-4	kigger	kigge	VF:----:sa:----	O	
1-5	dybt	dyb	AD:----:--:p---	O	
1-6	i	i	T-:----:--:----	O	
1-7	min	min	PO:s--c:--:-1ns	O	
1-8	statistik	statistik	NC:siuc:--:----	O	
1-9	,	,	ZD	O	
1-10	viser	vise	VF:----:sa:----	O	
1-11	det	det	PP:s-un:--:-3n-	O	
1-12	sig	sig	PP:#-u#:--:-3y-	O	
1-13	igen	igen	D-:----:--:u---	O	
1-14	og	og	CC:----:--:----	O	
1-15	igen	igen	D-:----:--:u---	O	
1-16	,	,	ZD	O	
1-17	at	at	CS:----:--:----	O	
1-18	det	det	PP:s-un:--:-3n-	O	
1-19	er	være	VF:----:sa:----	O	
1-20	madindlæggene	madindlæg	NC:pdu#:--:----	O	
1-21	,	,	ZD	O	
1-22	der	der	US:----:--:----	O	
1-23	hitter	hitte	VF:----:sa:----	O	
1-24	(	(	ZD	O	
1-25	også	også	D-:----:--:u---	O	
1-26	længere	længere	D-:----:--:c---	O	
1-27	nede	nede	D-:----:--:u---	O	
1-28	på	på	T-:----:--:----	O	
1-29	listen	list	NC:sduc:--:----	O	
1-30	end	end	CS:----:--:----	O	
1-31	top	top|top-3|top-2a-2b|top-2|top-1a-1b|top-1|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4	NC:siuc:--:----	B-top-2	
1-32	5	5	LC:--u-:--:----	O	
1-33	)	)	ZD	O	
1-34	.	.	ZP	O	

#id=2
#text= Og de sammenbragte familier bliver altid synlige i toppen af min statistik, når der er ferie eller højtider i farvandet (ikke overraskende).
2-1	Og	og	CC:----:--:----	O	
2-2	de	den	PM:p-u#:--:----	O	
2-3	sammenbragte	sammenbragt	AC:p#u#:--:p---	O	
2-4	familier	familie	NC:piu#:--:----	O	
2-5	bliver	blive	VF:----:sa:----	O	
2-6	altid	altid	D-:----:--:u---	O	
2-7	synlige	synlig	AC:p#u#:--:p---	O	
2-8	i	i	:--:----	O	
2-9	toppen	top|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-1|top-2|top-1a-1b|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-F-på-toppen-af	NC:sduc:--:----	B-top-2	
2-10	af	af	T-:----:--:----	O	
2-11	min	min	PO:s--c:--:-1ns	O	
2-12	statistik	statistik	NC:siuc:--:----	O	
2-13	,	,	ZD	O	
2-14	når	når	CS:----:--:----	O	
2-15	der	der	US:----:--:----	O	
2-16	er	være	VF:----:sa:----	O	
2-17	ferie	ferie	NC:siuc:--:----	O	
2-18	eller	eller	CC:----:--:----	O	
2-19	højtider	højtid	NC:piu#:--:----	O	
2-20	i	i	T-:----:--:----	O	
2-21	farvandet	farvand	NC:sdun:--:----	O	
2-22	(	(	ZD	O	
2-23	ikke	ikke	D-:----:--:u---	O	
2-24	overraskende	overraske	VP:##u#:s-:----	O	
2-25	)	)	ZD	O	
2-26	.	.	ZP	O	

#id=3
#text= Det er cirka fire år siden, jeg sidst har købt større løsdele til husstandens Lundia-reoler, så det er ikke engang, fordi jeg er en god, fast kunde, at servicen var i top.
3-1	Det	det	PP:s-un:--:-3n-	O	
3-2	er	være	VF:----:sa:----	O	
3-3	cirka	cirka	D-:----:--:u---	O	
3-4	fire	fire	LC:--u-:--:----	O	
3-5	år	år	NC:piu#:--:----	O	
3-6	siden	siden	D-:----:--:u---	O	
3-7	,	,	ZD	O	
