 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Golfstjernen Tiger Woods kunne åbenbart ikke nøjes med hullerne på banen, for det viste sig, at han havde mange elskerinder.
1-1	Golfstjernen	Golfstjernen	NP:siu#:--:----	_	
1-2	Tiger	tiger	NC:siuc:--:----	_	
1-3	Woods	Wood	NP:sig#:--:----	_	
1-4	kunne	kunne	VF:----:ta:----	_	
1-5	åbenbart	åbenbart	D-:----:--:u---	_	
1-6	ikke	ikke	D-:----:--:u---	_	
1-7	nøjes	nøje	VI:----:-p:----	_	
1-8	med	med	T-:----:--:----	_	
1-9	hullerne	hul	NC:pdu#:--:----	hul_1c	
1-10	på	på	T-:----:--:----	_	
1-11	banen	bane	NC:sduc:--:----	_	
1-12	,	,	ZD	_	
1-13	for	for	CC:----:--:----	_	
1-14	det	det	PP:s-un:--:-3n-	_	
1-15	viste	vise	VF:----:ta:----	_	
1-16	sig	sig	PP:#-u#:--:-3y-	_	
1-17	,	,	ZD	_	
1-18	at	at	CS:----:--:----	_	
1-19	han	han	PP:s-nc:--:-3n-	_	
1-20	havde	have	VF:----:ta:----	_	
1-21	mange	mangen	AC:p#u#:--:p---	_	
1-22	elskerinder	elskerinde	NC:piu#:--:----	_	
1-23	.	.	ZP	_	

#id=2
#text= De ryger bare ned i det store hul, griner Søren og fortsætter.
2-1	De	de	PP:p-n#:--:-3n-	_	
2-2	ryger	ryge	VF:----:sa:----	_	
2-3	bare	bare	D-:----:--:u---	_	
2-4	ned	ned	D-:----:--:u---	_	
2-5	i	i	T-:----:--:----	_	
2-6	det	den	PM:s-un:--:----	_	
2-7	store	stor	AC:sdu#:--:p---	_	
2-8	hul	hul	NC:siun:--:----	hul_1_1b_1e	
2-9	,	,	ZD	_	
2-10	griner	grine	VF:----:sa:----	_	
2-11	Søren	Søren	NP:siu#:--:----	_	
2-12	og	og	CC:----:--:----	_	
2-13	fortsætter	fortsætter	NC:piu#:--:----	_	
2-14	.	.	ZP	_	

#id=3
#text= Det er som et sort hul at tæn ke på, hvis Anni skal i fængsel, supplerer Erik.
3-1	Det	det	PP:s-un:--:-3n-	_	
3-2	er	være	VF:----:sa:----	_	
3-3	som	som	US:----:--:----	_	
3-4	et	en	PI:s-un:--:----	_	
3-5	sort	sort	AC:siu§:--:p---	_	
3-6	hul	hul	NC:siun:--:----	hul_1d	
3-7	at	at	CS:----:--:----	_	
3-8	tæn	tæN	NP:siu#:--:----	_	
3-9	ke	kE	XS:----:--:----	_	
3-10	på	på	T-:----:--:----	_	
3-11	,	,	ZD	_	
3-12	hvis	hvis	CS:----:--:----	_	
3-13	Anni	Anni	NP:siu#:--:----	_	
3-14	skal	skulle	VF:----:sa:----	_	
3-15	i	i	T-:----:--:----	_	
3-16	fængsel	fængsel	NC:siun:--:----	_	
3-17	,	,	ZD	_	
3-18	supplerer	supplere	VF:----:sa:----	_	
3-19	Erik	Erik	NP:siu#:--:----	_	
3-20	.	.	ZP	_	

#id=4
#text=Flere vidner fra klubben fortæller, at det nye kendispar så vildt forelskede ud og sendte hinanden kærlige blikke ved bordet, mens der blev taget hul  på flaskerne.
4-1	Flere	mange	AC:##u#:--:c---	_	
4-2	vidner	vidne	NC:piu#:--:----	_	
4-3	fra	fra	T-:----:--:----	_	
4-4	klubben	klub	NC:sduc:--:----	_	
4-5	fortæller	fortælle	VF:----:sa:----	_	
4-6	,	,	ZD	_	
4-7	at	at	CS:----:--:----	_	
4-8	det	den	PM:s-un:--:----	_	
4-9	nye	ny	AC:sdu#:--:p---	_	
4-10	kendispar	kendispar	NC:siuc:--:----	_	
4-11	så	så	D-:----:--:u---	_	
4-12	vildt	vild	AD:----:--:p---	_	
4-13	forelskede	forelske	VF:----:ta:----	_	
4-14	ud	ud	D-:----:--:u---	_	
4-15	og	og	CC:----:--:----	_	
4-16	sendte	sende	VF:----:ta:----	_	
4-17	hinanden	hinanden	XY:----:--:----	_	
4-18	kærlige	kærlig	AC:p#u#:--:p---	_	
4-19	blikke	blik	NC:piu#:--:----	_	
4-20	ved	ved	T-:----:--:----	_	
4-21	bordet	bord	NC:sdun:--:----	_	
4-22	,	,	ZD	_	
4-23	mens	mens	CS:----:--:----	_	
4-24	der	der	US:----:--:----	_	
4-25	blev	blive	VF:----:ta:----	_	
4-26	taget	tage	VT:siu#:t-:----	_	
4-27	hul	hul	NC:siun:--:----	hul_F_tage hul på noget	
4-28	på	på	T-:----:--:----	_	
4-29	flaskerne	flaske	NC:pdu#:--:----	_	
4-30	.	.	ZP	_	

#id=5
#text= Smith" (mens Pitt og Aniston stadig var sammen) og fik lynhurtigt taget hul på familieforøgelsen.
5-1	Smith	Smith	NP:siu#:--:----	_	
5-2	"	"	ZI	_	
5-3	(	(	ZD	_	
5-4	mens	mens	CS:----:--:----	_	
