 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Mennesket har skabt problemet, og jeg ser intet galt i at de prøver at udbedre de dertilkomne skader.
1-1	Mennesket	menneske	NC:sdun:--:----	O	
1-2	har	have	VF:----:sa:----	O	
1-3	skabt	skabe	VT:siu#:t-:----	O	
1-4	problemet	problem	NC:sdun:--:----	O	
1-5	,	,	ZD	O	
1-6	og	og	CC:----:--:----	O	
1-7	jeg	jeg	PP:s-nc:--:-1n-	O	
1-8	ser	se	VF:----:sa:----	O	
1-9	intet	ingen	PI:s-un:--:----	O	
1-10	galt	gal	AC:siun:--:p---	O	
1-11	i	i	T-:----:--:----	O	
1-12	at	at	CS:----:--:----	O	
1-13	de	de	PP:p-n#:--:-3n-	O	
1-14	prøver	prøve	VF:----:sa:----	O	
1-15	at	at	UI:----:--:----	O	
1-16	udbedre	udbedre	VI:----:-a:----	O	
1-17	de	den	PM:p-u#:--:----	O	
1-18	dertilkomne	dertilkomme	VP:p#u#:t-:----	O	
1-19	skader	skade	NC:piu#:--:----	B-skade1-1	
1-20	.	.	ZP	O	

#id=2
#text= Jeg har været på skiferie uden at komme til skade. :P ...Men for to måneder siden trådte jeg forkert lige her udenfor hvor jeg arbejder - og måtte gå med skinne i fem uger. :( Og hvad kan vi så lære af det?
2-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
2-2	har	have	VF:----:sa:----	O	
2-3	været	være	VT:siu#:t-:----	O	
2-4	på	på	T-:----:--:----	O	
2-5	skiferie	skiferie	NC:siuc:--:----	O	
2-6	uden	uden	T-:----:--:----	O	
2-7	at	at	UI:----:--:----	O	
2-8	komme	komme	VI:----:-a:----	O	
2-9	til	til	T-:----:--:----	O	
2-10	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
2-11	.	.	ZP	O	
2-12	:	:	ZP	O	
2-13	P	P	NP:siu#:--:----	O	
2-14	.	.	ZP	O	
2-15	.	.	ZP	O	
2-16	.	.	ZP	O	
2-17	Men	men	CC:----:--:----	O	
2-18	for	for	T-:----:--:----	O	
2-19	to	to	LC:--u-:--:----	O	
2-20	måneder	måned	NC:piu#:--:----	O	
2-21	siden	siden	D-:----:--:u---	O	
2-22	trådte	træde	VF:----:ta:----	O	
2-23	jeg	jeg	PP:s-nc:--:-1n-	O	
2-24	forkert	forkert	AD:----:--:p---	O	
2-25	lige	lige	D-:----:--:u---	O	
2-26	her	her	D-:----:--:u---	O	
2-27	udenfor	udenfor	D-:----:--:u---	O	
2-28	hvor	hvor	D-:----:--:u---	O	
2-29	jeg	jeg	PP:s-nc:--:-1n-	O	
2-30	arbejder	arbejde	NC:piu#:--:----	O	
2-31	-	-	ZH	O	
2-32	og	og	CC:----:--:----	O	
2-33	måtte	måtte	VF:----:ta:----	O	
2-34	gå	gå	VI:----:-a:----	O	
2-35	med	med	T-:----:--:----	O	
2-36	skinne	skinne	NC:siuc:--:----	O	
2-37	i	i	T-:----:--:----	O	
2-38	fem	fem	LC:--u-:--:----	O	
2-39	uger	uge	NC:piu#:--:----	O	
2-40	.	.	ZP	O	
2-41	:	:	ZP	O	
2-42	(	(	ZD	O	
2-43	Og	og	CC:----:--:----	O	
2-44	hvad	hvad	PR:s-u#:--:----	O	
2-45	kan	kunne	VF:----:sa:----	O	
2-46	vi	vi	PP:p-nc:--:-1n-	O	
2-47	så	så	D-:----:--:u---	O	
2-48	lære	lære	VI:----:-a:----	O	
2-49	af	af	T-:----:--:----	O	
2-50	det	det	PP:s-un:--:-3n-	O	
2-51	?	?	ZQ	O	

