 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=-Jeg troede, jeg kunne stole på programmet, for det kostede 20.000 kr. for 12 uger, fortæller 48-årige Michael, Men han fik det forkerte skema, der viste, at han skulle træne intenst og spise meget over et stykke tid, hvorefter han skulle faste og gå i sauna.
1-1	-	-	NC:piu#:--:----	O	
1-2	Jeg	jeg	NC:siun:--:----	O	
1-3	troede	tro	VF:----:ta:----	O	
1-4	,	,	ZD	O	
1-5	jeg	jeg	PP:s-nc:--:-1n-	O	
1-6	kunne	kunne	VF:----:ta:----	O	
1-7	stole	stole	VI:----:-a:----	O	
1-8	på	på	T-:----:--:----	O	
1-9	programmet	program	NC:sdun:--:----	O	
1-10	,	,	ZD	O	
1-11	for	for	T-:----:--:----	O	
1-12	det	den	PM:s-un:--:----	O	
1-13	kostede	koste	VP:sdu#:t-:----	O	
1-14	20	20	LO:--u#:--:----	O	
1-15	.	.	ZP	O	
1-16	000	000	LC:--u-:--:----	O	
1-17	kr	krone	NC:piu#:--:----	O	
1-18	.	.	ZP	O	
1-19	for	for	T-:----:--:----	O	
1-20	12	12	LC:--u-:--:----	O	
1-21	uger	uge	NC:piu#:--:----	O	
1-22	,	,	ZD	O	
1-23	fortæller	fortælle	VF:----:sa:----	O	
1-24	48	48	LC:--u-:--:----	O	
1-25	-	-	ZH	O	
1-26	årige	årig	AC:sdu#:--:p---	O	
1-27	Michael	Michael	NP:siu#:--:----	O	
1-28	,	,	ZD	O	
1-29	Men	men	CC:----:--:----	O	
1-30	han	han	PP:s-nc:--:-3n-	O	
1-31	fik	få	VF:----:ta:----	O	
1-32	det	den	PM:s-un:--:----	O	
1-33	forkerte	forkert	AC:sdu#:--:p---	O	
1-34	skema	skema	NC:siun:--:----	O	
1-35	,	,	ZD	O	
1-36	der	der	US:----:--:----	O	
1-37	viste	vise	VF:----:ta:----	O	
1-38	,	,	ZD	O	
1-39	at	at	CS:----:--:----	O	
1-40	han	han	PP:s-nc:--:-3n-	O	
1-41	skulle	skulle	VF:----:ta:----	O	
1-42	træne	træne	VI:----:-a:----	O	
1-43	intenst	intens	AC:siun:--:p---	O	
1-44	og	og	CC:----:--:----	O	
1-45	spise	spise	VI:----:-a:----	O	
1-46	meget	megen	AD:----:--:p---	O	
1-47	over	over	T-:----:--:----	O	
1-48	et	en	PI:s-un:--:----	O	
1-49	stykke	stykke	NC:siun:--:----	B-stykke-3a	
1-50	tid	tid	NC:siuc:--:----	O	
1-51	,	,	ZD	O	
1-52	hvorefter	hvorefter	D-:----:--:u---	O	
1-53	han	han	PP:s-nc:--:-3n-	O	
1-54	skulle	skulle	VF:----:ta:----	O	
1-55	faste	faste	VI:----:-a:----	O	
1-56	og	og	CC:----:--:----	O	
1-57	gå	gå	VI:----:-a:----	O	
1-58	i	i	T-:----:--:----	O	
1-59	sauna	sauna	NC:siuc:--:----	O	
1-60	.	.	ZP	O	

#id=2
#text=Tilgengæld bevæger man sig så også ind i en verden, der et langt stykke hen ad vejen lever op til det romantiske billede af vinlandet med de frodige druemarker, de hyggelige, snoede veje og de prægtige vingårde.
2-1	Til	til	T-:----:--:----	O	
2-2	gengæld	gengæld	NC:siuc:--:----	O	
2-3	bevæger	bevæge	VF:----:sa:----	O	
2-4	man	man	PI:#-uc:--:----	O	
2-5	sig	sig	PP:#-u#:--:-3y-	O	
2-6	så	så	D-:----:--:u---	O	
2-7	også	også	D-:----:--:u---	O	
2-8	ind	ind	D-:----:--:u---	O	
2-9	i	i	T-:----:--:----	O	
2-10	en	en	PI:s-uc:--:----	O	
2-11	verden	verden	NC:siuc:--:----	O	
2-12	,	,	ZD	O	
2-13	der	der	US:----:--:----	O	
2-14	et	en	PI:s-un:--:----	O	
2-15	langt	lang	AC:siun:--:p---	O	
