 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Jeg tror, det er meget vigtigt, at vi ikke i regi af den hellige almindelige energiforligskreds beslutter os for, at dér skal alle forhandlinger og alle diskussioner så foregå - specielt i lyset af at så tit mødes energiforligskredsen altså heller ikke.
1-1	Jeg	jeg	PP:s-nc:--:-1n-	
1-2	tror	tro	VF:----:sa:----	
1-3	,	,	ZD	
1-4	det	det	PP:s-un:--:-3n-	
1-5	er	være	VF:----:sa:----	
1-6	meget	megen	AD:----:--:p---	
1-7	vigtigt	vigtig	AC:siun:--:p---	
1-8	,	,	ZD	
1-9	at	at	CS:----:--:----	
1-10	vi	vi	PP:p-nc:--:-1n-	
1-11	ikke	ikke	D-:----:--:u---	
1-12	i	i	T-:----:--:----	
1-13	regi	regi	NC:siun:--:----	
1-14	af	af	T-:----:--:----	
1-15	den	den	PM:s-uc:--:----	
1-16	hellige	hellig	AC:sdu#:--:p---	
1-17	almindelige	almindelig	AC:sdu#:--:p---	
1-18	energiforligskreds	energiforligskreds	XY:----:--:----	
1-19	beslutter	beslutte	VF:----:sa:----	
1-20	os	vi	PP:p-uc:--:-1#-	
1-21	for	for	T-:----:--:----	
1-22	,	,	ZD	
1-23	at	at	CS:----:--:----	
1-24	dér	der	D-:----:--:u---	
1-25	skal	skulle	VF:----:sa:----	
1-26	alle	al	PI:p-u#:--:----	
1-27	forhandlinger	forhandling	NC:piu#:--:----	
1-28	og	og	CC:----:--:----	
1-29	alle	al	PI:p-u#:--:----	
1-30	diskussioner	diskussion	NC:piu#:--:----	
1-31	så	så	AC:§§u§:--:p---	
1-32	foregå	foregå	VW:----:--:----	
1-33	-	-	ZH	
1-34	specielt	speciel	AC:siun:--:p---	
1-35	i	i	T-:----:--:----	
1-36	lyset	lys|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset	NC:sdun:--:----	
1-37	af	af	T-:----:--:----	
1-38	at	at	CS:----:--:----	
1-39	så	så	D-:----:--:u---	
1-40	tit	tit	D-:----:--:u---	
1-41	mødes	møde	VF:----:sp:----	
1-42	energiforligskredsen	energiforligskreds	NC:sduc:--:----	
1-43	altså	altså	D-:----:--:u---	
1-44	heller	heller	D-:----:--:u---	
1-45	ikke	ikke	D-:----:--:u---	
1-46	.	.	ZP	

#id=2
#text= Det synes jeg er vigtigt, specielt set i lyset af den nye rapport, som viser, at kameraer måske har en meget, meget begrænset effekt.
2-1	Det	det	PP:s-un:--:-3n-	
2-2	synes	syne	VF:----:sp:----	
2-3	jeg	jeg	PP:s-nc:--:-1n-	
2-4	er	være	VF:----:sa:----	
2-5	vigtigt	vigtig	AC:siun:--:p---	
2-6	,	,	ZD	
2-7	specielt	speciel	AD:----:--:p---	
2-8	set	se	VT:siu#:t-:----	
2-9	i	i	T-:----:--:----	
2-10	lyset	lys|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys	NC:sdun:--:----	
2-11	af	af	T-:----:--:----	
2-12	den	den	PM:s-uc:--:----	
2-13	nye	ny	AC:sdu#:--:p---	
2-14	rapport	rapport	NC:siuc:--:----	
2-15	,	,	ZD	
2-16	som	som	US:----:--:----	
2-17	viser	vise	VF:----:sa:----	
2-18	,	,	ZD	
2-19	at	at	CS:----:--:----	
2-20	kameraer	kamera	NC:piu#:--:----	
2-21	måske	måske	D-:----:--:u---	
2-22	har	have	VF:----:sa:----	
2-23	en	en	PI:s-uc:--:----	
2-24	meget	megen	AC:siu§:--:p---	
2-25	,	,	ZD	
2-26	meget	megen	AD:----:--:p---	
2-27	begrænset	begrænse	VT:siu#:t-:----	
2-28	effekt	effekt	NC:siuc:--:----	
2-29	.	.	ZP	

#id=3
#text= Det er på samme måde også en boligforening, der finansierer, hvis den vil fælde noget bevoksning eller nogle træer for at skabe mere lys og luft, således at de kriminelle ikke kan gå rundt i skyggen og lave deres kriminelle handlinger.
3-1	Det	det	PP:s-un:--:-3n-	
3-2	er	være	VF:----:sa:----	
3-3	på	på	T-:----:--:----	
3-4	samme	samme	AC:§§u§:--:p---	
3-5	måde	måde	NC:siuc:--:----	
3-6	også	også	D-:----:--:u---	
3-7	en	en	PI:s-uc:--:----	
3-8	boligforening	boligforening	NC:siuc:--:----	
3-9	,	,	ZD	
3-10	der	der	US:----:--:----	
3-11	finansierer	finansiere	VF:----:sa:----	
3-12	,	,	ZD	
3-13	hvis	hvis	CS:----:--:----	
3-14	den	den	PP:s-uc:--:-3n-	
3-15	vil	ville	VF:----:sa:----	
3-16	fælde	fælde	VI:----:-a:----	
3-17	noget	nogen	PI:s-un:--:----	
3-18	bevoksning	bevoksning	NC:siuc:--:----	
3-19	eller	eller	CC:----:--:----	
3-20	nogle	nogen	PI:p-u#:--:----	
3-21	træer	træ	NC:piu#:--:----	
3-22	for	for	T-:----:--:----	
3-23	at	at	UI:----:--:----	
3-24	skabe	skabe	VI:----:-a:----	
3-25	mere	megen	AC:##u#:--:c---	
3-26	lys	lys|lys-1f|Lys-2|lys-1g|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3	NC:siun:--:----	
3-27	og	og	CC:----:--:----	
3-28	luft	luft	NC:siuc:--:----	
3-29	,	,	ZD	
3-30	således	således	D-:----:--:u---	
3-31	at	at	CS:----:--:----	
3-32	de	den	PM:p-u#:--:----	
3-33	kriminelle	kriminel	AC:p#u#:--:p---	
3-34	ikke	ikke	D-:----:--:u---	
3-35	kan	kunne	VF:----:sa:----	
3-36	gå	gå	VI:----:-a:----	
3-37	rundt	rundt	D-:----:--:u---	
3-38	i	i	T-:----:--:----	
3-39	skyggen	skygge	NC:sduc:--:----	
3-40	og	og	CC:----:--:----	
3-41	lave	lave	VI:----:-a:----	
3-42	deres	deres	PO:#--#:--:-3np	
3-43	kriminelle	kriminel	AC:p#u#:--:p---	
3-44	handlinger	handling	NC:piu#:--:----	
3-45	.	.	ZP	

#id=4
#text= Det Kriminalpræventive Råd lavede for nogle år siden et stort arbejde med det, de kaldte "Forebyg", som altså handler om, hvordan man rent fysisk indretter områderne, altså hvordan man sikrer, at der er lys, at der er åbent, at der er venligt, og at der er, så man har lyst til at opholde sig der og være der, fordi det i sig selv modvirker, at der bliver hærværk, og at der bliver utrygt.
4-1	Det	den	PM:s-un:--:----	
4-2	Kriminalpræventive	kriminalpræventiv	AC:sdu#:--:p---	
4-3	Råd	råd	NC:siun:--:----	
4-4	lavede	lave	VF:----:ta:----	
4-5	for	for	T-:----:--:----	
4-6	nogle	nogen	PI:p-u#:--:----	
4-7	år	år	NC:piu#:--:----	
4-8	siden	siden	T-:----:--:----	
4-9	et	en	PI:s-un:--:----	
4-10	stort	stor	AC:siun:--:p---	
4-11	arbejde	arbejde	NC:siun:--:----	
4-12	med	med	T-:----:--:----	
4-13	det	det	PP:s-un:--:-3n-	
4-14	,	,	ZD	
4-15	de	den	PM:p-u#:--:----	
4-16	kaldte	kalde	VP:p#u#:t-:----	
4-17	"	"	ZI	
4-18	Forebyg	forebygge	VM:----:--:----	
4-19	"	"	ZI	
4-20	,	,	ZD	
4-21	som	som	US:----:--:----	
4-22	altså	altså	D-:----:--:u---	
4-23	handler	handle	VF:----:sa:----	
4-24	om	om	T-:----:--:----	
4-25	,	,	ZD	
4-26	hvordan	hvordan	D-:----:--:u---	
4-27	man	man	PI:#-uc:--:----	
4-28	rent	ren	AD:----:--:p---	
4-29	fysisk	fysisk	AC:siu§:--:p---	
4-30	indretter	indrette	VF:----:sa:----	
4-31	områderne	område	NC:pdu#:--:----	
4-32	,	,	ZD	
4-33	altså	altså	D-:----:--:u---	
4-34	hvordan	hvordan	D-:----:--:u---	
4-35	man	man	PI:#-uc:--:----	
4-36	sikrer	sikre	VF:----:sa:----	
4-37	,	,	ZD	
4-38	at	at	CS:----:--:----	
4-39	der	der	US:----:--:----	
4-40	er	være	VF:----:sa:----	
4-41	lys	lys|lys-3|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|Lys-2|lys-1g|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-lys-i-mørket|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over	NC:siun:--:----	
4-42	,	,	ZD	
4-43	at	at	CS:----:--:----	
4-44	der	der	US:----:--:----	
4-45	er	være	VF:----:sa:----	
4-46	åbent	åben	AC:siun:--:p---	
4-47	,	,	ZD	
4-48	at	at	CS:----:--:----	
4-49	der	der	US:----:--:----	
4-50	er	være	VF:----:sa:----	
4-51	venligt	venlig	AC:siun:--:p---	
4-52	,	,	ZD	
4-53	og	og	CC:----:--:----	
4-54	at	at	CS:----:--:----	
4-55	der	der	US:----:--:----	
4-56	er	være	VF:----:sa:----	
4-57	,	,	ZD	
4-58	så	så	CS:----:--:----	
4-59	man	man	PI:#-uc:--:----	
4-60	har	have	VF:----:sa:----	
4-61	lyst	lyst	NC:siuc:--:----	
4-62	til	til	T-:----:--:----	
4-63	at	at	UI:----:--:----	
4-64	opholde	opholde	VI:----:-a:----	
4-65	sig	sig	PP:#-u#:--:-3y-	
4-66	der	der	D-:----:--:u---	
4-67	og	og	CC:----:--:----	
4-68	være	være	VI:----:-a:----	
4-69	der	der	D-:----:--:u---	
4-70	,	,	ZD	
4-71	fordi	fordi	CS:----:--:----	
4-72	det	det	PP:s-un:--:-3n-	
4-73	i	i	T-:----:--:----	
4-74	sig	sig	--:-3y-	
4-75	selv	selv	PM:#-u#:--:----	
4-76	modvirker	modvirke	VF:----:sa:----	
4-77	,	,	ZD	
4-78	at	at	CS:----:--:----	
4-79	der	der	US:----:--:----	
4-80	bliver	blive	VF:----:sa:----	
4-81	hærværk	hærværk	NC:siun:--:----	
4-82	,	,	ZD	
4-83	og	og	CC:----:--:----	
4-84	at	at	CS:----:--:----	
4-85	der	der	US:----:--:----	
4-86	bliver	blive	VF:----:sa:----	
4-87	utrygt	utryg	AD:----:--:p---	
4-88	.	.	ZP	

#id=5
#text=Justitsministeriet drøfter på den baggrund for tiden med rigspolitiet og Rigsadvokaten, om der i lyset af de praktiske erfaringer med disse sager er grundlag for at overveje præciseringer eller stramninger af tilholdsreglerne og for at styrke håndhævelsen af tilhold.
5-1	Justitsministeriet	justitsministerium	NC:sdun:--:----	
5-2	drøfter	drøfte	VF:----:sa:----	
5-3	på	på	T-:----:--:----	
5-4	den	den	PM:s-uc:--:----	
5-5	baggrund	baggrund	NC:siuc:--:----	
5-6	for	for	T-:----:--:----	
5-7	tiden	tid	NC:sduc:--:----	
5-8	med	med	T-:----:--:----	
5-9	rigspolitiet	rigspoliti	NC:sdun:--:----	
5-10	og	og	CC:----:--:----	
5-11	Rigsadvokaten	rigsadvokat	NC:sduc:--:----	
5-12	,	,	ZD	
5-13	om	om	CS:----:--:----	
5-14	der	der	US:----:--:----	
5-15	i	i	T-:----:--:----	
5-16	lyset	lys|lys-1-1a-1b-1c-1f|lys-1d|lys-F-bengalsk-lys|lys-F-brænde-sit-lys-i-begge-ender|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-1f|lys-1e|lys-F-se-lyset|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen	NC:sdun:--:----	
5-17	af	af	T-:----:--:----	
5-18	de	den	PM:p-u#:--:----	
5-19	praktiske	praktisk	AC:p#u#:--:p---	
5-20	erfaringer	erfaring	NC:piu#:--:----	
5-21	med	med	T-:----:--:----	
5-22	disse	denne	PM:p-u#:--:----	
5-23	sager	sag	NC:piu#:--:----	
5-24	er	være	VF:----:sa:----	
5-25	grundlag	grundlag	NC:siun:--:----	
5-26	for	for	T-:----:--:----	
5-27	at	at	UI:----:--:----	
5-28	overveje	overveje	VI:----:-a:----	
5-29	præciseringer	præcisering	NC:piu#:--:----	
5-30	eller	eller	CC:----:--:----	
5-31	stramninger	stramning	NC:piu#:--:----	
5-32	af	af	T-:----:--:----	
5-33	tilholdsreglerne	tilholdsregel	:pdu#:--:----	
5-34	og	og	CC:----:--:----	
5-35	for	for	T-:----:--:----	
5-36	at	at	UI:----:--:----	
5-37	styrke	styrke	VI:----:-a:----	
5-38	håndhævelsen	håndhævelse	NC:sduc:--:----	
5-39	af	af	T-:----:--:----	
5-40	tilhold	tilhold	NC:siun:--:----	
5-41	.	.	ZP	

#id=6
#text=Set i lyset af den allerseneste tids intensiverede debat, navnlig med udgangspunkt i konkrete sager om hundeoverfald, har jeg bedt hundeudvalget om så vidt muligt at have en delbetænkning om farlige hunde klar inden udgangen af 2009, således at der kan tages et eventuelt lovgivningsinitiativ allerede i den kommende folketingssamling.
6-1	Set	se	VT:siu#:t-:----	
6-2	i	i	T-:----:--:----	
