 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Så da vi forleden havde lagt de nordjyske snemasser bag os, satte vi kursen mod Aarhus, manden i mit liv, hans datter og jeg.
1-1	Så	så	D-:----:--:u---	_	
1-2	da	da	CS:----:--:----	_	
1-3	vi	vi	PP:p-nc:--:-1n-	_	
1-4	forleden	forleden	AD:----:--:p---	_	
1-5	havde	have	VF:----:ta:----	_	
1-6	lagt	lægge	VT:siu#:t-:----	_	
1-7	de	den	PM:p-u#:--:----	_	
1-8	nordjyske	nordjysk	AC:p#u#:--:p---	_	
1-9	snemasser	snemasse	NC:piu#:--:----	_	
1-10	bag	bag	T-:----:--:----	_	
1-11	os	vi	PP:p-uc:--:-1#-	_	
1-12	,	,	ZD	_	
1-13	satte	sætte	VF:----:ta:----	_	
1-14	vi	vi	PP:p-nc:--:-1n-	_	
1-15	kursen	kurs|kurs-1a|kurs-1|kurs-2|kurs-F-ud/ude-af-kurs|kurs-F-sætte-kursen|kurs-F-ikke-i-kurs|kurs-F-i-høj-kurs	NC:sduc:--:----	kurs_F_sætte-kursen	
1-16	mod	mod	T-:----:--:----	_	
1-17	Aarhus	Aarhus	NP:siu#:--:----	_	
1-18	,	,	ZD	_	
1-19	manden	mand	NC:sduc:--:----	_	
1-20	i	i	T-:----:--:----	_	
1-21	mit	min	PO:s--n:--:-1ns	_	
1-22	liv	liv	NC:siun:--:----	_	
1-23	,	,	ZD	_	
1-24	hans	hans	PO:#--#:--:-3ns	_	
1-25	datter	datter	NC:siuc:--:----	_	
1-26	og	og	CC:----:--:----	_	
1-27	jeg	jeg	PP:s-nc:--:-1n-	_	
1-28	.	.	ZP	_	

#id=2
#text=I stedet kastede vi os ind i kareten, manden i mit liv og jeg, og satte kursen mod Humlebæk.
2-1	I	i	T-:----:--:----	_	
2-2	stedet	sted	NC:sdun:--:----	_	
2-3	kastede	kaste	VF:----:ta:----	_	
2-4	vi	vi	PP:p-nc:--:-1n-	_	
2-5	os	vi	PP:p-uc:--:-1#-	_	
2-6	ind	ind	D-:----:--:u---	_	
2-7	i	i	T-:----:--:----	_	
2-8	kareten	karet	NC:sduc:--:----	_	
2-9	,	,	ZD	_	
2-10	manden	mand	NC:sduc:--:----	_	
2-11	i	i	T-:----:--:----	_	
2-12	mit	min	-n:--:-1ns	_	
2-13	liv	liv	NC:siun:--:----	_	
2-14	og	og	CC:----:--:----	_	
2-15	jeg	jeg	PP:s-nc:--:-1n-	_	
2-16	,	,	ZD	_	
2-17	og	og	CC:----:--:----	_	
2-18	satte	sætte	VF:----:ta:----	_	
2-19	kursen	kurs|kurs-F-i-høj-kurs|kurs-F-sætte-kursen|kurs-F-ud/ude-af-kurs|kurs-F-ikke-i-kurs|kurs-1a|kurs-2|kurs-1	NC:sduc:--:----	kurs_F_sætte-kursen	
2-20	mod	mod	T-:----:--:----	_	
2-21	Humlebæk	Humlebæk	NP:siu#:--:----	_	
2-22	.	.	ZP	_	

#id=3
#text=Efter en lidt slingrende kurs gennem uddannelsessystemet efter folkeskolen blev jeg i 1987 immatrikuleret på Københavns Universitet.
3-1	Efter	efter	T-:----:--:----	_	
3-2	en	en	PI:s-uc:--:----	_	
3-3	lidt	lidt	AD:----:--:p---	_	
3-4	slingrende	slingre	VP:##u#:s-:----	_	
3-5	kurs	kurs|kurs-F-i-høj-kurs|kurs-F-ikke-i-kurs|kurs-F-ud/ude-af-kurs|kurs-F-sætte-kursen|kurs-1|kurs-1a|kurs-2	NC:siuc:--:----	kurs_1a	
3-6	gennem	gennem	T-:----:--:----	_	
3-7	uddannelsessystemet	uddannelsessystem	NC:sdun:--:----	_	
3-8	efter	efter	T-:----:--:----	_	
3-9	folkeskolen	folkeskole	NC:sduc:--:----	_	
3-10	blev	blive	VF:----:ta:----	_	
3-11	jeg	jeg	PP:s-nc:--:-1n-	_	
3-12	i	i	T-:----:--:----	_	
3-13	1987	1987	LC:--u-:--:----	_	
3-14	immatrikuleret	immatrikulere	VT:siu#:t-:----	_	
3-15	på	på	T-:----:--:----	_	
3-16	Københavns	København	NP:sig#:--:----	_	
3-17	Universitet	universitet	NC:siun:--:----	_	
3-18	.	.	ZP	_	

