 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Her lå den lille pige begravet, mishandlet til ukendelighed i ansigtet, på kroppen og i underlivet.
1-1	Her	her	D-:----:--:u---	_	
1-2	lå	ligge	VF:----:ta:----	_	
1-3	den	den	PM:s-uc:--:----	_	
1-4	lille	lille	AC:s§u§:--:p---	_	
1-5	pige	pige	NC:siuc:--:----	_	
1-6	begravet	begrave	VT:siu#:t-:----	_	
1-7	,	,	ZD	_	
1-8	mishandlet	mishandle	VT:siu#:t-:----	_	
1-9	til	til	T-:----:--:----	_	
1-10	ukendelighed	ukendelighed	NC:siuc:--:----	_	
1-11	i	i	T-:----:--:----	_	
1-12	ansigtet	ansigt	NC:sdun:--:----	ansigt_1	
1-13	,	,	ZD	_	
1-14	på	på	T-:----:--:----	_	
1-15	kroppen	krop	NC:sduc:--:----	_	
1-16	og	og	CC:----:--:----	_	
1-17	i	i	T-:----:--:----	_	
1-18	underlivet	underliv	NC:sdun:--:----	_	
1-19	.	.	ZP	_	

#id=2
#text= Men det rigtige tøj og et ordentligt lag krismaling i ansigtet kan gøre underværker.
2-1	Men	men	CC:----:--:----	_	
2-2	det	den	PM:s-un:--:----	_	
2-3	rigtige	rigtig	AC:sdu#:--:p---	_	
2-4	tøj	tøj	NC:siun:--:----	_	
2-5	og	og	CC:----:--:----	_	
2-6	et	en	PI:s-un:--:----	_	
2-7	ordentligt	ordentlig	siun:--:p---	_	
2-8	lag	lag	NC:siun:--:----	_	
2-9	krismaling	krismaling	NC:siuc:--:----	_	
2-10	i	i	T-:----:--:----	_	
2-11	ansigtet	ansigt	NC:sdun:--:----	ansigt_1	
2-12	kan	kunne	VF:----:sa:----	_	
2-13	gøre	gøre	VI:----:-a:----	_	
2-14	underværker	underværk	NC:piu#:--:----	_	
2-15	.	.	ZP	_	

#id=3
#text=Han sagde til sin uven: - Der er kun én ting galt med dit ansigt.
3-1	Han	han	PP:s-nc:--:-3n-	_	
3-2	sagde	sige	VF:----:ta:----	_	
3-3	til	til	T-:----:--:----	_	
3-4	sin	sin	PO:s--c:--:-3ys	_	
3-5	uven	uven	NC:siuc:--:----	_	
3-6	:	:	ZP	_	
3-7	-	-	ZH	_	
