 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Så kan man lige så godt lade være, siger den 35-årige hitproducer med et eftertænksomt blik  i øjnene.
1-1	Så	så	D-:----:--:u---	
1-2	kan	kunne	VF:----:sa:----	
1-3	man	man	PI:#-uc:--:----	
1-4	lige	lige	D-:----:--:u---	
1-5	så	så	D-:----:--:u---	
1-6	godt	god	AD:----:--:p---	
1-7	lade	lade	VI:----:-a:----	
1-8	være	være	VI:----:-a:----	
1-9	,	,	ZD	
1-10	siger	sige	VF:----:sa:----	
1-11	den	den	PM:s-uc:--:----	
1-12	35	35	LW:----:--:----	
1-13	-	-	ZH	
1-14	årige	årig	AC:sdu#:--:p---	
1-15	hitproducer	hitproducer	NC:siuc:--:----	
1-16	med	med	T-:----:--:----	
1-17	et	en	PI:s-un:--:----	
1-18	eftertænksomt	eftertænksom	AC:siun:--:p---	
1-19	blik	blik|blik-1-2|blik-1-1|blik-1-4a|blik-1-4|blik-1-3|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a	NC:siun:--:----	
1-20	i	i	T-:----:--:----	
1-21	øjnene	øje	NC:pdu#:--:----	
1-22	.	.	ZP	

#id=2
#text=- Godt, så behøver jeg ikke at sætte vand op på prædikestolen Hun sagde: - Jeg er ikke bange for mørke - så længe lyset er tændt Godt spørgsmål: - Hvis kærlighed gør blind, hvordan kan man så tro på kærlighed ved første blik?
2-1	-	-	NC:piu#:--:----	
2-2	Godt	god	AD:----:--:p---	
2-3	,	,	ZD	
2-4	så	så	D-:----:--:u---	
2-5	behøver	behøve	VF:----:sa:----	
2-6	jeg	jeg	PP:s-nc:--:-1n-	
2-7	ikke	ikke	D-:----:--:u---	
2-8	at	at	UI:----:--:----	
2-9	sætte	sætte	VI:----:-a:----	
2-10	vand	vand	NC:siun:--:----	
2-11	op	op	D-:----:--:u---	
2-12	på	på	T-:----:--:----	
2-13	prædikestolen	prædikestol	NC:sduc:--:----	
2-14	Hun	Hun	NP:siu#:--:----	
2-15	sagde	sige	VF:----:ta:----	
2-16	:	:	ZP	
2-17	-	-	ZH	
2-18	Jeg	jeg	NC:siun:--:----	
2-19	er	være	VF:----:sa:----	
2-20	ikke	ikke	D-:----:--:u---	
2-21	bange	bange	AC:§§u§:--:p---	
2-22	for	for	T-:----:--:----	
2-23	mørke	mørk	AC:p#u#:--:p---	
2-24	-	-	NC:piu#:--:----	
2-25	så	så	D-:----:--:u---	
2-26	længe	længe	D-:----:--:u---	
2-27	lyset	lys	NC:sdun:--:----	
2-28	er	være	VF:----:sa:----	
2-29	tændt	tænde	VT:siu#:t-:----	
2-30	Godt	god	AC:siun:--:p---	
2-31	spørgsmål	spørgsmål	NC:siun:--:----	
2-32	:	:	ZP	
2-33	-	-	ZH	
2-34	Hvis	hvis	CS:----:--:----	
2-35	kærlighed	kærlighed	NC:siuc:--:----	
2-36	gør	gøre	VF:----:sa:----	
2-37	blind	blind	AC:siuc:--:p---	
2-38	,	,	ZD	
2-39	hvordan	hvordan	D-:----:--:u---	
2-40	kan	kunne	VF:----:sa:----	
2-41	man	man	PI:#-uc:--:----	
2-42	så	så	D-:----:--:u---	
2-43	tro	tro	VI:----:-a:----	
2-44	på	på	T-:----:--:----	
2-45	kærlighed	kærlighed	NC:siuc:--:----	
2-46	ved	ved	T-:----:--:----	
2-47	første	første	AC:§§u§:--:p---	
2-48	blik	blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-2|blik-1-1|blik-1-3|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
2-49	?	?	ZQ	

#id=3
#text=Med et stålsikkert blik bevæger han sig ud i kulden, svinger til venstre ned ad en lille sidevej, stopper op for enden og stikker armen i vejret for at praje en taxa.
3-1	Med	med	T-:----:--:----	
3-2	et	en	PI:s-un:--:----	
3-3	stålsikkert	stålsikker	AC:siun:--:p---	
3-4	blik	blik|blik-1-1|blik-1-2|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
3-5	bevæger	bevæge	VF:----:sa:----	
3-6	han	han	PP:s-nc:--:-3n-	
3-7	sig	sig	PP:#-u#:--:-3y-	
3-8	ud	ud	D-:----:--:u---	
3-9	i	i	T-:----:--:----	
3-10	kulden	kulde	NC:sduc:--:----	
3-11	,	,	ZD	
3-12	svinger	svinge	VF:----:sa:----	
3-13	til	til	T-:----:--:----	
3-14	venstre	venstre	NC:siun:--:----	
3-15	ned	ned	D-:----:--:u---	
3-16	ad	ad	T-:----:--:----	
3-17	en	en	PI:s-uc:--:----	
3-18	lille	lille	AC:s§u§:--:p---	
3-19	sidevej	sidevej	NC:siuc:--:----	
3-20	,	,	ZD	
3-21	stopper	stoppe	VF:----:sa:----	
3-22	op	op	D-:----:--:u---	
3-23	for	for	T-:----:--:----	
3-24	enden	ende	NC:sduc:--:----	
3-25	og	og	CC:----:--:----	
3-26	stikker	stikke	VF:----:sa:----	
3-27	armen	arm	NC:sduc:--:----	
3-28	i	i	T-:----:--:----	
3-29	vejret	vejr	NC:sdun:--:----	
3-30	for	for	T-:----:--:----	
3-31	at	at	UI:----:--:----	
3-32	praje	praje	VI:----:-a:----	
3-33	en	en	PI:s-uc:--:----	
3-34	taxa	taxa	NC:siuc:--:----	
3-35	.	.	ZP	

#id=4
#text=Hurtigt får han dog " blikket" fra Pernille, hvilket får den blonde danser til at indrømme, at kæresterne i sidste øjeblik måske alligevel ender med at bestille mad udefra.
4-1	Hurtigt	hurtig	AD:----:--:p---	
4-2	får	få	VF:----:sa:----	
4-3	han	han	PP:s-nc:--:-3n-	
4-4	dog	dog	D-:----:--:u---	
4-5	"	"	ZI	
4-6	blikket	blik|blik-1-1|blik-1-4|blik-1-3|blik-1-2|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a	NC:sdun:--:----	
4-7	"	"	ZI	
4-8	fra	fra	T-:----:--:----	
4-9	Pernille	Pernille	NP:siu#:--:----	
4-10	,	,	ZD	
4-11	hvilket	hvilken	PR:s-un:--:----	
4-12	får	få	VF:----:sa:----	
4-13	den	den	PM:s-uc:--:----	
4-14	blonde	blond	AC:sdu#:--:p---	
4-15	danser	danser	NC:siuc:--:----	
4-16	til	til	T-:----:--:----	
4-17	at	at	UI:----:--:----	
4-18	indrømme	indrømme	VI:----:-a:----	
4-19	,	,	ZD	
4-20	at	at	CS:----:--:----	
4-21	kæresterne	kæreste	NC:pdu#:--:----	
4-22	i	i	T-:----:--:----	
4-23	sidste	sidste	AC:§§u§:--:p---	
4-24	øjeblik	øjeblik	NC:siun:--:----	
4-25	måske	måske	D-:----:--:u---	
4-26	alligevel	alligevel	D-:----:--:u---	
4-27	ender	ende	VF:----:sa:----	
4-28	med	med	:----	
4-29	at	at	UI:----:--:----	
4-30	bestille	bestille	VI:----:-a:----	
4-31	mad	mad	NC:siuc:--:----	
4-32	udefra	udefra	D-:----:--:u---	
4-33	.	.	ZP	

#id=5
#text=Mens hans kammerater udi bryllupsjobbet gik med blikkene stift rettet mod brudeparret, havde Christian travlt med at studere de mange mennesker, loftsudsmykning og alt muligt andet undervejs op ad gulvet.
5-1	Mens	mens	CS:----:--:----	
5-2	hans	hans	PO:#--#:--:-3ns	
5-3	kammerater	kammerat	NC:piu#:--:----	
5-4	udi	udi	T-:----:--:----	
5-5	bryllupsjobbet	bryllupsjob	NC:sdun:--:----	
5-6	gik	gå	VF:----:ta:----	
5-7	med	med	T-:----:--:----	
5-8	blikkene	blik|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-2|blik-1-1|blik-1-4|blik-1-3|blik-F-få-blikket|blik-F-indre-blik	NC:pdu#:--:----	
5-9	stift	stiv	AD:----:--:p---	
5-10	rettet	rette	VT:siu#:t-:----	
5-11	mod	mod	T-:----:--:----	
5-12	brudeparret	brudepar	NC:sdun:--:----	
5-13	,	,	ZD	
5-14	havde	have	VF:----:ta:----	
5-15	Christian	Christian	NP:siu#:--:----	
5-16	travlt	travl	AD:----:--:p---	
5-17	med	med	T-:----:--:----	
5-18	at	at	UI:----:--:----	
5-19	studere	studere	VI:----:-a:----	
5-20	de	den	PM:p-u#:--:----	
5-21	mange	mangen	AC:p#u#:--:p---	
5-22	mennesker	menneske	NC:piu#:--:----	
5-23	,	,	ZD	
5-24	loftsudsmykning	loftsudsmykning	NC:siuc:--:----	
5-25	og	og	CC:----:--:----	
5-26	alt	al	PI:s-un:--:----	
5-27	muligt	mulig	AC:siun:--:p---	
5-28	andet	anden	PI:s-un:--:----	
5-29	undervejs	undervejs	D-:----:--:u---	
5-30	op	op	D-:----:--:u---	
5-31	ad	ad	T-:----:--:----	
5-32	gulvet	gulv	NC:sdun:--:----	
5-33	.	.	ZP	

#id=6
#text=Drillerier, stirrende blikke og dumme spørgsmål.
6-1	Drillerier	drilleri	NC:piu#:--:----	
6-2	,	,	ZD	
6-3	stirrende	stirre	VP:##u#:s-:----	
6-4	blikke	blik|blik-1-1|blik-1-3|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-2	NC:piu#:--:----	
6-5	og	og	CC:----:--:----	
6-6	dumme	dum	AC:p#u#:--:p---	
6-7	spørgsmål	spørgsmål	NC:piu#:--:----	
6-8	.	.	ZP	

#id=7
#text= I hvert fald tog hun sit glas og rykkede målbevidst hen ved siden af en lyshåret fyr, som hun havde sendt blikke.
7-1	I	i	T-:----:--:----	
7-2	hvert	hver	PI:s-un:--:----	
7-3	fald	fald	NC:siun:--:----	
7-4	tog	tage	VF:----:ta:----	
7-5	hun	hun	PP:s-nc:--:-3n-	
7-6	sit	sin	PO:s--n:--:-3ys	
7-7	glas	glas	NC:siun:--:----	
7-8	og	og	CC:----:--:----	
7-9	rykkede	rykke	VF:----:ta:----	
7-10	målbevidst	målbevidst	AD:----:--:p---	
7-11	hen	hen	D-:----:--:u---	
7-12	ved	ved	T-:----:--:----	
7-13	siden	side	NC:sduc:--:----	
7-14	af	af	T-:----:--:----	
7-15	en	en	PI:s-uc:--:----	
7-16	lyshåret	lyshåret	AC:siu§:--:p---	
7-17	fyr	fyr	NC:siun:--:----	
7-18	,	,	ZD	
7-19	som	som	US:----:--:----	
7-20	hun	hun	PP:s-nc:--:-3n-	
7-21	havde	have	VF:----:ta:----	
7-22	sendt	sende	VT:siu#:t-:----	
7-23	blikke	blik|blik-1-2|blik-1-4|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-3|blik-1-1	NC:piu#:--:----	
7-24	.	.	ZP	

#id=8
#text= Store pumpede og tussede fyre med et frækt blik Favorittøj:
8-1	Store	stor	AC:p#u#:--:p---	
8-2	pumpede	pumpe	p#u#:t-:----	
8-3	og	og	CC:----:--:----	
8-4	tussede	tusse	VF:----:ta:----	
8-5	fyre	fyre	VI:----:-a:----	
8-6	med	med	T-:----:--:----	
8-7	et	en	PI:s-un:--:----	
8-8	frækt	fræk	AC:siun:--:p---	
8-9	blik	blik|blik-1-1|blik-1-4|blik-1-3|blik-1-2|blik-1-4a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a	NC:siun:--:----	
8-10	Favorittøj	Favorittøj	NP:siu#:--:----	
8-11	:	:	ZP	

#id=9
#text= Men han er altså meget stille og fornuftig, smiler Ann med et kærligt blik til ægtemanden, som klarede ærterne på hjemmefronten med datteren Mille, mens mor var i Malaysia.
9-1	Men	men	CC:----:--:----	
9-2	han	han	PP:s-nc:--:-3n-	
9-3	er	være	VF:----:sa:----	
9-4	altså	altså	D-:----:--:u---	
9-5	meget	megen	AD:----:--:p---	
9-6	stille	stille	AC:§§u§:--:p---	
9-7	og	og	CC:----:--:----	
9-8	fornuftig	fornuftig	AC:siuc:--:p---	
9-9	,	,	ZD	
9-10	smiler	smile	VF:----:sa:----	
9-11	Ann	Ann	NP:siu#:--:----	
9-12	med	med	T-:----:--:----	
9-13	et	en	PI:s-un:--:----	
9-14	kærligt	kærlig	AC:siun:--:p---	
9-15	blik	blik|blik-1-2|blik-1-4|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-3|blik-1-1	NC:siun:--:----	
9-16	til	til	T-:----:--:----	
9-17	ægtemanden	ægtemand	NC:sduc:--:----	
9-18	,	,	ZD	
9-19	som	som	US:----:--:----	
9-20	klarede	klare	VF:----:ta:----	
9-21	ærterne	ært	NC:pdu#:--:----	
9-22	på	på	T-:----:--:----	
9-23	hjemmefronten	hjemmefront	NC:sduc:--:----	
9-24	med	med	T-:----:--:----	
9-25	datteren	datter	NC:sduc:--:----	
9-26	Mille	mille	NP:siu#:--:----	
9-27	,	,	ZD	
9-28	mens	mens	CS:----:--:----	
9-29	mor	mor	NC:siuc:--:----	
9-30	var	være	VF:----:ta:----	
9-31	i	i	T-:----:--:----	
9-32	Malaysia	Malaysia	NP:siu#:--:----	
9-33	.	.	ZP	

#id=10
#text= Den har simpelthen en helbredende effekt på mig, for når jeg har været i byen, kan jeg ikke tåle at se alkohol i en hel uge, pipper modekongen og modtager SE og HØRs kritiske blik over sit umådeholdne mådehold.
10-1	Den	den	PP:s-uc:--:-3n-	
10-2	har	have	VF:----:sa:----	
10-3	simpelthen	simpelthen	D-:----:--:u---	
10-4	en	en	PI:s-uc:--:----	
10-5	helbredende	helbrede	VP:##u#:s-:----	
10-6	effekt	effekt	NC:siuc:--:----	
10-7	på	på	T-:----:--:----	
10-8	mig	jeg	PP:s-uc:--:-1#-	
10-9	,	,	ZD	
10-10	for	for	CC:----:--:----	
10-11	når	når	CS:----:--:----	
10-12	jeg	jeg	PP:s-nc:--:-1n-	
10-13	har	have	VF:----:sa:----	
10-14	været	være	VT:siu#:t-:----	
10-15	i	i	T-:----:--:----	
10-16	byen	by	NC:sduc:--:----	
10-17	,	,	ZD	
10-18	kan	kunne	VF:----:sa:----	
10-19	jeg	jeg	PP:s-nc:--:-1n-	
10-20	ikke	ikke	D-:----:--:u---	
10-21	tåle	tåle	VI:----:-a:----	
10-22	at	at	UI:----:--:----	
10-23	se	se	VI:----:-a:----	
10-24	alkohol	alkohol	NC:siuc:--:----	
10-25	i	i	T-:----:--:----	
10-26	en	en	PI:s-uc:--:----	
10-27	hel	hel	AC:siuc:--:p---	
10-28	uge	uge	NC:siuc:--:----	
10-29	,	,	ZD	
10-30	pipper	pippe	VF:----:sa:----	
10-31	modekongen	modekonge	NC:sduc:--:----	
10-32	og	og	CC:----:--:----	
10-33	modtager	modtage	VF:----:sa:----	
10-34	SE	SE	NP:siu#:--:----	
10-35	og	og	CC:----:--:----	
10-36	HØRs	hør	VF:----:sp:----	
10-37	kritiske	kritisk	AC:sdu#:--:p---	
10-38	blik	blik|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4|blik-1-2|blik-1-1|blik-1-3	NC:siun:--:----	
10-39	over	over	T-:----:--:----	
10-40	sit	sin	PO:s--n:--:-3ys	
10-41	umådeholdne	umådeholden	AC:sdu#:--:p---	
10-42	mådehold	mådehold	NC:siun:--:----	
10-43	.	.	ZP	

#id=11
#text=Der blev krammet og sendt kærlige blikke, da ridebaben brugte en del af vinterferien på den første rigtige " familie"-ferie med fodboldkæresten og hans tre døtre
11-1	Der	der	US:----:--:----	
11-2	blev	blive	VF:----:ta:----	
11-3	krammet	kram	NC:sdun:--:----	
11-4	og	og	CC:----:--:----	
11-5	sendt	sende	VT:siu#:t-:----	
11-6	kærlige	kærlig	AC:p#u#:--:p---	
