 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=De danske arkæologer har også fået grønt lys til at forberede nye udgravninger i emiraterne.
1-1	De	den	PM:p-u#:--:----	_	
1-2	danske	dansk	AC:p#u#:--:p---	_	
1-3	arkæologer	arkæolog	NC:piu#:--:----	_	
1-4	har	have	VF:----:sa:----	_	
1-5	også	også	D-:----:--:u---	_	
1-6	fået	få	VT:siu#:t-:----	_	
1-7	grønt	grøn	AC:siun:--:p---	_	
1-8	lys	lys|lys-4|lys-3|Lys-2|lys-1g|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-brænde-sit-lys-i-begge-ender|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-tåle-dagens-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-bengalsk-lys|lys-5|lys-F-sætte-sit-lys-under-en-skæppe	NC:siun:--:----	lys_F_grønt-lys(for-noget)	
1-9	til	til	T-:----:--:----	_	
1-10	at	at	UI:----:--:----	_	
1-11	forberede	forberede	VI:----:-a:----	_	
1-12	nye	ny	AC:p#u#:--:p---	_	
1-13	udgravninger	udgravning	NC:piu#:--:----	_	
1-14	i	i	T-:----:--:----	_	
1-15	emiraterne	emirat	NC:pdu#:--:----	_	
1-16	.	.	ZP	_	

#id=2
#text= Heller ikke noget lys der.
2-1	Heller	heller	D-:----:--:u---	_	
2-2	ikke	ikke	D-:----:--:u---	_	
2-3	noget	nogen	PI:s-un:--:----	_	
