 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Det er ikke kun teksten, men det er hele siden... også alle linksne/knapperne oppe i toppen.
1-1	Det	det	PP:s-un:--:-3n-	O	
1-2	er	re	VF:----:sa:----	O	
1-3	ikke	ikke	D-:----:--:u---	O	
1-4	kun	kun	D-:----:--:u---	O	
1-5	teksten	tekst	NC:sduc:--:----	O	
1-6	,	,	ZD	O	
1-7	men	men	CC:----:--:----	O	
1-8	det	det	PP:s-un:--:-3n-	O	
1-9	er	være	VF:----:sa:----	O	
1-10	hele	hel	AC:sdu#:--:p---	O	
1-11	siden	side	NC:sduc:--:----	O	
1-12	.	.	ZP	O	
1-13	.	.	ZP	O	
1-14	.	.	ZP	O	
1-15	også	også	D-:----:--:u---	O	
1-16	alle	al	PI:p-u#:--:----	O	
1-17	linksne	linksne	VI:----:-a:----	O	
1-18	/	/	XY:----:--:----	O	
1-19	knapperne	knap	NC:pdu#:--:----	O	
1-20	oppe	oppe	D-:----:--:u---	O	
1-21	i	i	T-:----:--:----	O	
1-22	toppen	top|top-1a-1b|top-1|top-2a-2b|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af	NC:sduc:--:----	B-top-1	
1-23	.	.	ZP	O	

#id=2
#text= Gintama er på top 10!!!!!...
2-1	Gintama	Gintama	NP:siu#:--:----	O	
2-2	er	være	VF:----:sa:----	O	
2-3	på	på	T-:----:--:----	O	
2-4	top	top|top-1|top-F-der-er-koldt-på-toppen|top-F-tånd/grå-i-toppen|af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-4|top-3|top-2a-2b|top-2|top-1a-1b	NC:siuc:--:----	B-top-2	
2-5	10	10	LC:--u-:--:----	O	
2-6	!	!	ZP	O	
2-7	!	!	ZP	O	
2-8	!	!	ZP	O	
2-9	!	!	ZP	O	
2-10	!	!	ZP	O	
2-11	.	.	ZP	O	
2-12	.	.	ZP	O	
2-13	.	.	ZP	O	

#id=3
#text=Manga, da jeg bedre kan lide at sidde og læse historien, men anime er altså også bare top-dollar.
3-1	Manga	Manga	NP:siu#:--:----	O	
3-2	,	,	ZD	O	
3-3	da	da	CS:----:--:----	O	
3-4	jeg	jeg	NC:siun:--:----	O	
3-5	bedre	god	AD:----:--:c---	O	
3-6	kan	kunne	VF:----:sa:----	O	
3-7	lide	lide	VI:----:-a:----	O	
3-8	at	at	UI:----:--:----	O	
3-9	sidde	sidde	VI:----:-a:----	O	
3-10	og	og	CC:----:--:----	O	
