 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Hukommelsen bliver et sort hul, som ordene selvmorderisk dratter i, netop som jeg skulle til at skrive dem.
1-1	Hukommelsen	hukommelse	NC:sduc:--:----	_	
1-2	bliver	blive	VF:----:sa:----	_	
1-3	et	en	PI:s-un:--:----	_	
1-4	sort	sort	AC:siu§:--:p---	_	
1-5	hul	hul	NC:siun:--:----	hul_1d_2a	
1-6	,	,	ZD	_	
1-7	som	som	US:----:--:----	_	
1-8	ordene	ord	NC:pdu#:--:----	_	
1-9	selvmorderisk	selvmorderisk	AD:----:--:p---	_	
1-10	dratter	dratte	VF:----:sa:----	_	
1-11	i	i	T-:----:--:----	_	
1-12	,	,	ZD	_	
1-13	netop	netop	D-:----:--:u---	_	
1-14	som	som	US:----:--:----	_	
1-15	jeg	jeg	PP:s-nc:--:-1n-	_	
1-16	skulle	skulle	VF:----:ta:----	_	
1-17	til	til	T-:----:--:----	_	
1-18	at	at	UI:----:--:----	_	
1-19	skrive	skrive	VI:----:-a:----	_	
1-20	dem	de	PP:p-u#:--:-3n-	_	
1-21	.	.	ZP	_	

#id=2
#text= Men nogen havde placeret et ordentligt hul i den tilvoksede sti.
2-1	Men	men	CC:----:--:----	_	
2-2	nogen	nogen	PI:s-uc:--:----	_	
2-3	havde	have	VF:----:ta:----	_	
2-4	placeret	placere	VT:siu#:t-:----	_	
2-5	et	en	PI:s-un:--:----	_	
2-6	ordentligt	ordentlig	AC:siun:--:p---	_	
2-7	hul	hul	NC:siun:--:----	hul_1_1e	
2-8	i	i	T-:----:--:----	_	
2-9	den	den	PM:s-uc:--:----	_	
2-10	tilvoksede	tilvokset	AC:sdu#:--:p---	_	
2-11	sti	sti	NC:siuc:--:----	_	
2-12	.	.	ZP	_	

#id=3
#text= Nærmest hver gang, jeg mødte op hos skoletandlægen, fandt hun et hul, borede og puttede en sølvfyldning i.
3-1	Nærmest	nær	AD:----:--:s---	_	
3-2	hver	hver	PI:s-uc:--:----	_	
3-3	gang	gang	NC:siuc:--:----	_	
3-4	,	,	ZD	_	
3-5	jeg	jeg	PP:s-nc:--:-1n-	_	
3-6	mødte	møde	VF:----:ta:----	_	
3-7	op	op	D-:----:--:u---	_	
3-8	hos	hos	T-:----:--:----	_	
3-9	skoletandlægen	skoletandlæge	NC:sduc:--:----	_	
3-10	,	,	ZD	_	
3-11	fandt	finde	VF:----:ta:----	_	
3-12	hun	hun	PP:s-nc:--:-3n-	_	
3-13	et	en	PI:s-un:--:----	_	
3-14	hul	hul	NC:siun:--:----	hul_1a_1b_3_4_4a	
3-15	,	,	ZD	_	
3-16	borede	bore	VF:----:ta:----	_	
3-17	og	og	CC:----:--:----	_	
3-18	puttede	putte	VF:----:ta:----	_	
3-19	en	en	PI:s-uc:--:----	_	
3-20	sølvfyldning	sølvfyldning	NC:siuc:--:----	_	
3-21	i	i	T-:----:--:----	_	
3-22	.	.	ZP	_	

#id=4
#text= Tankevækkende nok kan de huller, jeg har haft, siden jeg som 18-årig forlod skoletandplejen, tælles på en enkelt hånd.
4-1	Tankevækkende	tankevækkende	AD:----:--:p---	_	
4-2	nok	nok	D-:----:--:u---	_	
4-3	kan	kunne	VF:----:sa:----	_	
4-4	de	den	PM:p-u#:--:----	_	
4-5	huller	hul	NC:piu#:--:----	hul_1a_1b_3_4_4a	
4-6	,	,	ZD	_	
4-7	jeg	jeg	PP:s-nc:--:-1n-	_	
4-8	har	have	VF:----:sa:----	_	
4-9	haft	have	VT:siu#:t-:----	_	
4-10	,	,	ZD	_	
4-11	siden	siden	CS:----:--:----	_	
4-12	jeg	jeg	PP:s-nc:--:-1n-	_	
4-13	som	som	US:----:--:----	_	
4-14	18	18	LW:----:--:----	_	
4-15	-	-	ZH	_	
